Body Name,Body Id,Month,Source,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,09/11/2023,Adult Social Care & Health,Essex County Council,Third Party Payments,Private Contractors," 27,000.00 "
THURROCK BC,E1502X,Mar-24,Purchase Invoices,29/02/2024,Adult Social Care & Health,Essex County Council,Supplies and Services,IT Project Related Expenditure," 145,911.00 "
THURROCK BC,E1502X,Mar-24,Purchase Invoices,04/03/2024,Adult Social Care & Health,Essex County Council,Supplies and Services,IT Project Related Expenditure," 2,320.21 "
THURROCK BC,E1502X,Mar-24,Purchase Invoices,04/03/2024,Adult Social Care & Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 8,817.57 "
THURROCK BC,E1502X,Mar-24,Purchase Invoices,08/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 182.25 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure, 114.60 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances," 1,967.31 "
THURROCK BC,E1502X,Mar-24,Purchase Invoices,28/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 256.95 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,07/10/2023,Adult Social Care & Health,Redacted,Supplies and Services,Project Work, -   
THURROCK BC,E1502X,Mar-24,Purchase Invoices,01/11/2023,Adult Social Care & Health,Redacted,Supplies and Services,Professional Fees, 90.00 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,06/11/2023,Adult Social Care & Health,Redacted,Supplies and Services,Professional Fees, 90.00 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,29/11/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 0.90 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,24/05/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 57.15 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,01/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 8.33 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,21/12/2023,Adult Social Care & Health,Redacted,Supplies and Services,Project Work, -   
THURROCK BC,E1502X,Mar-24,Purchase Invoices,21/12/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 177.31 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,20/12/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 111.01 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,14/12/2023,Adult Social Care & Health,Redacted,Supplies and Services,Professional Fees, 98.12 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,04/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 9.45 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,09/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 10.80 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,10/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 7.43 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,08/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 9.00 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,11/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 11.25 
THURROCK BC,E1502X,Mar-24,Purchase Invoices,12/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 9.90 
