Body Name,Body Id,Month,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Jul-23,23/05/2023,Adults; Housing and Health,Essex County Council,Supplies and Services,Project Work," 192,986.58 "
THURROCK BC,E1502X,Jul-23,26/06/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 1,528.66 "
THURROCK BC,E1502X,Jul-23,28/06/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 9,121.63 "
THURROCK BC,E1502X,Jul-23,24/03/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 61.65 
THURROCK BC,E1502X,Jul-23,23/03/2023,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 5.00 
THURROCK BC,E1502X,Jul-23,01/04/2023,Adults; Housing and Health,Redacted,Supplies and Services,Project Work, 887.00 
THURROCK BC,E1502X,Jul-23,18/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 85.59 
THURROCK BC,E1502X,Jul-23,19/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 24.48 
THURROCK BC,E1502X,Jul-23,14/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 24.66 
THURROCK BC,E1502X,Jul-23,21/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 36.27 
THURROCK BC,E1502X,Jul-23,26/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 114.04 
THURROCK BC,E1502X,Jul-23,27/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 48.15 
THURROCK BC,E1502X,Jul-23,28/04/2023,Adults; Housing and Health,Redacted,Supplies and Services,Project Work, 549.00 
THURROCK BC,E1502X,Jul-23,28/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 33.48 
THURROCK BC,E1502X,Jul-23,09/04/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 156.12 
THURROCK BC,E1502X,Jul-23,30/05/2023,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 30.00 
THURROCK BC,E1502X,Jul-23,30/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 232.04 
THURROCK BC,E1502X,Jul-23,24/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 139.98 
THURROCK BC,E1502X,Jul-23,25/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 77.60 
THURROCK BC,E1502X,Jul-23,26/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 119.14 
THURROCK BC,E1502X,Jul-23,19/05/2023,Adults; Housing and Health,Redacted,Supplies and Services,Professional Fees, 12.00 
THURROCK BC,E1502X,Jul-23,19/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 37.35 
THURROCK BC,E1502X,Jul-23,13/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 10.85 
THURROCK BC,E1502X,Jul-23,16/06/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 49.53 
THURROCK BC,E1502X,Jul-23,21/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 86.76 
THURROCK BC,E1502X,Jul-23,31/05/2023,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 438.79 
