Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,11/02/2025,18 SEA VIEW VILLAS,9324569,revenue,1MK34,Shared Lives - Adult LD,#N/A,,2162.28
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321349,revenue,1E212,Transport Special,#N/A,,3425.40
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321350,revenue,1E212,Transport Special,#N/A,,2479.35
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321351,revenue,1E212,Transport Special,#N/A,,3900.82
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321352,revenue,1E212,Transport Special,#N/A,,3677.38
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321353,revenue,1E212,Transport Special,#N/A,,3643.92
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321354,revenue,1E212,Transport Special,#N/A,,4906.95
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321355,revenue,1E212,Transport Special,#N/A,,3032.55
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321356,revenue,1E212,Transport Special,#N/A,,3096.90
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321357,revenue,1E212,Transport Special,#N/A,,3790.05
Children & Families,Education,Revenue Expenditure,06/02/2025,24X7 LTD,9321358,revenue,1E212,Transport Special,#N/A,,2839.48
Children & Families,Education,Revenue Expenditure,05/02/2025,24X7 LTD,9319012,revenue,1E212,Transport Special,#N/A,,47835.58
Investment & Growth,"Museums, Arts and Culture",Revenue Expenditure,18/02/2025,528 MUSIC GLOBAL,9331255,revenue,1D506,Events,#N/A,,528.17
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,24/02/2025,A&J KEITH LTD,9335942,revenue,1KR02,Damp and Mould,#N/A,,86852.32
