Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Children & Families,Education Schools/DSG,Revenue Expenditure,12/06/2024,DENTON TRAVEL,9145348,revenue,1E25R,AP Inclusion Panel,750.00
Children & Families,Education Schools/DSG,Revenue Expenditure,07/06/2024,DENTON TRAVEL,9141467,revenue,1E25R,AP Inclusion Panel,1800.00
Children & Families,Children's Social Care,Revenue Expenditure,13/06/2024,DERE STREET BARRISTERS,9147160,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,27/06/2024,DERE STREET BARRISTERS,9155991,revenue,1MD68,Legal Fees Care,3350.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148649,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148643,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148653,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148651,revenue,1MD68,Legal Fees Care,550.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148634,revenue,1MD68,Legal Fees Care,1200.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148646,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148645,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148647,revenue,1MD68,Legal Fees Care,725.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148650,revenue,1MD68,Legal Fees Care,550.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148652,revenue,1MD68,Legal Fees Care,875.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148644,revenue,1MD68,Legal Fees Care,775.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148640,revenue,1MD68,Legal Fees Care,950.00
Children & Families,Children's Social Care,Revenue Expenditure,17/06/2024,DERE STREET BARRISTERS,9148642,revenue,1MD68,Legal Fees Care,875.00
