Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,22/10/2024,18 SEA VIEW VILLAS,9239923,revenue,1MK34,Shared Lives - Adult LD,  ,,2162.28
Children & Families,Education,Revenue Expenditure,30/10/2024,24X7 LTD,9232941,revenue,1E212,Transport Special,  ,,47468.85
Children & Families,Education,Revenue Expenditure,11/10/2024,4 IMPRINT,9232897,revenue,1E652,Virtual School,  ,,252.49
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,02/10/2024,A M HIRE,9206731,revenue,1KESY,External Hires,  ,,1027.60
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,30/10/2024,A M HIRE,9227956,revenue,1KESY,External Hires,  ,,1027.60
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/10/2024,A&J KEITH LTD,9233084,revenue,1KR01,Responsive Maintenance,  ,,40644.51
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/10/2024,A&J KEITH LTD,9233089,revenue,1KR01,Responsive Maintenance,  ,,72357.15
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/10/2024,A&J KEITH LTD,9233090,revenue,1KR01,Responsive Maintenance,  ,,96450.95
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/10/2024,A&J KEITH LTD,9233094,revenue,1KR02,Damp and Mould,  ,,98880.22
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,11/10/2024,A&J KEITH LTD,9233095,revenue,1KR20,M&E Electrical,  ,,19412.51
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,01/10/2024,A&J KEITH LTD,9225528,revenue,1KVWC,Minor Works Contracts,  ,,195003.24
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,01/10/2024,A&J KEITH LTD,9225558,revenue,1KVWC,Minor Works Contracts,  ,,270414.89
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,14/10/2024,A&J KEITH LTD,9233730,revenue,1KVWC,Minor Works Contracts,  ,,32315.84
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,14/10/2024,A&J KEITH LTD,9233732,revenue,1KVWC,Minor Works Contracts,  ,,269991.20
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,14/10/2024,A&J KEITH LTD,9233733,revenue,1KVWC,Minor Works Contracts,  ,,212618.70
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/10/2024,A&J KEITH LTD,9244184,revenue,1KVWC,Minor Works Contracts,  ,,205002.08
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/10/2024,A&J KEITH LTD,9244185,revenue,1KVWC,Minor Works Contracts,  ,,264608.25
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,28/10/2024,A&S LOCKSMITHS,9244379,revenue,1KL84,Out of Scope Open Space,  ,,292.70
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,31/10/2024,A&S LOCKSMITHS,9248481,revenue,1DR03,Grainger Market,  ,,522.77
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,28/10/2024,A&S LOCKSMITHS,9244377,revenue,1DZ08,The Crossway Lemington,  ,,299.61
Children & Families,Children's Social Care,Revenue Expenditure,07/10/2024,A1 FOSTER CARE,9229505,revenue,1MC22,External Foster Care Costs,  ,,4560.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,04/10/2024,AAA CHEMICALS LTD,9219034,revenue,3KES1,City Transport Stock,  ,,1035.20
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ABBEYFIELD CASTLE FARM,9230155,revenue,1MG20,Residential Care OP,  ,,13997.92
Adult Social Care & Prevention,Community Support,Revenue Expenditure,08/10/2024,ABBEYFIELD THE GROVE,9230149,revenue,1MG20,Residential Care OP,  ,,13997.92
Children & Families,Children's Social Care,Capital Expenditure,18/10/2024,ABLE GROUP,9233072,Capital,2CAPI,Capital Investment,ESC08,Slatyford Lne CH Refurbishmnt,810.00
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/10/2024,ABSOLUTE JOINERY AND PROPERTY MAINT,9238102,revenue,1KL84,Out of Scope Open Space,  ,,1375.00
CFO Directorate,Revenues and Benefits,Revenue Expenditure,15/10/2024,ACCESS INDEPENDENT,9235348,revenue,1CS00,Revs and Bens Staffing,  ,,1407.84
CFO Directorate,Revenues and Benefits,Revenue Expenditure,03/10/2024,ACCESS INDEPENDENT,9228164,revenue,1CS00,Revs and Bens Staffing,  ,,638.70
Children & Families,Education Schools/DSG,Revenue Expenditure,03/10/2024,ACORN CARE & EDUCATION LTD,9228032,revenue,1E20A,SB Independent Schools,  ,,42414.26
Children & Families,Education Schools/DSG,Revenue Expenditure,03/10/2024,ACORN CARE & EDUCATION LTD,9228035,revenue,1E20P,High Needs Post16 Funding,  ,,8895.50
Children & Families,Children's Social Care,Revenue Expenditure,07/10/2024,ACORN HOUSE,9229506,revenue,1MC22,External Foster Care Costs,  ,,4003.68
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,25/10/2024,ACP,9228015,revenue,1KSCD,External Vehicle Tracking,  ,,3057.65
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,09/10/2024,ACP,9231110,revenue,1KSCD,External Vehicle Tracking,  ,,3077.35
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,03/10/2024,ACP,9212983,revenue,1KSCD,External Vehicle Tracking,  ,,1089.65
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,25/10/2024,ACP,9228014,revenue,1KESW,Fleet & Maintce Internal SLA,  ,,4159.95
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,09/10/2024,ACP,9231110,revenue,1KESW,Fleet & Maintce Internal SLA,  ,,4175.55
Children & Families,Children's Social Care,Revenue Expenditure,07/10/2024,ACTION FOR CHILDREN,9229532,revenue,1MC02,External Residential Placement,  ,,21568.00
Children & Families,Early Help and Family Support,Revenue Expenditure,02/10/2024,ACTION FOR CHILDREN,9227433,revenue,1EEG3,Ext Comm Services,  ,,464999.64
Children & Families,Early Help and Family Support,Revenue Expenditure,02/10/2024,ACTION FOR CHILDREN,9227434,revenue,1FHSL,Family Hubs and Start for Life,  ,,126215.13
Public Health Service,Public Health,Revenue Expenditure,03/10/2024,ACTION FOR CHILDREN,9227780,revenue,1ML18,SSMTRG,  ,,25000.00
Housing & Communities,Support Serv Active Incl,Revenue Expenditure,31/10/2024,ACTION FOUNDATION,9248314,revenue,1VH23,Asylum Dispersal,  ,,750.00
Children & Families,Children's Social Care,Revenue Expenditure,07/10/2024,ACTIVE ARK,9229533,revenue,1MC02,External Residential Placement,  ,,19343.56
Workforce & Development,Employee Services,Revenue Expenditure,29/10/2024,AD WARRIOR LTD,9245554,revenue,1CF00,Payroll,  ,,5500.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,25/10/2024,ADARE LTD,9236247,revenue,1FL01,Electoral Registration Unit,  ,,4200.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,30/10/2024,ADARE LTD,9238387,revenue,1FK03,Municipal Elections,  ,,1249.10
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,30/10/2024,ADARE LTD,9242926,revenue,1FK03,Municipal Elections,  ,,753.33
Children & Families,Children's Social Care,Capital Expenditure,08/10/2024,ADDERSTONE LIVING LTD,9230276,Capital,2CAPI,Capital Investment,ESC06,West Denton Childrens Home,60874.00
Children & Families,Children's Social Care,Capital Expenditure,31/10/2024,ADDERSTONE LIVING LTD,9247253,Capital,2CAPI,Capital Investment,ESC06,West Denton Childrens Home,150872.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,18/10/2024,ADELPHI HOTEL,9236914,revenue,1MN30,NRPF Adults,  ,,300.00
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,11/10/2024,ADT FIRE & SECURITY,9232875,revenue,1KJ94,Security Services Delegated,  ,,399.80
CFO Directorate,Finance,Revenue Expenditure,30/10/2024,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,9233821,revenue,1FF51,Finance,  ,,600.00
CFO Directorate,Finance,Revenue Expenditure,30/10/2024,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,9233827,revenue,1FF51,Finance,  ,,6400.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,25/10/2024,ADVANCED GROUP SERVICES LTD,9225956,revenue,3KES1,City Transport Stock,  ,,295.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,30/10/2024,ADVANCED RENEWABLE POWER LTD,9236317,revenue,1FRAW,Premises Contracts,  ,,850.00
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,30/10/2024,ADVANCED RENEWABLE POWER LTD,9236316,revenue,1KKX1,Civic Centre Direct Costs,  ,,2625.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,11/10/2024,ADVANCED TOTAL SUPPLIES LTD,9221080,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,17/10/2024,ADVANCED TOTAL SUPPLIES LTD,9219195,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,15/10/2024,ADVANCED TOTAL SUPPLIES LTD,9234395,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,8880.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,09/10/2024,ADVANCED TOTAL SUPPLIES LTD,9218492,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,18/10/2024,ADVANCED TOTAL SUPPLIES LTD,9224257,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,03/10/2024,ADVANCED TOTAL SUPPLIES LTD,9212981,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,03/10/2024,ADVANCED TOTAL SUPPLIES LTD,9214178,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9408.00
"City Ops, Nghbrhds & Reg Srvcs",Facility Services / Civic Mgt,Capital Expenditure,30/10/2024,ADVANCED TOTAL SUPPLIES LTD,9236311,Capital,2CAPI,Capital Investment,KQ401,NFS Inventories,9936.00
Housing & Communities,Support Serv Active Incl,Revenue Expenditure,16/10/2024,ADVANCED TOTAL SUPPLIES LTD,9222448,revenue,1VH22,Temporary Accommodation Prem,  ,,1839.50
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,23/10/2024,ADVANCED WATER TECHNOLOGIES,9225757,revenue,1KR05,District Heating,  ,,4992.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,23/10/2024,ADVANCED WATER TECHNOLOGIES,9241926,revenue,1KR05,District Heating,  ,,1100.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,23/10/2024,ADVANCED WATER TECHNOLOGIES,9241926,revenue,1KR8L,Wide District Heating,  ,,265.00
