Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,07/05/2024,18 SEA VIEW VILLAS,9119879,revenue,1MK34,Shared Lives - Adult LD,2020.84
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127227,revenue,1E212,Transport Special,2433.84
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127228,revenue,1E212,Transport Special,1270.98
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127229,revenue,1E212,Transport Special,2649.60
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127230,revenue,1E212,Transport Special,1983.48
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127231,revenue,1E212,Transport Special,3146.29
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127233,revenue,1E212,Transport Special,3152.04
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127234,revenue,1E212,Transport Special,2021.70
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127235,revenue,1E212,Transport Special,2104.32
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127236,revenue,1E212,Transport Special,3123.36
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127237,revenue,1E212,Transport Special,2577.96
Children & Families,Education,Revenue Expenditure,30/05/2024,24X7 LTD,9127239,revenue,1E212,Transport Special,1666.08
Adult Social Care & Prevention,Integrated Services,Revenue Expenditure,09/05/2024,4-5 GRAYS INN SQUARE LTD,9103655,revenue,1VH26,Housing Advice Centre,1800.00
HRA Expenditure,General Management,Revenue Expenditure,31/05/2024,4-5 GRAYS INN SQUARE LTD,9121856,revenue,1HCIS,HRA Insurance Services,700.00
HRA Expenditure,General Management,Revenue Expenditure,30/05/2024,4-5 GRAYS INN SQUARE LTD,9136569,revenue,1HCIS,HRA Insurance Services,750.00
HRA Expenditure,General Management,Revenue Expenditure,08/05/2024,4-5 GRAYS INN SQUARE LTD,9120959,revenue,1HCIS,HRA Insurance Services,850.00
HRA Expenditure,General Management,Revenue Expenditure,08/05/2024,4-5 GRAYS INN SQUARE LTD,9105365,revenue,1HCIS,HRA Insurance Services,650.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,13/05/2024,4NET TECHNOLOGIES LTD,9123067,revenue,1CC24,Telecoms,5594.40
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,16/05/2024,4NET TECHNOLOGIES LTD,9127196,revenue,1CC24,Telecoms,5913.83
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,14/05/2024,4NET TECHNOLOGIES LTD,9123693,revenue,1CC24,Telecoms,5350.00
Children & Families,Education,Revenue Expenditure,14/05/2024,A D CLARENCE,9123718,revenue,1E558,SB Music Service,1360.80
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,13/05/2024,A L DALTON LTD,9123722,revenue,1KKX1,Civic Centre Direct Costs,1884.00
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,31/05/2024,A&J KEITH LTD,9137926,revenue,1KR10,Voids,14023.58
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,31/05/2024,A&J KEITH LTD,9137926,revenue,1KVWC,Minor Works Contracts,512551.58
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,31/05/2024,A&J KEITH LTD,9137442,revenue,1KVWC,Minor Works Contracts,27077.42
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,15/05/2024,A&J KEITH LTD,9126139,revenue,1KR10,Voids,45975.08
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,15/05/2024,A&J KEITH LTD,9126143,revenue,1KVWC,Minor Works Contracts,156845.68
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,15/05/2024,A&J KEITH LTD,9126144,revenue,1KVWC,Minor Works Contracts,278670.41
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,16/05/2024,A&J KEITH LTD,9127389,revenue,1KR01,Responsive Maintenance,75433.74
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,03/05/2024,A&J KEITH LTD,9117443,revenue,1KR10,Voids,29466.93
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,03/05/2024,A&J KEITH LTD,9107028,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,704.48
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,17/05/2024,A&J KEITH LTD,9126134,revenue,1KR20,M&E Electrical,5730.84
"City Ops, Nghbrhds & Reg Srvcs",Repairs & Construction Service,Revenue Expenditure,30/05/2024,A&S LOCKSMITHS,9135553,revenue,1KVWC,Minor Works Contracts,491.30
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,13/05/2024,A&S LOCKSMITHS,9123274,revenue,1DY50,Misc Corporate Estates,295.44
Corporate Budgets,Commercial Dev & Property,Revenue Expenditure,29/05/2024,A&S LOCKSMITHS,9135554,revenue,1DT10,Riversdales Court Ind Est,530.45
Children & Families,Children's Social Care,Revenue Expenditure,20/05/2024,A1 FOSTER CARE,9128995,revenue,1MC22,IND Sector Foster Carer Costs,4560.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,30/05/2024,AAA CHEMICALS LTD,9136464,revenue,3KES1,City Transport Stock,776.40
Deputy Chief Executive,Education & Skills Services,Revenue Expenditure,30/05/2024,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,9123592,revenue,1EA15,Newcastle City Learning Main,320.00
Deputy Chief Executive,Education & Skills Services,Revenue Expenditure,03/05/2024,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,9110848,revenue,1EA15,Newcastle City Learning Main,549.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/05/2024,ABBEYFIELD CASTLE FARM,9129664,revenue,1MG20,Residential Care OP,7840.45
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/05/2024,ABBEYFIELD THE GROVE,9129658,revenue,1MG20,Residential Care OP,37772.42
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/05/2024,ABBEYMOOR,9129665,revenue,1MH10,Nursing Care PD,12653.16
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/05/2024,ABBEYMOOR LIFEWAYS,9129703,revenue,1MG10,Nursing Care OP,943.52
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/05/2024,ABBEYMOOR LIFEWAYS,9129703,revenue,1MH10,Nursing Care PD,6965.32
Adult Social Care & Prevention,Community Support,Revenue Expenditure,21/05/2024,ABBEYMOOR LIFEWAYS,9129703,revenue,1MM10,Nursing Care MH,12425.72
Adult Social Care & Prevention,Community Support,Revenue Income,21/05/2024,ABBEYMOOR LIFEWAYS,9129703,revenue,1MM10,Nursing Care MH,-491.80
