Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,19/11/2024,18 SEA VIEW VILLAS,9260965,revenue,1MK34,Shared Lives - Adult LD,#N/A,,2162.28
Children & Families,Education,Revenue Expenditure,19/11/2024,24X7 LTD,9252665,revenue,1E212,Transport Special,#N/A,,46246.47
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,19/11/2024,4NET TECHNOLOGIES LTD,9261207,revenue,1CC24,Telecoms,#N/A,,5267.71
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,19/11/2024,4NET TECHNOLOGIES LTD,9261208,revenue,1CC24,Telecoms,#N/A,,5680.02
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,01/11/2024,A COOLE ELECTRICAL LTD,9241721,revenue,1KVEE,Electrical Stand Alone Works,#N/A,,510.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,28/11/2024,A COOLE ELECTRICAL LTD,9261937,revenue,1KVEE,Electrical Stand Alone Works,#N/A,,1540.00
Children & Families,Children's Social Care,Revenue Expenditure,27/11/2024,A J TURNBULL,9266802,revenue,1MF01,CIC & Care Leavers,#N/A,,400.00
Children & Families,Children's Social Care,Revenue Expenditure,12/11/2024,A J TURNBULL,9256425,revenue,1MF01,CIC & Care Leavers,#N/A,,349.99
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/11/2024,A&J KEITH LTD,9259287,revenue,1KR01,Responsive Maintenance,#N/A,,83741.62
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/11/2024,A&J KEITH LTD,9259302,revenue,1KR01,Responsive Maintenance,#N/A,,87448.98
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/11/2024,A&J KEITH LTD,9259303,revenue,1KR01,Responsive Maintenance,#N/A,,36731.80
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/11/2024,A&J KEITH LTD,9259289,revenue,1KR02,Damp and Mould,#N/A,,114550.44
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,15/11/2024,A&J KEITH LTD,9259301,revenue,1KR20,M&E Electrical,#N/A,,25886.76
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,26/11/2024,A&J KEITH LTD,9265777,revenue,1KVWC,Minor Works Contracts,#N/A,,21741.42
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,14/11/2024,A&J KEITH LTD,9258521,revenue,1KVEE,Electrical Stand Alone Works,#N/A,,9133.00
