Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,17/12/2024,18 SEA VIEW VILLAS,9283648,revenue,1MK34,Shared Lives - Adult LD,#N/A,,2162.28
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,05/12/2024,1SPATIAL GROUP LTD,9261986,revenue,1CM00,IT Management & Admin,#N/A,,650.00
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,13/12/2024,1SPATIAL GROUP LTD,9267980,revenue,1EJ10,Digital Newcastle,#N/A,,2940.00
Children & Families,Education,Revenue Expenditure,05/12/2024,24X7 LTD,9273690,revenue,1E212,Transport Special,#N/A,,48837.62
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/12/2024,3T TRAINING SERVICES LTD,9274580,revenue,1KB06,Citybuild Training,#N/A,,1400.00
HRA Expenditure,General Management,Revenue Expenditure,04/12/2024,4-5 GRAYS INN SQUARE LTD,9272252,revenue,1HCIS,HRA Insurance Services,#N/A,,675.00
HRA Expenditure,General Management,Revenue Expenditure,11/12/2024,4-5 GRAYS INN SQUARE LTD,9279490,revenue,1HRA1,HRA-General,#N/A,,1800.00
Operations & Regulatory Services ,Operations,Revenue Expenditure,18/12/2024,4A WINDSCREEN COMPANY,9261883,revenue,3KES1,City Transport Stock,#N/A,,385.00
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,10/12/2024,A&J KEITH LTD,9277435,revenue,1KR01,Responsive Maintenance,#N/A,,3620.00
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/12/2024,A&J KEITH LTD,9283445,revenue,1KR01,Responsive Maintenance,#N/A,,84908.21
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/12/2024,A&J KEITH LTD,9283443,revenue,1KR02,Damp and Mould,#N/A,,204369.51
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/12/2024,A&J KEITH LTD,9283447,revenue,1KR10,Voids,#N/A,,31394.30
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,18/12/2024,A&J KEITH LTD,9283446,revenue,1KR20,M&E Electrical,#N/A,,11960.40
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/12/2024,A&J KEITH LTD,9281400,revenue,1KR01,Responsive Maintenance,#N/A,,94850.64
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/12/2024,A&J KEITH LTD,9281389,revenue,1KR01,Responsive Maintenance,#N/A,,42575.87
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/12/2024,A&J KEITH LTD,9281401,revenue,1KR20,M&E Electrical,#N/A,,19693.27
