Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Housing & Communities,Support Serv Active Incl,Revenue Expenditure,22/01/2025,ACTION FOR CHILDREN,9297565,revenue,1VH22,Temporary Accommodation Prem,#N/A,,4664.75
Public Health Service,Public Health,Revenue Expenditure,06/01/2025,ACTION FOR CHILDREN,9293693,revenue,1ML18,SSMTRG,#N/A,,25000.00
Children & Families,Children's Social Care,Revenue Expenditure,27/01/2025,ACTIVE ARK,9310172,revenue,1MC02,External Residential Placement,#N/A,,19343.56
Workforce & Development,Operational HR,Revenue Expenditure,10/01/2025,AD WARRIOR LTD,9285731,revenue,1CF00,Payroll,#N/A,,3100.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,22/01/2025,ADARE LTD,9302328,revenue,1FL01,Electoral Registration Unit,#N/A,,532.05
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,17/01/2025,ADARE LTD,9303633,revenue,1FL01,Electoral Registration Unit,#N/A,,1190.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,17/01/2025,ADARE LTD,9303635,revenue,1FL01,Electoral Registration Unit,#N/A,,595.00
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,17/01/2025,ADARE LTD,9303861,revenue,1FL01,Electoral Registration Unit,#N/A,,5056.25
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,15/01/2025,ADARE LTD,9297092,revenue,1FL01,Electoral Registration Unit,#N/A,,468.99
"City Ops, Nghbrhds & Reg Srvcs",Democratic Services,Revenue Expenditure,15/01/2025,ADARE LTD,9297093,revenue,1FL01,Electoral Registration Unit,#N/A,,3625.81
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,10/01/2025,ADC ELECTRICAL CO LTD(F),9293533,revenue,1KR05,District Heating,#N/A,,1798.50
Investment & Growth,Transport,Revenue Expenditure,30/01/2025,ADMEC ENVIRONMENTAL SERVICES LTD,9313631,revenue,1KW32,Gullies Team,#N/A,,342.36
Investment & Growth,Transport,Revenue Expenditure,15/01/2025,ADMEC ENVIRONMENTAL SERVICES LTD,9285494,revenue,1KW32,Gullies Team,#N/A,,286.56
CFO Directorate,Procurement,Revenue Expenditure,28/01/2025,ADOBE SYSTEMS SOFTWARE IRELAND LTD,9311094,revenue,1CP60,Resources Comm & Procurement,#N/A,,4858.50
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,09/01/2025,ADT FIRE & SECURITY,9297352,revenue,1KJ94,Security Services Delegated,#N/A,,809.40
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,09/01/2025,ADT FIRE & SECURITY,9297351,revenue,1KJ94,Security Services Delegated,#N/A,,341.72
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,10/01/2025,ADT FIRE & SECURITY,9297488,revenue,1KJ94,Security Services Delegated,#N/A,,315.90
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,15/01/2025,ADT FIRE & SECURITY,9301795,revenue,1KJ94,Security Services Delegated,#N/A,,809.40
