Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MG20,Residential Care OP,#N/A,,95963.63
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MH10,Nursing Care PD,#N/A,,3499.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MH20,Residential Care PD,#N/A,,3499.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MK10,Nursing Care LD,#N/A,,4443.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MM10,Nursing Care MH,#N/A,,12385.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLAN COURT RESIDENTIAL HOME,9311167,revenue,1MM20,Residential Care MH,#N/A,,3499.48
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,10/01/2025,ALLIANCE DISPOSABLES LTD,9292045,revenue,1KFR6,Benfield Comp,#N/A,,416.65
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,17/01/2025,ALLIANCE DISPOSABLES LTD,9292050,revenue,1KFR5,St Marys RC School,#N/A,,602.18
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,03/01/2025,ALLIANCE DISPOSABLES LTD,9278290,revenue,1EJ20,City Library and Hub,#N/A,,356.80
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,29/01/2025,ALLIANCE DISPOSABLES LTD,9292048,revenue,1KFR1,Kenton School Academy,#N/A,,634.62
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,29/01/2025,ALLIANCE DISPOSABLES LTD,9292046,revenue,1KFW6,Jesmond Park School,#N/A,,1374.55
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,15/01/2025,ALLIANCE DISPOSABLES LTD,9295018,revenue,1KFP9,Gosforth Academy,#N/A,,560.29
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,15/01/2025,ALLIANCE DISPOSABLES LTD,9302044,revenue,1KFX2,School Meals Overhead,#N/A,,530.20
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,15/01/2025,ALLIANCE DISPOSABLES LTD,9302049,revenue,1KFX2,School Meals Overhead,#N/A,,1019.07
CFO Directorate,Revenues and Benefits,Revenue Expenditure,30/01/2025,ALLIED PUBLICITY SERVICES(MANCHESTER)LTD,9298455,revenue,1CS00,Revs and Bens Staffing,#N/A,,1478.57
Adult Social Care & Prevention,Community Support,Revenue Expenditure,28/01/2025,ALLINGTON HOUSE,9311151,revenue,1MG20,Residential Care OP,#N/A,,3468.16
Adult Social Care & Prevention,Community Support,Revenue Income,28/01/2025,ALLINGTON HOUSE,9311151,revenue,1MG20,Residential Care OP,#N/A,,-867.84
Housing & Communities,Head Housing Services,Revenue Expenditure,31/01/2025,ALLPAY.NET LIMITED,9294864,revenue,1BC10,Income General Team,#N/A,,620.68
