Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Place,Transport,Capital Expenditure,05/04/2024,POLARIS REAL ESTATE,9082018,Capital,2CAPI,Capital Investment,1200.00
Operations & Reg Services,Operations,Revenue Expenditure,22/04/2024,POLICE AND CRIME COMMISSIONER,9109781,revenue,1D560,Resilience Planning,3375.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098188,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,459.28
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098189,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,609.00
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098194,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,1253.18
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098195,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,526.76
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098326,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,267.88
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098328,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,384.14
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098329,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,662.60
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098330,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,779.98
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098331,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,721.68
Operations & Reg Services,Repairs & Construction Service,Revenue Expenditure,05/04/2024,POLYGON,9098332,revenue,1KR59,Ad Hoc Extnl Contract Mgt Exp,288.24
Place,Transport,Revenue Expenditure,19/04/2024,POLYGON,9105256,revenue,1KEMC,Highways,1720.74
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,17/04/2024,PONTELAND HIGH SCHOOL,9102778,revenue,1E211,SB Olea-Extra District Recoup,9941.03
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,23/04/2024,PONTELAND MANOR,9110971,revenue,1MG20,Residential Care OP,2980.68
ASC & Integrated Services,Adult Social Care,Revenue Income,23/04/2024,PONTELAND MANOR,9110971,revenue,1MG20,Residential Care OP,-939.06
"Children, Education and Skills",Education Schools/DSG,Revenue Expenditure,26/04/2024,PONTELAND PRIVATE NURSERY,9112923,revenue,1E20V,Mainstream Schools Top Ups,8235.32
Public Health Service,Public Health,Revenue Expenditure,17/04/2024,PONTELAND ROAD PHARMACY,9108078,revenue,1ML11,PH - Smoking & Tobacco,1342.99
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,05/04/2024,POPPIES NORTH LIMITED,9099159,revenue,1MG50,Home Care OP,305.67
Operations & Reg Services,Facilities Serv and Civic Mgmt,Revenue Expenditure,18/04/2024,PORTAKABIN LIMITED,9108476,revenue,1CC52,Outer West Library Hub,4827.31
