Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,10/04/2024,READYPAY LTD,9099602,revenue,1MK60,Ind Day Care LD,684.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099620,revenue,1MK60,Ind Day Care LD,792.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099621,revenue,1MK60,Ind Day Care LD,990.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099623,revenue,1MK60,Ind Day Care LD,684.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099618,revenue,1MK60,Ind Day Care LD,320.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099619,revenue,1MK60,Ind Day Care LD,480.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099490,revenue,1MK60,Ind Day Care LD,480.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099491,revenue,1MK60,Ind Day Care LD,400.00
ASC & Integrated Services,Adult Social Care,Revenue Expenditure,24/04/2024,READYPAY LTD,9099492,revenue,1MK60,Ind Day Care LD,480.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,17/04/2024,READYPAY LTD,9099605,revenue,1MC20,In-House Foster Carer Costs,700.00
"Children, Education and Skills",Children's Social Care,Revenue Expenditure,30/04/2024,READYPAY LTD,9099616,revenue,1MC20,In-House Foster Carer Costs,560.00
