Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Capital Code,Capital Code Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,14/03/2025,18 SEA VIEW VILLAS,9350560,revenue,1MK34,Shared Lives - Adult LD,#N/A,,2162.28
Children & Families,Education,Revenue Expenditure,31/03/2025,24X7 LTD,9342943,revenue,1E212,Transport Special,#N/A,,52094.11
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,19/03/2025,4NET TECHNOLOGIES LTD,9354873,revenue,1CC24,Telecoms,#N/A,,5784.64
"City Ops, Nghbrhds & Reg Srvcs",ICT,Revenue Expenditure,11/03/2025,4NET TECHNOLOGIES LTD,9346198,revenue,1CC24,Telecoms,#N/A,,5818.80
"City Ops, Nghbrhds & Reg Srvcs",Facilities Serv and Civic Mgmt,Revenue Expenditure,20/03/2025,A T F RETAIL LTD,9356057,revenue,1EJ20,City Library and Hub,#N/A,,540.00
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,20/03/2025,A&J KEITH LTD,9355948,revenue,1KR20,M&E Electrical,#N/A,,50529.80
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,24/03/2025,A&J KEITH LTD,9358271,revenue,1KR02,Damp and Mould,#N/A,,144138.72
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/03/2025,A&J KEITH LTD,9350741,revenue,1KR01,Responsive Maintenance,#N/A,,139427.89
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/03/2025,A&J KEITH LTD,9350742,revenue,1KR01,Responsive Maintenance,#N/A,,97176.13
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/03/2025,A&J KEITH LTD,9351112,revenue,1KR01,Responsive Maintenance,#N/A,,37823.56
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/03/2025,A&J KEITH LTD,9351116,revenue,1KR10,Voids,#N/A,,23358.25
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,14/03/2025,A&J KEITH LTD,9350748,revenue,1KR20,M&E Electrical,#N/A,,6907.23
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,13/03/2025,A&J KEITH LTD,9345077,revenue,1KVEE,Construction Electrical,#N/A,,5220.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,10/03/2025,A&J KEITH LTD,9345076,revenue,1KVEE,Construction Electrical,#N/A,,10673.00
Children & Families,Children's Social Care,Revenue Expenditure,13/03/2025,A1 BLINDS,9349848,revenue,1MB29,Family Time Team,#N/A,,340.83
Workforce & Development,Employability Team,Revenue Expenditure,07/03/2025,A1 FORKLIFT TRUCK TRAINING LTD,9326169,revenue,1FP20,Employability,#N/A,,1500.00
Children & Families,Children's Social Care,Revenue Expenditure,24/03/2025,A1 FOSTER CARE,9358163,revenue,1MC22,External Foster Care Costs,#N/A,,4560.00
Deputy Chief Executive,Education & Skills Services,Revenue Expenditure,03/03/2025,AAT ASSOCIATION  ACCOUNTANCY TECHNICIANS,9322099,revenue,1EA15,Newcastle City Learning Main,#N/A,,276.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,24/03/2025,ABBEYFIELD CASTLE FARM,9358404,revenue,1MG20,Residential Care OP,#N/A,,17497.40
