Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Children & Families,Education,Revenue Expenditure,20/08/2024,A D CLARENCE,9194900,revenue,1E558,SB Music Service,1898.40
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANDREA REID,9201520,revenue,1EEP5,2Yr Old Learning & Childcare,3397.28
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANDREA REID,9201521,revenue,1EEYH,Under 2YO,9459.45
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANDREA REID,9201519,revenue,1E201,3- and 4-Year-Old,4725.00
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANDREA REID,9201522,revenue,1E201,3- and 4-Year-Old,321.30
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANNIE STOKER,9201775,revenue,1EEP5,2Yr Old Learning & Childcare,1132.43
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANNIE STOKER,9201776,revenue,1EEYH,Under 2YO,4729.73
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,ANNIE STOKER,9201774,revenue,1E201,3- and 4-Year-Old,630.00
Housing & Communities,Fairer Housing Unit,Revenue Expenditure,01/08/2024,AUBREY CORNFOOT,9182460,revenue,1VH09,Care & Repair Newcastle,471.00
Investment & Growth,Economic Development,Revenue Expenditure,28/08/2024,BENEDICTA VALENTINA MAMUINI,9188594,revenue,1FN33,Place Innovation Programme,400.00
Investment & Growth,Economic Development,Revenue Expenditure,08/08/2024,BENJAMIN DANIEL FITZGERALD,9187508,revenue,1FN33,Place Innovation Programme,300.00
Corporate Budgets,Corporate Budgets,Revenue Expenditure,09/08/2024,BEVAN BRITTAN,9179745,revenue,1RB81,Housing Review,4186.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,BRIARDENE MH,9190842,revenue,1MG10,Nursing Care OP,81271.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,BRIARDENE MH,9190842,revenue,1MG20,Residential Care OP,54245.25
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,BRIARDENE MH,9190842,revenue,1MM20,Residential Care MH,3745.28
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,CAROL LUMSDEN,9201784,revenue,1EEP5,2Yr Old Learning & Childcare,4076.73
Children & Families,Education Schools/DSG,Revenue Expenditure,28/08/2024,CAROL LUMSDEN,9201785,revenue,1EEYH,Under 2YO,1576.58
Investment & Growth,Economic Development,Revenue Expenditure,08/08/2024,CEITIDH MAC,9187288,revenue,1FN33,Place Innovation Programme,300.00
HRA Expenditure,General Management,Revenue Expenditure,23/08/2024,COYNE LEARMONTH,9198397,revenue,1HCIS,HRA Insurance Services,10250.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,CRAGHALL,9190814,revenue,1MG20,Residential Care OP,41892.31
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,CRAGHALL,9190814,revenue,1MG30,Deferred Payments-OP,4388.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,27/08/2024,CRANLEA N H,9200099,revenue,1MG20,Residential Care OP,99264.26
Adult Social Care & Prevention,Community Support,Revenue Expenditure,27/08/2024,CRANLEA N H,9200099,revenue,1MG30,Deferred Payments-OP,3745.28
Adult Social Care & Prevention,Community Support,Revenue Expenditure,27/08/2024,CRANLEA N H,9200098,revenue,1MG20,Residential Care OP,8343.76
Adult Social Care & Prevention,Community Support,Revenue Expenditure,12/08/2024,DAVID  THOMPSON IR35,9184520,revenue,1MK60,Ind Day Care LD,495.00
Deputy Chief Executive,Climate Change Strategy,Revenue Expenditure,22/08/2024,ELAINE ROBERTSON,9197990,revenue,1FT83,Climate Change Strategy,708.85
Children & Families,Education,Revenue Expenditure,01/08/2024,ELEANOR BOEHRINGER,9182536,revenue,1E558,SB Music Service,508.20
Children & Families,Education,Revenue Expenditure,01/08/2024,ELEANOR BOEHRINGER,9182537,revenue,1E558,SB Music Service,387.60
Children & Families,Education,Revenue Expenditure,01/08/2024,ELEANOR BOEHRINGER,9182538,revenue,1E558,SB Music Service,342.00
Children & Families,Education,Revenue Expenditure,14/08/2024,ELEANOR BOEHRINGER,9191676,revenue,1E558,SB Music Service,1284.00
Children & Families,Education,Revenue Expenditure,14/08/2024,ELEANOR BOEHRINGER,9191656,revenue,1E558,SB Music Service,252.00
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,ELLA MCCAMBRIDGE,9190826,revenue,1MG20,Residential Care OP,180553.03
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,ELLA MCCAMBRIDGE,9190826,revenue,1MH20,Residential Care PD,5126.32
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,ELLA MCCAMBRIDGE,9190826,revenue,1MM20,Residential Care MH,3499.48
Adult Social Care & Prevention,Community Support,Revenue Expenditure,13/08/2024,ELLA MCCAMBRIDGE,9190825,revenue,1MG20,Residential Care OP,2808.96
