Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total (excludes VAT)
Adult Social Care & Prevention,Care & Support,Revenue Expenditure,24/09/2024,18 SEA VIEW VILLAS,9220309,revenue,1MK34,Shared Lives - Adult LD,2162.28
Children & Families,Education,Revenue Expenditure,27/09/2024,4 IMPRINT,9210018,revenue,1E31W,Education Improvement Team,1259.00
HRA Expenditure,General Management,Revenue Expenditure,25/09/2024,4-5 GRAYS INN SQUARE LTD,9222128,revenue,1HCIS,HRA Insurance Services,850.00
HRA Expenditure,General Management,Revenue Expenditure,10/09/2024,4-5 GRAYS INN SQUARE LTD,9209447,revenue,1HCIS,HRA Insurance Services,850.00
HRA Expenditure,General Management,Revenue Expenditure,19/09/2024,4-5 GRAYS INN SQUARE LTD,9198315,revenue,1HCIS,HRA Insurance Services,700.00
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/09/2024,A M HIRE,9192967,revenue,1KESY,External Hires,1027.60
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,17/09/2024,A&J KEITH LTD,9214612,revenue,1KR01,Responsive Maintenance,110662.65
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/09/2024,A&J KEITH LTD,9212921,revenue,1KR01,Responsive Maintenance,59860.60
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/09/2024,A&J KEITH LTD,9212927,revenue,1KR01,Responsive Maintenance,45225.71
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,13/09/2024,A&J KEITH LTD,9212901,revenue,1KR20,M&E Electrical,6558.03
"City Ops, Nghbrhds & Reg Srvcs",Local Services,Revenue Expenditure,16/09/2024,A&J KEITH LTD,9214611,revenue,1KR02,Damp and Mould,96226.85
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,17/09/2024,A&J KEITH LTD,9215899,revenue,1KVWC,Minor Works Contracts,197926.45
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,17/09/2024,A&J KEITH LTD,9215900,revenue,1KVWC,Minor Works Contracts,267426.74
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,12/09/2024,A&J KEITH LTD,9212257,revenue,1KVWC,Minor Works Contracts,36213.83
"City Ops, Nghbrhds & Reg Srvcs",Operations,Revenue Expenditure,06/09/2024,A&J KEITH LTD,9207024,revenue,1KVEE,Electrical Stand Alone Works,5085.17
