Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45295,30432482,2340,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Public Health,Substance Misuse,Other Establishments,45295,30432566,109851,,Revenue,507882,"CGL - Change, Grow, Live",Third Party Payments - Contract
Peterborough City Council,Corporate Services,Commercial - Office,Services,45295,30433072,291.22,,Revenue,509747,Restore Plc document Management Services Division,Storage
Peterborough City Council,Corporate Services,Commercial - Office,Services,45295,30433072,683.06,,Revenue,509747,Restore Plc document Management Services Division,Storage
Peterborough City Council,Place & Economy,"City Centre, Markets and Events",Services,45295,30434612,12000,,Revenue,522899,Peterborough Community Radio Ltd,Civic Events
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45295,30434640,1950,,Revenue,521834,Oak Activities Limited,Education Expenses
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30434981,2898.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Community Capacity,Repair & Maintenance of Buildings,45295,30435250,719.12,,Revenue,500473,Businesswatch UK Fire & Security,Maintenance
Peterborough City Council,Children and Young People,Early Years & Quality Improvement,Services,45295,30435343,675,,Revenue,500023,NewArk Play Association Ltd,Grant Payment
Peterborough City Council,Corporate Services,Peterborough Serco Strategic Partnership,Services,45295,30435416,1690,,Revenue,501908,Weightmans LLP,Legal Costs
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45295,30435567,1010,,Revenue,524741,Redacted Personal Information,Financial Assistance
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30435608,2761.45,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30435610,1661.45,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30435611,2898.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Health & Safety,Agency Staff,45295,30435618,1326.99,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Health & Safety,Agency Staff,45295,30435625,1769.32,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30435633,2898.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30435634,2898.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45295,30435636,3497.9,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30435656,3173.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate,Corporate,Non Revenue,45295,30435777,8738.23,,Capital,500942,Serco Ltd,Consultants Fees
Peterborough City Council,Public Health,DPH Office &Intelligence Team and Projects,Agency Staff,45295,30435910,2300,,Revenue,500678,Eden Brown Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45295,30435940,16226.4,,Revenue,502261,Thomas Deacon Education Trust,Grant Payment
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45295,30435957,2580,,Revenue,510654,Gillan Legal Solutions Ltd,Education Expenses
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45295,30435959,5197.5,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45295,30435960,8292.5,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Service Director Education,Agency Staff,45295,30435963,14297,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45295,30435967,19140,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Environmental Enforcement & CCTV,Services,45295,30435968,4556.08,,Revenue,500919,Synectics Security Ltd,CCTV
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45295,30435969,5841,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45295,30435969,5841,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45295,30435970,7425,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45295,30435973,4284,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45295,30435975,8500,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45295,30435984,2416.47,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45295,30435985,2416.47,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,PFI,Services,45295,30436037,70155.25,,Revenue,503080,IIC by Education (P'boro) Ltd,Service Charge
Peterborough City Council,Children and Young People,PFI,Services,45295,30436039,4602.59,,Revenue,503080,IIC by Education (P'boro) Ltd,Service Charge
Peterborough City Council,Corporate Services,Gov HOS,Agency Staff,45295,30436069,5600,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Democratic Services,Agency Staff,45295,30436090,2012.5,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Peterborough Serco Strategic Partnership,Services,45295,30436112,6668.6,,Revenue,500853,Wilkin Chapman LLP,Legal Costs
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45295,30436122,750,,Revenue,502044,Redacted Personal Information,Education Expenses
Peterborough City Council,Corporate Services,HR,Employee Related Expenses,45295,30436132,11802.4,,Revenue,522914,SME HCI Limited,Third Party Payments - Contract
Peterborough City Council,Corporate Services,HR,Employee Related Expenses,45295,30436133,3874.14,,Revenue,522914,SME HCI Limited,Third Party Payments - Contract
Peterborough City Council,Place & Economy,Environmental Enforcement & CCTV,Services,45295,30436135,524.95,,Revenue,500883,keltic Ltd,Uniform/Protective Clothing
Peterborough City Council,Children and Young People,Targeted Youth Service,Services,45295,30436137,1949.96,,Revenue,508757,Boxing Futures Ltd,Subscriptions
Peterborough City Council,Place & Economy,Housing Enforcement,Agency Staff,45295,30436140,2135,,Revenue,524578,"Vivid Resourcing, Div of G2V Recruitment Grp Ltd",External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45295,30436149,15616,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Public Health,Children 0-5 Health Visitors,Other Establishments,45295,30436151,296060,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Children 5-19 Health Programmes,Other Establishments,45295,30436152,64779,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45295,30436153,1317,,Revenue,508656,B & H Services Group Ltd,Infrastructure
Peterborough City Council,Public Health,Substance Misuse,Salaries & Wages,45295,30436162,9787.5,,Revenue,511363,Campbell Tickell Ltd,Shared Services Staff Costs
Peterborough City Council,Corporate Services,IT & Digital Services,Members Allowances,45295,30436219,6040.58,,Revenue,511734,CDW Ltd,Computer Hardware
Peterborough City Council,Children and Young People,Clare Lodge,Catering,45295,30436220,701.27,,Revenue,500069,King Bros Lady Lodge Ltd,Catering Equipment / Catering Provisions
Peterborough City Council,Children and Young People,Children's Commissioning,Services,45295,30436236,2050,,Revenue,502360,BDP Social Care Ltd,Purchased Social Care Services
Peterborough City Council,Place & Economy,Housing Enforcement,Agency Staff,45295,30436238,12540,,Revenue,522788,Xander Talent Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30436262,2761.45,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Development Management,Agency Staff,45295,30436357,2062.81,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45295,30436363,573.6,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Legal Services,Services,45295,30436414,650,,Revenue,522911,Regency Barrister Chambers,Legal Costs
Peterborough City Council,Corporate,Corporate,Non Revenue,45295,30436418,16105,,Balance Sheet,501908,Weightmans LLP,Contributions
Peterborough City Council,Corporate Services,Legal Services,Services,45295,30436426,1150,,Revenue,504634,Redacted Personal Information,Legal Costs
Peterborough City Council,Corporate Services,IT & Digital Services,Agency Staff,45295,30436534,-32354.65,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,IT & Digital Services,Members Allowances,45295,30436659,1169.45,,Revenue,516000,Opus People Solutions Ltd,Computer Hardware
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45295,30436662,3619.7,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45295,30436664,3497.9,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30436665,3173.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30436669,2761.45,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Health & Safety,Agency Staff,45295,30436670,2211.65,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate,Corporate,Non Revenue,45295,30436671,1497,,Capital,516000,Opus People Solutions Ltd,Computer Software
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30436674,2898.95,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45295,30436677,1661.45,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45295,30436680,3619.7,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Rents,45295,30436742,2058,,Revenue,512790,Redacted Personal Information,Rent
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45295,30436750,5007.33,,Revenue,512251,Friends Play Pre-School,Grant Payment
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45295,30436751,650,,Revenue,521834,Oak Activities Limited,Education Expenses
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45295,30436752,15119.28,,Revenue,503294,SDN Ltd t/a Stars Day Nursery Bushfield,Grant Payment
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45295,30436755,881,,Revenue,522040,Family Action,Grant Payment
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45295,30436765,2416.47,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45295,30436767,3619.7,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45295,30436771,3619.7,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Environment Capital,Services,45295,30436775,1373,,Revenue,524724,Ongo Homes Ltd,Licences
Peterborough City Council,Corporate Services,IT & Digital Services,Agency Staff,45295,30436779,3898.15,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,IT & Digital Services,Agency Staff,45295,30436780,3898.15,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,HR,Agency Staff,45295,30436784,1840,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45295,30436796,32240.34,,Revenue,522511,Redacted Personal Information,Grant Payment
