Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Adult Social Care,Independent Sector Placements,Services,44837,8000264365,-22196.71,Revenue,502153,Redacted Commercial Confidentiality,Residential Care
Peterborough City Council,Place & Economy,Network and Traffic Management,Services,45049,30411461,4143.85,Revenue,507692,Swarco UK & Ireland Ltd,Contractors
Peterborough City Council,Place & Economy,Network and Traffic Management,Services,45049,30411684,4143.85,Revenue,507692,Swarco UK & Ireland Ltd,Contractors
Peterborough City Council,Public Health,Substance Misuse,Salaries & Wages,45049,30413286,9787.5,Revenue,511363,Campbell Tickell Ltd,Shared Services Staff Costs
Peterborough City Council,Place & Economy,Network and Traffic Management,Services,45049,30413308,4143.85,Revenue,507692,Swarco UK & Ireland Ltd,Contractors
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415603,9.96,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415603,796.8,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415604,812.51,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415605,819.43,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415606,491.56,Revenue,511816,Bellman & Symfon UK Ltd,Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415606,235.98,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415607,824.69,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30415610,816.57,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Executive Director Adult Social Care,Other Establishments,45049,30415612,3997.9,Revenue,516000,Opus People Solutions Ltd,Third Party Payments - Contract
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45049,30415691,19550,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45049,30415693,20496,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45049,30415694,16560,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate,Corporate,Non Revenue,45049,30415794,865,Capital,501360,UK Power Networks (operations) Ltd,Building And Site Works / Bus Passes
Peterborough City Council,Corporate,Corporate,Non Revenue,45049,30415797,3000,Capital,502507,Cambridgeshire County Council,Building And Site Works / Bus Passes
Peterborough City Council,Corporate Services,IT & Digital Services,Members Allowances,45049,30415804,741.3,Revenue,509281,Precisely Software Ltd,Computer Software
Peterborough City Council,Place & Economy,Regulatory Services,Services,45049,30415810,990,Revenue,505655,Wagtail UK Ltd,Professional Services
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415826,1168.53,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415828,840.88,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415829,744.5,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415832,840.88,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415835,748.2,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415836,671.72,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415837,705.79,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415838,840.88,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415840,721.08,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415841,721.08,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415853,749.88,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415856,702.78,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415857,702.78,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30415858,702.78,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Adult Social Care,Executive Director Adult Social Care,Other Establishments,45049,30415897,3997.9,Revenue,516000,Opus People Solutions Ltd,Third Party Payments - Contract
Peterborough City Council,Place & Economy,Asset & Contract Performance,Services,45049,30415937,14740,Revenue,501879,Building Software Limited,Surveys
Peterborough City Council,Children and Young People,Family Safeguarding,Services,45049,30415944,85744.26,Revenue,520556,Barnardos,Property Maintenance
Peterborough City Council,Children and Young People,Clare Lodge,Catering,45049,30415950,606.51,Revenue,500069,King Bros Lady Lodge Ltd,Catering Equipment / Catering Provisions
Peterborough City Council,Children and Young People,School Improvement,Services,45049,30415966,22522.4,Revenue,503734,"FFT Education Ltd, South Wales",Subscriptions
Peterborough City Council,Corporate Services,Democratic Services,"Tools, Equipment, Furniture & Materials",45049,30415979,1440,Revenue,501304,Service-AV.co.uk,Equipment
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45049,30415981,3685,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Services,45049,30415990,524.34,Revenue,501917,Public Analyst Scientific Services Ltd,Materials
Peterborough City Council,Public Health,Sexual Health,Salaries & Wages,45049,30415992,2282,Revenue,502507,Cambridgeshire County Council,Shared Services Staff Costs
Peterborough City Council,Children and Young People,PFI,Services,45049,30416008,56762.1,Revenue,503080,IIC by Education (P'boro) Ltd,Service Charge
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45049,30416023,1312.8,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30416047,506.51,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Adult Social Care,Therapy / Reablement teams,"Tools, Equipment, Furniture & Materials",45049,30416047,9.96,Revenue,511816,Bellman & Symfon UK Ltd,Occupational Therapy Equipment
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Other Establishments,45049,30416053,30000,Revenue,501267,Family Voice Peterborough,Grant-Third Party
Peterborough City Council,Children and Young People,Children's Commissioning,Other Establishments,45049,30416053,55000,Revenue,501267,Family Voice Peterborough,Grant-Third Party
Peterborough City Council,Corporate Services,Insurance,Premises Insurances,45049,30416055,27562.51,Revenue,515761,Marsh Ltd,Insurance Premiums
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30416132,1928,Revenue,500452,Wrixon Care Services,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45049,30416133,1928,Revenue,500452,Wrixon Care Services,External Temporary Staff
Peterborough City Council,Children and Young People,Short Breaks - one to one support,Services,45049,30416270,1554,Revenue,500391,Sahara Community Care Services Limited,Purchased Social Care Services
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Services,45049,30416286,200,Revenue,507755,Association for Public Service Excellence (APSE),Subscriptions
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Services,45049,30416286,3950,Revenue,507755,Association for Public Service Excellence (APSE),Subscriptions
Peterborough City Council,Corporate Services,HR WFD & Training,Services,45049,30416291,660,Revenue,500768,City College Peterborough,Course Instructors Fees / Courses And Seminars
Peterborough City Council,Corporate Services,Legal Services,Services,45049,30416301,750,Revenue,507652,Redacted Personal Information,Legal Costs
Peterborough City Council,Corporate,Corporate,Non Revenue,45049,30416369,525490.49,Capital,507194,R G Carter Cambridge Ltd,Building And Site Works / Bus Passes
Peterborough City Council,Corporate Services,Insurance,Premises Insurances,45049,30416387,961.59,Revenue,500692,Zurich Insurance Company,Insurance Premiums
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416413,661.67,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416420,736.49,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416421,2932.78,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416425,770.32,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416428,621.51,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416429,117034.08,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45049,30416430,8165.09,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
