Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,External Education Placements,Schools,45352,30439824,18332.33,,Revenue,508167,Red Balloon Educational Trust,Boarding Out Fees
Peterborough City Council,Place & Economy,Parking Enforcement,Services,45352,30440762,7461,,Revenue,500638,24181-TEC-Bulk-Issue,Enforcement
Peterborough City Council,Corporate Services,Gov HOS,Agency Staff,45352,30440767,5600,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45352,30440768,1182.52,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Repair & Maintenance of Buildings,45352,30440814,9349.71,,Revenue,500833,Adcock Refrig/air Conditioning Ltd,Maintenance
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45352,30440922,1143.9,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Place & Economy,Environment Capital,Services,45352,30440973,9000,,Revenue,523542,Joule Infrastructure Ltd,Consultants Fees
Peterborough City Council,Place & Economy,Director of Housing,Services,45352,30440987,5250,,Revenue,522836,Centennial Property Ltd T/A The Housing Network,Temporary Accommodation Costs
Peterborough City Council,Place & Economy,Director of Housing,Services,45352,30440987,8300,,Revenue,522836,Centennial Property Ltd T/A The Housing Network,Temporary Accommodation Costs
Peterborough City Council,Adult Social Care,Block Contracts,Other Establishments,45352,30440988,650,,Revenue,504319,Anchor Homes (Clayburn Court),Third Party Payments - Contract
Peterborough City Council,Place & Economy,Waste Management,Services,45352,30441004,14106,,Revenue,511431,Ramboll Danmark A/S,Licences
Peterborough City Council,Corporate Services,Strategic Projects,Finance,45352,30441006,3000,,Revenue,523148,Oxygen Finance Limited,Consultants Fees
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45352,30441013,571.17,,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45352,30441014,2192.86,,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45352,30441039,1540.8,,Revenue,503608,AALCO,Materials
Peterborough City Council,Children and Young People,CSC Placements,Schools,45352,30441135,26680,,Revenue,510222,The Beeches UK Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45352,30441145,24836.47,,Revenue,510222,The Beeches UK Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,PFI,Services,45352,30441191,63706.5,,Revenue,503080,IIC by Education (P'boro) Ltd,Service Charge
Peterborough City Council,Children and Young People,PFI,Services,45352,30441194,4719.66,,Revenue,503080,IIC by Education (P'boro) Ltd,Service Charge
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45352,30441198,2790.68,,Revenue,524782,Hampton’s Resourcing Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441200,626.3,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45352,30441306,22885,,Revenue,500548,Eastfield Guesthouse,Temporary Accommodation Costs
Peterborough City Council,Place & Economy,Housing Enforcement,Agency Staff,45352,30441382,12540,,Revenue,522788,Xander Talent Limited,External Temporary Staff
Peterborough City Council,Place & Economy,Growth & Regen AD,Agency Staff,45352,30441576,2052.32,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441593,576.86,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441594,630.74,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441595,520.35,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441596,545.55,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441597,579.73,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Short Breaks - one to one support,Services,45352,30441612,2416.32,,Revenue,522644,Sabanu Care Ltd,Purchased Social Care Services
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441691,939.09,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441692,804.82,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441693,824.98,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45352,30441694,518.11,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,HTS & CSC Transport,"Tools, Equipment, Furniture & Materials",45352,30441935,900,,Revenue,511068,Frithgate Limited. t/a In Car Safety Centre,Equipment
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45352,30442284,1015.98,,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Transport & Infrastructure Commissioning,Energy Costs,45352,30442291,570.39,,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
