Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45232,30430091,2698.74,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30430233,1562.7,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30430234,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Advertising,45232,30430354,5822,,Revenue,503396,Penna Plc,Recruitment Advertising
Peterborough City Council,Children and Young People,Corporate Parenting,Agency Staff,45232,30430440,594,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45232,30430510,74340,,Revenue,524533,One (Housing & Support) CIC,Temporary Accommodation Costs
Peterborough City Council,Corporate,Corporate,Non Revenue,45232,30430538,24863.87,,Capital,504410,Nene Park Trust,Building And Site Works / Bus Passes
Peterborough City Council,Children and Young People,Service Director Education,Agency Staff,45232,30430576,13456,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45232,30430579,18270,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45232,30430604,8167.5,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45232,30430606,7788,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Services,45232,30430607,14080,,Revenue,512024,Tile Hill Interim & Executive Ltd,Consultants Fees
Peterborough City Council,Corporate Services,Finance,Agency Staff,45232,30430608,3069,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45232,30430610,6800,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Network and Traffic Management,Services,45232,30430635,907.81,,Revenue,501536,PeopleScout Ltd,Advertising
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45232,30430656,2550,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45232,30430658,4800,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45232,30430659,1875,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45232,30430664,2400,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Public Health,Children 0-5 Health Visitors,Other Establishments,45232,30430704,296060,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Children 5-19 Health Programmes,Other Establishments,45232,30430705,64779,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Children 0-5 Health Visitors,Other Establishments,45232,30430706,296060,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Corporate Services,HR WFD & Training,Services,45232,30430707,570,,Revenue,502507,Cambridgeshire County Council,Course Instructors Fees / Courses And Seminars
Peterborough City Council,Public Health,Children 5-19 Health Programmes,Other Establishments,45232,30430708,64779,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30430712,1633.5,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30430714,1562.7,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Place & Economy,"City Centre, Markets and Events",Services,45232,30430727,32568.75,,Revenue,517682,Lighting & Illumination Tech. Experience Ltd,Equipment
Peterborough City Council,Place & Economy,Regulatory Services,Services,45232,30430730,3750,,Revenue,507213,Redacted Personal Information,Legal Costs
Peterborough City Council,Adult Social Care,Block Contracts,Other Establishments,45232,30430842,3517.5,,Revenue,511096,Deafblind Uk,Third Party Payments - Contract
Peterborough City Council,Children and Young People,Short Breaks - In House provision,Cleaning & Domestic Supplies,45232,30430898,575,,Revenue,501020,Bright Hygiene Manage. (London) Ltd,Cleaning
Peterborough City Council,Corporate Services,HR WFD & Training,Interview & Training Expenses,45232,30430899,2500,,Revenue,512846,Ivy Legal Limited,Training
Peterborough City Council,Corporate,Corporate,Non Revenue,45232,30430911,7957.06,,Capital,500942,Serco Ltd,Consultants Fees
Peterborough City Council,Place & Economy,Domestic Violence,Services,45232,30430918,910,,Revenue,524480,Smile Publications Limited,Publicity
Peterborough City Council,Children and Young People,Early Help,Services,45232,30430919,555,,Revenue,524480,Smile Publications Limited,Advertising
Peterborough City Council,Place & Economy,Waste Management,Services,45232,30430927,7343.7,,Revenue,508796,Invixon Limited,Waste Disposals
Peterborough City Council,Corporate Services,IT & Digital Services,Members Allowances,45232,30430928,3250.13,,Revenue,522290,Cinos Limited,Telephones
Peterborough City Council,Public Health,Smoking and Tobacco,Other Establishments,45232,30430934,11515.89,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Weight Management and Obesity,Other Establishments,45232,30430934,70859.37,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Healthy Lifestyles & Publicity,Other Establishments,45232,30430934,67009.82,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Smoking and Tobacco,Other Establishments,45232,30430934,6909.54,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Weight Management and Obesity,Other Establishments,45232,30430934,8061.13,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Sexual Health,Other Establishments,45232,30430935,394372.25,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Sexual Health,Other Establishments,45232,30430935,28494,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Weight Management and Obesity,Other Establishments,45232,30430936,6153.85,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Children 5-19 Health Programmes,Other Establishments,45232,30430937,14570,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Corporate Services,IT & Digital Services,Services,45232,30430944,10531.52,,Revenue,511734,CDW Ltd,Materials
Peterborough City Council,Children and Young People,School Improvement,Services,45232,30430956,25046.02,,Revenue,502507,Cambridgeshire County Council,Hired Services
Peterborough City Council,Public Health,Sexual Health,Other Establishments,45232,30430957,7737.5,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Children and Young People,Clare Lodge,Catering,45232,30430968,519.73,,Revenue,500069,King Bros Lady Lodge Ltd,Catering Equipment / Catering Provisions
Peterborough City Council,Corporate Services,Finance,Interview & Training Expenses,45232,30430978,14380.95,,Revenue,502970,LG Futures,Training
Peterborough City Council,Corporate Services,Bereavement Service,Repair & Maintenance of Buildings,45232,30430983,3881.28,,Revenue,500829,A M Strickland Builders,Infrastructure
Peterborough City Council,Corporate Services,Bereavement Service,Repair & Maintenance of Buildings,45232,30430983,1908,,Revenue,500829,A M Strickland Builders,Infrastructure
Peterborough City Council,Corporate,Corporate,Non Revenue,45232,30430984,36350,,Capital,517078,Dell Corporation Limited,Equipment
Peterborough City Council,Public Health,Children 0-5 Health Visitors,Other Establishments,45232,30431010,296060,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Place & Economy,Natural & Historic Environment,Services,45232,30431016,2415,,Revenue,500525,The Wildlife Trust BCN,Conservation
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45232,30431017,1071,,Revenue,503608,AALCO,Materials
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45232,30431023,2412.4,,Revenue,504056,Perkins Engines Co Ltd,Materials
Peterborough City Council,Corporate Services,Finance,Agency Staff,45232,30431056,2805.9,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Public Health,Children 5-19 Health Programmes,Other Establishments,45232,30431069,64779,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Corporate Services,HR WFD & Training,Services,45232,30431070,595,,Revenue,502507,Cambridgeshire County Council,Course Instructors Fees / Courses And Seminars
Peterborough City Council,Place & Economy,Parking Enforcement,Direct Transport Costs,45232,30431128,665.42,,Revenue,502220,F.P. Smiths Motors Ltd,Vehicle repairs
Peterborough City Council,Corporate Services,Legal Services,Services,45232,30431129,1600,,Revenue,504634,Redacted Personal Information,Legal Costs
Peterborough City Council,Children and Young People,PFI,Services,45232,30431144,13344.05,,Revenue,503080,IIC by Education (P'boro) Ltd,Service Charge
Peterborough City Council,Corporate Services,Legal Services,Services,45232,30431156,650,,Revenue,504788,Redacted Personal Information,Legal Costs
Peterborough City Council,Corporate Services,Capital Financing,Services,45232,30431180,2750,,Revenue,507913,Public Sector Live,Subscriptions
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30431310,1562.7,,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30431383,46123.44,,Revenue,522397,Bethel Children's Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45232,30431438,3145,,Revenue,518413,Transforming Lives Company,Boarding Out Fees
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45232,30431479,4080,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45232,30431480,750,,Revenue,523075,1-2 Achieve LTD,Education Expenses
Peterborough City Council,Place & Economy,Housing Enforcement,Agency Staff,45232,30431536,8550,,Revenue,522788,Xander Talent Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Peterborough Serco Strategic Partnership,Services,45232,30431540,1520.9,,Revenue,500853,Redacted Personal Information,Legal Costs
Peterborough City Council,Place & Economy,Waste Management,Services,45232,30431594,22440.92,,Revenue,511475,AWO Recycling Limited,Recycling
Peterborough City Council,Place & Economy,Parking Services,Services,45232,30431597,1495.49,,Revenue,500919,Synectics Security Ltd,Security
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45232,30431806,1000,,Revenue,510441,Caring Crew Ltd,Home Care
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45232,30431807,1000,,Revenue,510441,Caring Crew Ltd,Home Care
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45232,30431808,1200,,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45232,30431809,1200,,Revenue,503803,Fins Care Ltd t/a St Margarets Rest Home,Residential Care
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45232,30431810,1200,,Revenue,501557,STAR RESIDENTIAL HOME LTD,Residential Care
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45232,30431811,1000,,Revenue,510045,Bee's Care Ltd,Home Care
Peterborough City Council,Corporate Services,Commercial - Office,Repair & Maintenance of Buildings,45232,30431965,690,,Revenue,509766,Smooth Removals,Other Occupancy Costs
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45232,30432205,945,,Revenue,524604,Sovereign Cars,Hired Transport
Peterborough City Council,Corporate Services,Finance,Agency Staff,45232,30432212,1981.09,,Revenue,504124,HAYS Working for your tomorrow,External Temporary Staff
Peterborough City Council,Corporate Services,Internal Audit,Agency Staff,45232,30432213,2105.2,,Revenue,504124,HAYS Working for your tomorrow,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45232,30432215,547.72,,Revenue,502827,Cross Keys Homes,Financial Assistance
Peterborough City Council,Corporate Services,HR,Services,45232,30432228,5513.71,,Revenue,510463,Vero HR Ltd,Consultants Fees
Peterborough City Council,Corporate Services,HR,Services,45232,30432229,10160.71,,Revenue,510463,Vero HR Ltd,Consultants Fees
Peterborough City Council,Corporate Services,HR,Services,45232,30432230,2071.04,,Revenue,510463,Vero HR Ltd,Consultants Fees
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45232,30432256,2208.88,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
