Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,CSC Placements,Schools,45019,30409803,2635,Revenue,516493,Step Ahead Services Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45019,30412766,2380,Revenue,516493,Step Ahead Services Limited,Boarding Out Fees
Peterborough City Council,Adult Social Care,Community Team,Services,45019,30412925,1488,Revenue,507674,SS Psychiatric Services Ltd,Materials
Peterborough City Council,Children and Young People,Clare Lodge,Services,45019,30413003,660,Revenue,509407,YOUTH DREAMS PROJECT LTD,Play schemes
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45019,30413525,16674.65,Revenue,500023,NewArk Play Association Ltd,Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45019,30414451,37179.39,Capital,510447,Peterborough Limited,Building And Site Works / Bus Passes
Peterborough City Council,Place & Economy,Vivacity,Customer and client receipts - Fees & Charges,45019,30414537,4858.2,Revenue,514969,Peterborough Ltd,Vatable Fees And Charges
Peterborough City Council,Children and Young People,CSC Placements,Schools,45019,30414697,4627.87,Revenue,518413,Transforming Lives Company,Boarding Out Fees
Peterborough City Council,Place & Economy,Director of Housing,Services,45019,30414752,520,Revenue,523196,Redacted Personal Information,Financial Assistance
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414765,1721,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414766,1822,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414767,1740,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414768,1822,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414769,1744.25,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414770,1725,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414771,1822,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414772,1675,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414774,1763.25,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Corporate Services,Bereavement Service,Services,45019,30414775,1745.69,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Children and Young People,CSC Placements,Schools,45019,30414779,1696.43,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Corporate,Corporate,Non Revenue,45019,30414781,1000,Capital,523532,Greenwood Academies Trust T/A Newark Hill Academy,Grant Payment
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414803,1608.75,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45019,30414805,1443.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Agency Staff,45019,30414806,1628.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45019,30414807,1665.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45019,30414809,1554.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414810,1702.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45019,30414812,2369.83,Revenue,501052,British Gas Business,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45019,30414812,1828.36,Revenue,501052,British Gas Business,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45019,30414812,2204.16,Revenue,501052,British Gas Business,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45019,30414812,1314.97,Revenue,501052,British Gas Business,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45019,30414812,2278.61,Revenue,501052,British Gas Business,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45019,30414812,1498.51,Revenue,501052,British Gas Business,Electricity
Peterborough City Council,Place & Economy,Vivacity,Water Services,45019,30414813,3232.53,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414814,1577.45,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,HTS & CSC Transport,Agency Staff,45019,30414815,681.17,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414816,1554.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414817,1406.35,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414818,2784.4,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Home Services Delivery Model,Services,45019,30414819,1000,Revenue,510045,Bee's Care Ltd,Residential Care
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45019,30414820,3712.65,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45019,30414822,6561.6,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Mental Health,Agency Staff,45019,30414823,3404.7,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45019,30414825,1423.1,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
