Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30417281,920.42,Capital,510447,Peterborough Limited,Building And Site Works / Bus Passes
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45170,30426270,2038.42,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45170,30426271,670.74,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426304,8620.14,Capital,500942,Serco Ltd,Consultants Fees
Peterborough City Council,Place & Economy,Director of Housing,Cleaning & Domestic Supplies,45170,30426308,550,Revenue,505312,Spotless {Cleaning Services},Cleaning
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426369,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426370,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426371,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426372,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426373,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426374,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426375,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426376,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426377,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426380,48754,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426381,48754,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426382,45309,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30426383,67121,Capital,520760,Guest Motors Ltd,Vehicle Acquisition
Peterborough City Council,Corporate Services,Democratic Services,Interview & Training Expenses,45170,30426415,1670.64,Revenue,522421,POS Enterprises Ltd,Training
Peterborough City Council,Corporate Services,Marketing & Communications,Members Allowances,45170,30426416,20153.7,Revenue,511094,Specialist Computer Centres (SCC) Plc,Computer Hardware
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30426954,21666.66,Revenue,509451,Acorn Care & Education Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30426955,24000,Revenue,509451,Acorn Care & Education Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30426956,26212.61,Revenue,509451,Acorn Care & Education Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30426957,25500,Revenue,509451,Acorn Care & Education Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30426958,25500,Revenue,509451,Acorn Care & Education Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30426959,4750,Revenue,509451,Acorn Care & Education Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45170,30427087,574.88,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45170,30427088,626.68,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45170,30427422,525.39,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45170,30427423,525.39,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45170,30427424,556.62,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45170,30427425,510.65,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45170,30427608,1727.05,Revenue,502734,Cambridgeshirehomecare,Education Expenses
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30427615,-920.42,Capital,510447,Peterborough Limited,Building And Site Works / Bus Passes
Peterborough City Council,Place & Economy,Development Management,Agency Staff,45170,30427633,2491.88,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Agency Staff,45170,30427635,684.46,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Agency Staff,45170,30427635,1847.32,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Agency Staff,45170,30427647,918.88,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45170,30427653,7070,Revenue,500548,Eastfield Guesthouse,Temporary Accommodation Costs
Peterborough City Council,Place & Economy,Director of Housing,Services,45170,30427653,22525,Revenue,500548,Eastfield Guesthouse,Temporary Accommodation Costs
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45170,30427674,238.4,Revenue,518711,Fresh Start in Education Ltd,Education Expenses
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45170,30427674,5292,Revenue,518711,Fresh Start in Education Ltd,Education Expenses
Peterborough City Council,Children and Young People,CSC Placements,Schools,45170,30427688,2720.02,Revenue,508656,B & H Services Group Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45170,30427691,550.75,Revenue,508656,B & H Services Group Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45170,30427693,13934.94,Revenue,508656,B & H Services Group Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45170,30427695,3990,Revenue,508656,B & H Services Group Ltd,Boarding Out Fees
Peterborough City Council,Place & Economy,Director of Housing,Water Services,45170,30427699,708.72,Revenue,503050,Anglian Water Services Ltd,Water
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45170,30427741,3497.9,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45170,30427744,2066.43,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Health & Safety,Agency Staff,45170,30427745,2211.65,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45170,30427755,1635.1,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Mental Health,Agency Staff,45170,30427765,3122.9,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Corporate Parenting,Agency Staff,45170,30427766,613.8,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45170,30427788,532.12,Revenue,508919,Accent Housing Limited,Financial Assistance
Peterborough City Council,Place & Economy,"City Centre, Markets and Events",Energy Costs,45170,30427806,77.03,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Corporate Services,Registration Service,Energy Costs,45170,30427806,99.09,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45170,30427806,40.36,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45170,30427806,35.76,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Network and Traffic Management,Energy Costs,45170,30427806,27.97,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Vivacity,Energy Costs,45170,30427806,100.47,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,"City Centre, Markets and Events",Energy Costs,45170,30427806,99.97,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Environmental Enforcement & CCTV,Energy Costs,45170,30427806,388.82,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45170,30427806,81.95,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Environmental Enforcement & CCTV,Energy Costs,45170,30427806,325.73,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Corporate Services,Community - CAT,Energy Costs,45170,30427806,41.46,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,"City Centre, Markets and Events",Energy Costs,45170,30427806,29.31,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Children and Young People,Fostering and Adoption,Services,45170,30427809,3580,Revenue,509170,Trowers & Hamlins LLP,Legal Costs
Peterborough City Council,Place & Economy,Director of Housing,Water Services,45170,30427836,1459.52,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30427844,5000,Balance Sheet,511322,Redacted Personal Information,Contributions
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45170,30427845,1310.4,Revenue,518328,WHS PLASTICS BRIERLEY HILL LTD,Materials
Peterborough City Council,Place & Economy,Director of Housing,Services,45170,30427846,1730,Revenue,509743,Redacted Personal Information,Financial Assistance
Peterborough City Council,Corporate Services,Commercial Propety,Services,45170,30427847,1478.4,Revenue,511824,Stewart Title Ltd,Insurance
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45170,30427853,554,Revenue,511338,Inspired Children Ltd,Hired Services
Peterborough City Council,Children and Young People,Fostering and Adoption,Other Establishments,45170,30427860,551.32,Revenue,524435,Redacted Personal Information,Contributions
Peterborough City Council,Corporate Services,Chief Executive,Services,45170,30427863,5511.2,Revenue,507835,Redacted Personal Information,Legal Costs
Peterborough City Council,Children and Young People,External Education Placements,Schools,45170,30427871,8996.24,Revenue,514847,Esland North,Boarding Out Fees
Peterborough City Council,Children and Young People,School Improvement,Services,45170,30427917,23505,Revenue,511812,The Contact Group (T/A Truancy Call Ltd),Grant Payment
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30427935,36350,Capital,517078,Dell Corporation Limited,Computer Hardware
Peterborough City Council,Corporate,Corporate,Non Revenue,45170,30427936,36350,Capital,517078,Dell Corporation Limited,Computer Hardware
Peterborough City Council,Children and Young People,Targeted Youth Service,Services,45170,30427944,2137.5,Revenue,500447,Kingswood Learning & Leisure Grp Ltd,Property Maintenance
Peterborough City Council,Children and Young People,CSSB-Delivery,Services,45170,30427956,6441.9,Revenue,507651,Pathfinder Legal Services Limited,Legal Costs
Peterborough City Council,Place & Economy,Vivacity,Other Establishments,45170,30427963,1650,Revenue,516775,Lime Trust,Third Party Payments - Contract
Peterborough City Council,Place & Economy,Regulatory Services,Contract Hire and Operating Leases,45170,30427979,8145.2,Revenue,507527,Northumbria Healthcare NHS Foundation Trust,Hired Transport
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,497.36,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,3642.73,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,16.61,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,4995.83,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,248.55,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,2533.73,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,5268.39,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,16.07,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Water Services,45170,30427986,4388.83,Revenue,509386,Anglian Water Business National,Water
