Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Corporate,Corporate,Non Revenue,45324,30430320,732.4,,Capital,511734,CDW Ltd,Computer Hardware
Peterborough City Council,Children and Young People,External Education Placements,Schools,45324,30436212,4000,,Revenue,500226,Kirkstone House School,Boarding Out Fees
Peterborough City Council,Corporate,Corporate,Non Revenue,45324,30436818,2122.43,,Capital,510447,Peterborough Limited,Infrastructure Maintenance
Peterborough City Council,Corporate Services,Corporate Services,Other Establishments,45324,30437141,750,,Revenue,511422,Jumped Up Theatre,Contributions
Peterborough City Council,Place & Economy,Vivacity,Water Services,45324,30437196,-1235.48,,Revenue,523145,SES Business Water(Hampton Hargate Primary),Water
Peterborough City Council,Place & Economy,Regulatory Services,Agency Staff,45324,30438062,1127.94,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45324,30438102,1182.52,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45324,30438148,9900,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45324,30438149,10174.5,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Corporate Services,Agency Staff,45324,30438150,8784,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45324,30438151,13920,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45324,30438152,4819.5,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45324,30438153,4455,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Strategic Projects,Agency Staff,45324,30438154,9735,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Business Intelligence,Agency Staff,45324,30438155,9095,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Executive Director of Children's Services,Agency Staff,45324,30438156,9251,,Revenue,512024,Tile Hill Interim & Executive Ltd,External Temporary Staff
Peterborough City Council,Public Health,Weight Management and Obesity,Other Establishments,45324,30438180,6153.85,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Public Health,Sexual Health,Other Establishments,45324,30438182,422866.25,,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45324,30438364,2099.29,,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Place & Economy,Development Management,Services,45324,30438381,3100,,Revenue,522934,Urban Design Doctor Ltd,Consultants Fees
Peterborough City Council,Children and Young People,Children's Commissioning,Services,45324,30438382,41500,,Revenue,514944,Centre Thirty Three,Hired Services
Peterborough City Council,Children and Young People,Children's Commissioning,Services,45324,30438382,27000,,Revenue,514944,Centre Thirty Three,Hired Services
Peterborough City Council,Corporate Services,Democratic Services,Agency Staff,45324,30438388,1610,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Democratic Services,Agency Staff,45324,30438390,1150,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,Finance,Agency Staff,45324,30438391,2530,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate,Corporate,Non Revenue,45324,30438397,3000,,Capital,524313,Jackson Environmental Limited,Building And Site Works / Bus Passes
Peterborough City Council,Place & Economy,Regulatory Services,Services,45324,30438408,552.08,,Revenue,501917,Public Analyst Scientific Services Ltd,Materials
Peterborough City Council,Place & Economy,Director of Housing,Services,45324,30438432,41250,,Revenue,511067,Longhurst Group Limited,Individual Projects
Peterborough City Council,Place & Economy,Natural & Historic Environment,Services,45324,30438448,1207.5,,Revenue,500525,The Wildlife Trust BCN,Conservation
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45324,30438705,1395.34,,Revenue,524782,Hampton’s Resourcing Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Short Breaks - one to one support,Services,45324,30438719,1693.44,,Revenue,500391,Sahara Community Care Services Limited,Purchased Social Care Services
Peterborough City Council,Place & Economy,Parking Services,"Tools, Equipment, Furniture & Materials",45324,30438751,2011,,Revenue,500693,Flowbird Smart City UK Limited,Furniture And Equipment Repairs
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45324,30438873,-3314.44,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Corporate Services,Legal Services,Services,45324,30438897,650,,Revenue,504634,Redacted Personal Information,Legal Costs
Peterborough City Council,Corporate,Corporate,Non Revenue,45324,30438953,22111.06,,Capital,511725,UNIT 4 Business Software Ltd,Computer Software
Peterborough City Council,Corporate Services,Legal Services,Services,45324,30439071,650,,Revenue,504634,Redacted Personal Information,Legal Costs
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45324,30439078,573.6,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Regulatory Services,Interview & Training Expenses,45324,30439080,1837.4,,Revenue,516000,Opus People Solutions Ltd,Training
