Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Children and Young People,CSC Placements,Services,45084,8000290239,1500,Revenue,511920,Redacted Personal Information,Financial Assistance
Peterborough City Council,Adult Social Care,Independent Sector Placements,Social Services,45105,8000292444,1767.28,Revenue,514770,Redacted Personal Information,Direct Payments
Peterborough City Council,Adult Social Care,Independent Sector Placements,Social Services,45105,8000292888,505.2,Revenue,503872,Redacted Personal Information,Direct Payments
Peterborough City Council,Children and Young People,CSC Placements,Schools,44886,30422908,-6391.62,Revenue,509239,Aurora Care & Education Opco Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,44886,30422915,-21094.5,Revenue,509239,Aurora Care & Education Opco Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,44886,30422916,-21094.5,Revenue,509239,Aurora Care & Education Opco Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,44886,30422917,-21094.5,Revenue,509239,Aurora Care & Education Opco Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,44886,30422918,-21094.5,Revenue,509239,Aurora Care & Education Opco Ltd,Boarding Out Fees
Peterborough City Council,Corporate Services,Internal Audit,Agency Staff,45065,30420807,1684.16,Revenue,504124,HAYS Working for your tomorrow,External Temporary Staff
Peterborough City Council,Children and Young People,CSC Placements,Schools,45079,30417216,1395,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45079,30418310,1535,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45079,30418312,1535,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45079,30418904,1739.75,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Place & Economy,Director of Housing,Services,45079,30419009,28565,Revenue,500548,Eastfield Guesthouse,Temporary Accommodation Costs
Peterborough City Council,Corporate Services,Elections,Agency Staff,45079,30419303,5447.25,Revenue,510447,Peterborough Limited,External Temporary Staff
Peterborough City Council,Children and Young People,Short Breaks - In House provision,Repair & Maintenance of Buildings,45079,30419400,697.83,Revenue,500833,Adcock Refrig/air Conditioning Ltd,Maintenance
Peterborough City Council,Children and Young People,CSC Placements,Schools,45079,30419728,560.5,Revenue,502258,Transition Care Peterborough Ltd,Boarding Out Fees
Peterborough City Council,Adult Social Care,Community Team,Services,45079,30419795,1150,Revenue,506979,Raj Medical Consultancy Limited,Materials
Peterborough City Council,Corporate,Corporate,Non Revenue,45079,30419859,-7358.52,Capital,510447,Peterborough Limited,Building And Site Works / Bus Passes
Peterborough City Council,Corporate,Corporate,Non Revenue,45079,30419922,4380,Capital,516776,Vodafone Ltd,Computer Hardware
Peterborough City Council,Place & Economy,Vivacity,Rents,45079,30420028,6305,Revenue,512592,Savills (UK)Ltd,Rent
Peterborough City Council,Place & Economy,Vivacity,Repair & Maintenance of Buildings,45079,30420028,643.67,Revenue,512592,Savills (UK)Ltd,Rent
Peterborough City Council,Corporate Services,Finance,Agency Staff,45079,30420059,1981.08,Revenue,504124,HAYS Working for your tomorrow,External Temporary Staff
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45079,30420225,2208.88,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45079,30420229,3379.32,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,SEN/Inclusion,Agency Staff,45079,30420232,2208.88,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Executive Director Adult Social Care,Agency Staff,45079,30420250,3997.9,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45079,30420251,2917.9,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Corporate Parenting,Agency Staff,45079,30420268,792,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Schools and Settings funding,Services,45079,30420277,1350,Revenue,508617,Bright Bambini  Montessori,Grant Payment
Peterborough City Council,Children and Young People,Schools and Settings funding,Services,45079,30420278,1350,Revenue,511210,Jungle Tots Day Nursery,Grant Payment
Peterborough City Council,Children and Young People,Schools and Settings funding,Services,45079,30420279,1350,Revenue,511210,Jungle Tots Day Nursery,Grant Payment
Peterborough City Council,Children and Young People,Schools and Settings funding,Services,45079,30420280,675,Revenue,511210,Jungle Tots Day Nursery,Grant Payment
Peterborough City Council,Children and Young People,Schools and Settings funding,Services,45079,30420281,675,Revenue,511210,Jungle Tots Day Nursery,Grant Payment
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45079,30420282,828,Revenue,501810,ZigZag Day Nursery Ltd,Grant Payment
Peterborough City Council,Children and Young People,Payments to providers-3/4 year old,Services,45079,30420283,828,Revenue,511210,Jungle Tots Day Nursery,Grant Payment
Peterborough City Council,Children and Young People,Schools and Settings funding,Services,45079,30420284,1414.39,Revenue,522040,Family Action,Grant Payment
Peterborough City Council,Children and Young People,PFI,Energy Costs,45079,30420356,9228.52,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45079,30420356,7117.28,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Westcombe Engineering,Energy Costs,45079,30420356,1532.6,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Energy Costs,45079,30420356,385.63,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
Peterborough City Council,Corporate Services,Commercial Propety,Energy Costs,45079,30420356,822.06,Revenue,507687,Totalenergies Gas & Power Limited,Electricity
