Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Public Health,Weight Management and Obesity,Other Establishments,45110,30421258,6153.85,Revenue,502507,Cambridgeshire County Council,Third Party Payments - Contract
Peterborough City Council,Corporate,Corporate,Non Revenue,45110,30421388,7920.72,Capital,500942,Serco Ltd,Consultants Fees
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45110,30421394,756.69,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45110,30421519,4950,Revenue,500311,Redacted Commercial Confidentiality,Hired Transport
Peterborough City Council,Children and Young People,Short Breaks - In House provision,Repair & Maintenance of Buildings,45110,30421744,1575,Revenue,509020,T Clarke Contracting Ltd,Maintenance
Peterborough City Council,Place & Economy,Parking Services,"Tools, Equipment, Furniture & Materials",45110,30421833,9405.57,Revenue,500693,Flowbird Smart City UK Limited,Furniture And Equipment Repairs
Peterborough City Council,Place & Economy,Director of Housing,Agency Staff,45110,30421851,724.76,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45110,30421856,708.16,Revenue,516000,Opus People Solutions Ltd,Financial Assistance
Peterborough City Council,Corporate Services,Finance,Agency Staff,45110,30421868,2870,Revenue,504124,HAYS Working for your tomorrow,External Temporary Staff
Peterborough City Council,Place & Economy,Planning Compliance,Services,45110,30422032,1750,Revenue,508197,Legal Costs,Legal Costs
Peterborough City Council,Children and Young People,CSC Placements,Schools,45110,30422159,620,Revenue,507367,Locate Accommodation Ltd,Boarding Out Fees
Peterborough City Council,Place & Economy,Director of Housing,Energy Costs,45110,30422860,65.06,Revenue,513718,Eon-Next,Electricity
Peterborough City Council,Place & Economy,Director of Housing,Energy Costs,45110,30422860,483.95,Revenue,513718,Eon-Next,Gas
Peterborough City Council,Children and Young People,CSC Placements,Schools,45110,30422969,25692.9,Revenue,510222,The Beeches UK Limited,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45110,30422970,17121.42,Revenue,510222,The Beeches UK Limited,Boarding Out Fees
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45110,30422979,2306.55,Revenue,508696,Peterborough Blasting Ltd,Materials
Peterborough City Council,Place & Economy,Planning Techinical Services,Agency Staff,45110,30422982,610.74,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Planning Compliance,Agency Staff,45110,30422988,1056.22,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Planning Techinical Services,Agency Staff,45110,30422989,703.98,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Development Management,Agency Staff,45110,30422990,2541.39,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Growth & Regen AD,Agency Staff,45110,30422993,1404.93,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,Children's Commissioning,Services,45110,30423091,2480.4,Revenue,511818,PARSONS MARSHALL PSYCHOLOGY LIMITED,Hired Services
Peterborough City Council,Children and Young People,Short Breaks - In House provision,Services,45110,30423106,4251,Revenue,501909,Ofsted,Hired Services
