Body Name,Service Area Categorisation,Service Area Division,Purpose of Expenditure,Payment Date,Trans No,Amount in £,Unrecoverable vat £,Capital or Revenue,Beneficiary ID,Beneficiary,Merchant Category
Peterborough City Council,Corporate Services,Legal Services,Agency Staff,45261,30433067,1161.8,,Revenue,501423,Sellick Partnership Limited,External Temporary Staff
Peterborough City Council,Corporate Services,PSSP Retained Services,Services,45261,30433476,1921.24,,Revenue,507454,Whistl UK Ltd,Postage
Peterborough City Council,Place & Economy,"City Centre, Markets and Events",Services,45261,30433499,500,,Revenue,517682,Lighting & Illumination Tech. Experience Ltd,Contractors
Peterborough City Council,Place & Economy,Waste Management,Services,45261,30433502,27066.46,,Revenue,501943,FCC Recycling (UK) Limited,Recycling
Peterborough City Council,Place & Economy,Waste Management,Services,45261,30433503,14578.69,,Revenue,501943,FCC Recycling (UK) Limited,Recycling
Peterborough City Council,Public Health,DPH Office &Intelligence Team and Projects,Members Allowances,45261,30433527,6030.24,,Revenue,511892,Esri (UK) Limited,Computer Software
Peterborough City Council,Children and Young People,Early Help,Services,45261,30433563,666,,Revenue,500055,Peterborough Italian Social Club,Hired Services
Peterborough City Council,Corporate,Corporate,Non Revenue,45261,30433566,5400,,Capital,524573,TJ Morris Ltd,Professional/Legal Fees
Peterborough City Council,Corporate Services,Strategic Projects,Finance,45261,30433569,3000,,Revenue,523148,Oxygen Finance Limited,Consultants Fees
Peterborough City Council,Children and Young People,CSC - Quality Assurance,Catering,45261,30433597,800,,Revenue,519600,Participation Team,Hospitality
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30433827,18590,,Revenue,500548,Eastfield Guesthouse,Temporary Accommodation Costs
Peterborough City Council,Corporate Services,Capital Financing,Services,45261,30433840,10500,,Revenue,509411,Link Treasury Services Limited,Professional Services
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45261,30434147,586.16,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45261,30434148,912.51,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Children and Young People,Clare Lodge,Agency Staff,45261,30434150,591.78,,Revenue,522986,Independent Clinical Srvs Ltd.t/a Thornbury Nursing,External Temporary Staff
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45261,30434209,1724.66,,Revenue,501778,Westland Casting Company Ltd,Materials
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45261,30434212,2772,,Revenue,501778,Westland Casting Company Ltd,Materials
Peterborough City Council,Place & Economy,Westcombe Engineering,Services,45261,30434213,879.2,,Revenue,501778,Westland Casting Company Ltd,Materials
Peterborough City Council,Children and Young People,Head of Children's Social Care,Agency Staff,45261,30434486,2234.55,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30434555,864,,Revenue,524669,Redacted Personal Information,Financial Assistance
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434642,2442.3,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434642,60,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Place & Economy,Director of Housing,Customer and client receipts - Rents,45261,30434643,593.36,,Revenue,509760,Hyde Housing Association,Rental Income
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434645,3247.3,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434645,60,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434646,1135.23,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434646,314,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30434647,1280,,Revenue,516186,Blenheim Sales & Lettings Ltd,Financial Assistance
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434648,2417.3,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434648,60,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30434649,547.72,,Revenue,508919,Accent Housing Limited,Financial Assistance
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434651,2927.3,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434651,60,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434652,3581.61,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434652,60,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434652,350,,Revenue,501213,Goldstar Cabs Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434654,5382.2,,Revenue,501228,Peterborough Cars Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434655,4243.2,,Revenue,501228,Peterborough Cars Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434656,3761.4,,Revenue,501228,Peterborough Cars Ltd,Hired Transport
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30434680,699.64,,Revenue,502827,Cross Keys Homes,Financial Assistance
Peterborough City Council,Children and Young People,Clare Lodge,Services,45261,30434693,600,,Revenue,500577,Redacted Personal Information,Play schemes
Peterborough City Council,Children and Young People,Short Breaks - one to one support,Services,45261,30434710,770.53,,Revenue,502734,Cambridgeshirehomecare,Purchased Social Care Services
Peterborough City Council,Corporate Services,HR,"Tools, Equipment, Furniture & Materials",45261,30434714,2815,,Revenue,505243,WALTERS LTD,Furniture And Equipment Purchase
Peterborough City Council,Corporate Services,HR,"Tools, Equipment, Furniture & Materials",45261,30434715,1249,,Revenue,505243,WALTERS LTD,Furniture And Equipment Purchase
Peterborough City Council,Children and Young People,Short Breaks Commissioning,Services,45261,30434717,5500.39,,Revenue,501061,Circles Network,Purchased Social Care Services
Peterborough City Council,Place & Economy,Director of Housing,Members Allowances,45261,30434721,1755,,Revenue,513616,Housing Partners,Computer Software
Peterborough City Council,Place & Economy,Vivacity,Water Services,45261,30434725,1221.72,,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Place & Economy,Vivacity,Water Services,45261,30434725,2170.31,,Revenue,509386,Anglian Water Business National,Water
Peterborough City Council,Children and Young People,Early Help,Interview & Training Expenses,45261,30434727,39925,,Revenue,508138,Triple P Uk Ltd,Training
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434731,1029.6,,Revenue,522677,Shaz Travels Ltd,Hired Transport
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434731,2090.4,,Revenue,522677,Shaz Travels Ltd,Hired Transport
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45261,30434732,1406.35,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Waste & Operational Svs Mgmt,Services,45261,30434735,865,,Revenue,509807,DAL PEST SOLUTIONS LIMITED,Pest Control
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45261,30434744,1406.35,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30434745,1080,,Revenue,509913,BPHA Limited,Financial Assistance
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Interview & Training Expenses,45261,30434759,3451.3,,Revenue,503741,Tacpac Ltd,Training
Peterborough City Council,Corporate Services,HR,Services,45261,30434761,1937,,Revenue,509729,Heales Health Services Ltd,Consultants Fees
Peterborough City Council,Corporate Services,IT & Digital Services,Members Allowances,45261,30434776,3898.15,,Revenue,516000,Opus People Solutions Ltd,Computer Hardware
Peterborough City Council,Corporate Services,IT & Digital Services,Members Allowances,45261,30434777,3898.15,,Revenue,516000,Opus People Solutions Ltd,Computer Hardware
Peterborough City Council,Place & Economy,Director of Housing,Services,45261,30434793,826.16,,Revenue,502827,Cross Keys Homes,Financial Assistance
Peterborough City Council,Children and Young People,HTS & CSC Transport,Contract Hire and Operating Leases,45261,30434794,1175.2,,Revenue,523696,Redacted Personal Information,Hired Transport
Peterborough City Council,Children and Young People,Special Educational Needs / Inclusion,Services,45261,30434803,20120,,Revenue,502464,Fourfields Community Primary School,Education Expenses
Peterborough City Council,Place & Economy,Cohesion and Integration - grants,Services,45261,30434809,1000,,Revenue,512706,Joint Mosques Council of Peterborough,Materials
Peterborough City Council,Corporate Services,Bereavement Service,Services,45261,30434810,1740,,Revenue,507748,Central England Co-Op,Contract Funerals
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45261,30434811,1426.15,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Adult Social Care,Community Team,Agency Staff,45261,30434820,2812.7,,Revenue,516000,Opus People Solutions Ltd,External Temporary Staff
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,1500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,13000,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,-500,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,267.86,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,2321.43,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,-89.29,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
Peterborough City Council,Children and Young People,CSC Placements,Schools,45261,8000310830,267.86,,Revenue,515144,Moving Up Care Ltd,Boarding Out Fees
