Beneficiary,Category/Purpose,Department,     Net value,VAT Value,Gross,Date incurred -Payment Date,,
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,6111.43,0,6111.43,45223,,
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,7914.08,0,7914.08,45223,,
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,5914.28,0,5914.28,45252,,
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,7658.78,0,7658.78,45252,,
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,6111.43,0,6111.43,45280,,
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,7914.08,0,7914.08,45280,,
31ten Consulting Limited,Computer Software,Cap- IT,9943.75,1988.75,11932.5,45232,,
31ten Consulting Limited,Computer Software,Cap- IT,20132,4026.4,24158.4,45232,,
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45250,,
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45250,,
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45252,,
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45252,,
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45252,,
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45264,,
8x8 UK Limited,Computer Software,IT Operations Service Management,22368.24,4473.638,26841.878,45278,,
8x8 UK Limited,Computer Software,IT Operations Service Management,22732.24,4546.448,27278.688000000002,45278,,
8x8 UK Limited,Computer Software,IT Operations Service Management,23814.83,4762.966,28577.796000000002,45278,,
8x8 UK Limited,Computer Software,IT Operations Service Management,23815.47,4763.11,28578.58,45278,,
A T Bone & Sons Ltd,Private Contractors,Drainage Maintenance,4910,982,5892,45244,,
A T Bone & Sons Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,23800,4760,28560,45250,,
A T Bone & Sons Ltd,Private Contractors,Cap - Environment,5770,1154,6924,45205,,
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,1050,210,1260,45224,,
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,3000,600,3600,45224,,
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,700,140,840,45257,,
A.R.C.S Environmental Ltd,Landld Rprs Exit Cts,Cap - Housing,600,120,720,45250,,
A.R.C.S Environmental Ltd,Build Maint Exit Cst,Cap - Housing,600,120,720,45278,,
A.R.C.S Environmental Ltd,Build Maint Exit Cst,Cap - Housing,600,120,720,45278,,
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,1152,0,1152,45204,,
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,1152,0,1152,45231,,
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,1152,0,1152,45259,,
Abavus Ltd,Computer Software,IT Business Management,34616.17,6923.234,41539.403999999995,45208,,
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6386,0,6386,45223,,
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-3100,0,-3100,45223,,
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6386,0,6386,45223,,
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1178,0,-1178,45223,,
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6180,0,6180,45252,,
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-3000,0,-3000,45252,,
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6180,0,6180,45252,,
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1140,0,-1140,45252,,
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6386,0,6386,45280,,
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-3100,0,-3100,45280,,
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6386,0,6386,45280,,
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1178,0,-1178,45280,,
Abbots Park Managment Company Limit,Other Professionals,Investment Properties Project,1646.37,329.274,1975.6439999999998,45215,,
Abbotsford Residential Care Home LT,Residential Placemnt,Interim Funding,4207.14,0,4207.14,45223,,
