Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,5914.29,0,5914.29,45191
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,6111.43,0,6111.43,45131
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,6111.43,0,6111.43,45162
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,7658.79,0,7658.79,45191
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,7914.08,0,7914.08,45131
15 Dovedale Avenue,Supptd Accommodation,Working Together - Learning Disability,7914.08,0,7914.08,45162
24Seven Companies Ltd,Voids - Exit Costs,Housing Repairs,500,100,600,45161
24Seven Companies Ltd,Voids - Exit Costs,Housing Repairs,500,100,600,45161
24Seven Companies Ltd,Voids - Exit Costs,Housing Repairs,1000,200,1200,45161
24Seven Companies Ltd,Voids - Exit Costs,Housing Repairs,2000,400,2400,45161
24Seven Companies Ltd,Voids - Exit Costs,Housing Repairs,3000,600,3600,45161
31ten Consulting Limited,Computer Software,Cap- IT,16300,3260,19560,45173
31ten Consulting Limited,Computer Software,Cap- IT,17000,3400,20400,45148
31ten Consulting Limited,Computer Software,Cap- IT,20448,4089.6,24537.6,45152
31ten Consulting Limited,Computer Software,Cap- IT,25900,5180,31080,45196
5 Dimensions Trust t/a Shenley Brook End School,Grants and Subscript,CLA Pupil Premium Grant,500,0,500,45154
7 Palmer Crescent,Residential Placemnt,Working Together - Learning Disability,1471.38,0,1471.38,45180
7 Palmer Crescent,Residential Placemnt,Working Together - Learning Disability,6041.32,0,6041.32,45131
7 Palmer Crescent,Residential Placemnt,Working Together - Learning Disability,6041.33,0,6041.33,45162
7 Palmer Crescent,Residential Placemnt,Working Together - Learning Disability,6138.77,0,6138.77,45191
8x8 UK Limited,Computer Software,IT Operations Service Management,-2402.4,-480.48,-2882.88,45146
8x8 UK Limited,Computer Software,IT Operations Service Management,-2393.7,-478.74,-2872.4399999999996,45146
8x8 UK Limited,Computer Software,IT Operations Service Management,-2074.8,-414.96,-2489.76,45170
8x8 UK Limited,Computer Software,IT Operations Service Management,-783,-156.6,-939.6,45146
8x8 UK Limited,Computer Software,IT Operations Service Management,-780,-156,-936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,-780,-156,-936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,-780,-156,-936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,-780,-156,-936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,-780,-156,-936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,780,156,936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,780,156,936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,780,156,936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,780,156,936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,780,156,936,45121
8x8 UK Limited,Computer Software,IT Operations Service Management,780,156,936,45121
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45170
8x8 UK Limited,Computer Software,Access Harrow,780,156,936,45170
8x8 UK Limited,Computer Software,IT Operations Service Management,490.85,98.17,589.02,45146
8x8 UK Limited,Computer Software,IT Operations Service Management,182.37,36.47,218.84,45146
8x8 UK Limited,Computer Software,IT Operations Service Management,23066.88,4613.4,27680.28,45146
8x8 UK Limited,Computer Software,IT Operations Service Management,23763.54,4752.718,28516.258,45170
8x8 UK Limited,Computer Software,IT Operations Service Management,23771.87,4754.39,28526.26,45156
8x8 UK Limited,Computer Software,IT Operations Service Management,23798.73,4759.77,28558.5,45156
A & K Lettings Ltd,Accommodation,Private Sector Supply,2850,0,2850,45196
A & K Lettings Ltd,Accommodation,Private Sector Supply,2850,0,2850,45196
A T Bone & Sons Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,6780,1356,8136,45175
A T Bone & Sons Ltd,Grounds Maintenance,Parks/Open Spaces & Playing Fields,14590.75,2918.15,17508.9,45175
