Updated Beneficiary,Category/Purpose,Department,Net value,VAT Value,Gross,Date incurred -Payment Date
1 Crown Office Row,Legal Fees,Divisional Director Targeted Services,550,110,660,45107
10 out of 10 Productions Ltd,Other Professionals,Harrow Arts Centre,6371.64,1274.33,7645.97,45077
11 KBW LIMITED,Legal Fees,Chief Executive Office,1152,230.4,1382.4,45019
11 KBW LIMITED,Legal Fees,Legal Management,1068,213.6,1281.6,45036
11 KBW LIMITED,Legal Fees,Legal Management,240,48,288,45076
11 KBW LIMITED,Legal Fees,Sen Assessment,2184.5,436.9,2621.4,45076
220 Soft Ltd,Other Professionals,Library Projects,1250,250,1500,45022
42 Bedford Row Barristers,Legal Fees,Divisional Director Targeted Services,650,130,780,45107
42 Bedford Row Barristers,Legal Fees,Divisional Director Targeted Services,800,160,960,45107
42 Bedford Row Barristers,Legal Fees,Divisional Director Targeted Services,650,130,780,45107
42 Bedford Row Barristers,Legal Fees,Divisional Director Targeted Services,800,160,960,45022
42 Bedford Row Barristers,Legal Fees,Divisional Director Targeted Services,800,160,960,45100
42 Bedford Row Barristers,Legal Fees,Divisional Director Targeted Services,650,130,780,45107
5 Dimensions Trust t/a Shenley Brook End School,Grants and Subscript,CLA Pupil Premium Grant,500,0,500,45019
7 Bedford Row,Legal Fees,Divisional Director Targeted Services,2500,500,3000,45104
8x8 UK Limited,Computer Software,IT Operations Service Management,120490,24098.01,144588.01,45021
8x8 UK Limited,Computer Software,IT Operations Service Management,1083.33,216.67,1300,45029
8x8 UK Limited,Computer Software,IT Operations Service Management,23720.99,4744.2,28465.19,45096
9 Gough Chambers,Legal Fees,Divisional Director Targeted Services,850,170,1020,45021
9 Gough Chambers,Legal Fees,Divisional Director Targeted Services,1080,216,1296,45089
9 Gough Chambers,Legal Fees,Divisional Director Targeted Services,665,133,798,45042
A S Hardware Security Centre,Security Costs,Allotments,75,0,75,45061
A S Hardware Security Centre,Security Costs,Cemetries & Breakspear Crematorium,199,0,199,45042
A S Hardware Security Centre,Security Costs,Parks/Open Spaces & Playing Fields,494.99,0,494.99,45033
A S Hardware Security Centre,Security Costs,Street Cleansing,67.99,0,67.99,45048
A S Hardware Security Centre,Security Costs,Street Cleansing,10,0,10,45050
A S Hardware Security Centre,Security Costs,Street Cleansing,20,0,20,45068
A S Hardware Security Centre,Security Costs,Street Cleansing,28.5,0,28.5,45098
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,4600,920,5520,45021
A&R Educational Services Ltd,Consultants Fees,Harrow Schools Standards & Effectivenes,2650,530,3180,45047
A.R.C.S Environmental Ltd,Private Contractors,Cap - Housing,502,100.4,602.4,45070
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,1152,0,1152,45036
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,936,0,936,45064
A2Z Home Care Services Ltd,Domiciliary Care,Personalisation,684,0,684,45093
AA DriveTech,Vehicle Hire Costs,Fleet Management,1500,300,1800,45065
Abavus Ltd,Computer Software,WEB Team,2000,400,2400,45042
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6000,0,6000,45037
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6200,0,6200,45069
Abbey Healthcare Ltd,Nursing Care,Long Term Care,6000,0,6000,45100
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1140,0,-1140,45037
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1178,0,-1178,45069
Abbey Healthcare Ltd,Rec Cost Ext Non-Vat,Long Term Care,-1140,0,-1140,45100
Abbots Park Managment Company Limited,Other Professionals,Investment Properties Project,1646.37,329.27,1975.64,45044
Abbots Park Managment Company Limited,Other Professionals,Investment Properties Project,513.35,102.67,616.02,45085
Abbotsford Residential Care Home LTD,Residential Placemnt,Long Term Care,16350,0,16350,45037
Abbotsford Residential Care Home LTD,Residential Placemnt,Long Term Care,62228.57,0,62228.57,45069
Abbotsford Residential Care Home LTD,Residential Placemnt,Long Term Care,4714.28,0,4714.28,45100
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45022
ABC Housing,Foster Payments,Asylum Client Expenditure,2785.63,0,2785.63,45057
ABC Housing,Foster Payments,Asylum Client Expenditure,2878.48,0,2878.48,45085
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45022
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,428.57,0,428.57,45057
ABC Housing,Misc Supp & Serv Cst,Asylum Client Expenditure,442.86,0,442.86,45085
Aberla Energy Ltd,Build Maint Exit Cst,Cap - Environment,79029.49,15805.9,94835.39,45065
AC Education,Staff training - Gen,Fostering,11.98,2.4,14.38,45033
AC Education,Staff training - Gen,Fostering,19.98,4,23.98,45103
Access Automation,Landld Rprs Exit Cts,Cap - GF Housing,4270,0,4270,45070
Access Independent,Consultants Fees,Freedom Pass & Taxicards,4750,950,5700,45020
Access Independent,Consultants Fees,Freedom Pass & Taxicards,8358.5,1671.7,10030.2,45090
Access Systems UK Ltd,Computer Software,Cap - Housing,1592.26,318.45,1910.71,45090
Access UK Ltd,Consultants Fees,Mosaic Team,7621.81,1524.36,9146.17,45051
Access UK Ltd,Private Nurseries,DSG EMS Support,27040,5408,32448,45062
Ace Homecare Services Ltd,Domiciliary Care,Personalisation,2921.6,0,2921.6,45020
