Body Name,Body,Directorate,Service Area,Sub-Service Area,Sub-description,Payment Date,Sub Amount,Invoice Amount,Supplier Name
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,06/12/2023,459.00,459.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,06/12/2023,459.00,459.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,-272.70,-272.70,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,363.60,363.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,557.52,557.52,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,678.72,678.72,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,333.76,333.76,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,333.76,333.76,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,429.12,429.12,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,487.83,487.83,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,487.83,487.83,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,619.84,619.84,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,921.12,921.12,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"1,788.71","1,788.71",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"1,842.24","1,842.24",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"2,240.96","2,240.96",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"2,312.48","2,312.48",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"2,670.08","2,670.08",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"3,003.84","3,003.84",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,381.44,381.44,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,929.20,929.20,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,"1,626.10","1,626.10",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46137-Reablement,06/12/2023,325.22,325.22,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,371.68,371.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,775.68,775.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,06/12/2023,727.20,727.20,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,06/12/2023,378.00,378.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAC-Ips & East Care Purchasing,46117-External Home Care,06/12/2023,490.31,490.31,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAD-LD Care Purchasing,46117-External Home Care,06/12/2023,581.76,581.76,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAD-LD Care Purchasing,46117-External Home Care,06/12/2023,286.08,286.08,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAD-LD Care Purchasing,46117-External Home Care,06/12/2023,763.56,763.56,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAD-LD Care Purchasing,46117-External Home Care,06/12/2023,"5,187.36","5,187.36",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,261.80,261.80,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,261.80,261.80,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,785.40,785.40,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,261.80,261.80,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,785.40,785.40,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,"1,309.00","1,309.00",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,261.80,261.80,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,261.80,261.80,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,06/12/2023,"1,309.00","1,309.00",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAC-Ips & East Care Purchasing,46121-External Day Services,06/12/2023,261.80,261.80,1 OAK HOME CARE
