Body Name,Body,Directorate,Service Area,Sub-Service Area,Sub-description,Payment Date,Sub Amount,Invoice Amount,Supplier Name
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,19/07/2023,634.50,634.50,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,19/07/2023,634.50,634.50,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,545.91,545.91,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,250.32,250.32,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,262.24,262.24,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,429.12,429.12,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,487.83,487.83,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,487.83,487.83,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,650.44,650.44,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,846.32,846.32,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,"1,048.96","1,048.96",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,"1,626.10","1,626.10",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,"2,011.92","2,011.92",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,929.20,929.20,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,"1,626.10","1,626.10",1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,371.68,371.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,775.68,775.68,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46117-External Home Care,19/07/2023,727.20,727.20,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,19/07/2023,378.00,378.00,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46120-Homecare Exceptional Rate,19/07/2023,896.88,896.88,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAC-Ips & East Care Purchasing,46117-External Home Care,19/07/2023,529.54,529.54,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,19/07/2023,392.70,392.70,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,19/07/2023,448.46,448.46,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,19/07/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,19/07/2023,523.60,523.60,1 OAK HOME CARE
,,ACS,S4_AA-Care Purchasing,S5_AAG-West Care Purchasing,46121-External Day Services,19/07/2023,523.60,523.60,1 OAK HOME CARE
