Organisation,Supplier Name,Unique reference number,Payment Date,Cost Center/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Arcadis Llp,3009202300001,45110,Flora Gardens School,Prof Fees-Consultant,38750
LBHF,Posturite (Uk) Ltd,3009202300002,45110,Equipment,Furniture,946.75
LBHF,Posturite (Uk) Ltd,3009202300003,45110,Equipment,Furniture,105
LBHF,Posturite (Uk) Ltd,3009202300004,45110,Equipment,Furniture,65.62
LBHF,Posturite (Uk) Ltd,3009202300005,45110,Equipment,Furniture,38.59
LBHF,Posturite (Uk) Ltd,3009202300006,45110,Equipment,Postage and Delivery,9.95
LBHF,Posturite (Uk) Ltd,3009202300007,45110,Equipment,Stationery,12.55
LBHF,The Southern Motor Group Ltd T/A,3009202300008,45110,Transport Leases,Veh Lease&Hire Costs,22900.76
LBHF,Arco Ltd,3009202300009,45110,Graffiti Team,"Cloth,Unifrm&Laundry",134.99
LBHF,Chesterfield Associates,3009202300010,45110,Central Costs and Building Maintenance,Telephony,573.3
LBHF,London Borough Of Barnet,3009202300011,45110,Youth Justice Service (YJS),Training Expenses,200
LBHF,Stark Software International Ltd,3009202300012,45110,PPM Holding Code - Various Properties,Contr-Refurb & Restn,3702.55
LBHF,SoloProtect Limited,3009202300013,45110,Health and Safety,Health&Safety Equip,50
LBHF,Chemsol Ltd,3009202300014,45110,LBHF Mortuary,Mortuary Services,5978
LBHF,Car Hire (Day Of Swansea)Ltd,3009202300015,45110,Transport Leases,Veh Lease&Hire Costs,78.38
LBHF,Network Tyre & Auto Ltd,3009202300016,45110,Transport Workshop,Transport-R&M,179
LBHF,Idox Software Ltd,3009202300017,45110,Annual Canvass,IT Software,12430
LBHF,Idox Software Ltd,3009202300018,45110,Annual Canvass,IT Software,8547.25
LBHF,BBFI CIC,3009202300019,45110,Contracts,Fees-Mgt & Admin,5950
LBHF,Core Projects Ltd,3009202300020,45110,Misc Estate Works,Contr-Refurb & Restn,830
LBHF,Core Projects Ltd,3009202300021,45110,H&F maintenance (DLO),Reac R&M-Materials,360
LBHF,Core Projects Ltd,3009202300022,45110,H&F maintenance (DLO),Reac R&M-Materials,129.96
LBHF,Core Projects Ltd,3009202300023,45110,H&F maintenance (DLO),Reac R&M-Materials,151.38
LBHF,Core Projects Ltd,3009202300024,45110,H&F maintenance (DLO),Reac R&M-Materials,1190
LBHF,Core Projects Ltd,3009202300025,45110,H&F maintenance (DLO),Reac R&M-Materials,2070
LBHF,Core Projects Ltd,3009202300026,45110,H&F maintenance (DLO),Reac R&M-Materials,47.84
LBHF,Core Projects Ltd,3009202300027,45110,H&F maintenance (DLO),Reac R&M-Materials,118.42
LBHF,Core Projects Ltd,3009202300028,45110,H&F maintenance (DLO),Reac R&M-Materials,47.84
LBHF,Core Projects Ltd,3009202300029,45110,H&F maintenance (DLO),Reac R&M-Materials,8796.89
LBHF,Core Projects Ltd,3009202300030,45110,H&F maintenance (DLO),Reac R&M-Materials,135
LBHF,Core Projects Ltd,3009202300031,45110,H&F maintenance (DLO),Reac R&M-Materials,47.84
LBHF,Core Projects Ltd,3009202300032,45110,H&F maintenance (DLO),Reac R&M-Materials,195
LBHF,Core Projects Ltd,3009202300033,45110,H&F maintenance (DLO),Reac R&M-Materials,375
LBHF,Core Projects Ltd,3009202300034,45110,H&F maintenance (DLO),Reac R&M-Materials,174.08
LBHF,Core Projects Ltd,3009202300035,45110,H&F maintenance (DLO),Reac R&M-Materials,135
LBHF,Core Projects Ltd,3009202300036,45110,H&F maintenance (DLO),Reac R&M-Materials,135
LBHF,Core Projects Ltd,3009202300037,45110,H&F maintenance (DLO),Reac R&M-Materials,174.08
LBHF,Core Projects Ltd,3009202300038,45110,H&F maintenance (DLO),Reac R&M-Materials,195
LBHF,Core Projects Ltd,3009202300039,45110,H&F maintenance (DLO),Reac R&M-Materials,630
LBHF,Starchoice Services Ltd T/A Kall Kwik Chiswick,3009202300040,45110,Community Outreach,Fixtures & Fittings,36
LBHF,Starchoice Services Ltd T/A Kall Kwik Chiswick,3009202300041,45110,Community Outreach,Fixtures & Fittings,-6
LBHF,Starchoice Services Ltd T/A Kall Kwik Chiswick,3009202300042,45110,Community Outreach,"Print,Publict'n&Copy",1170
LBHF,Starchoice Services Ltd T/A Kall Kwik Chiswick,3009202300043,45110,Community Outreach,"Print,Publict'n&Copy",-195
LBHF,Starchoice Services Ltd T/A Kall Kwik Chiswick,3009202300044,45110,Askew Road Library,"Print,Publict'n&Copy",300
LBHF,Starchoice Services Ltd T/A Kall Kwik Chiswick,3009202300045,45110,Highways Maintenance - Planned Maintenan,"Print,Publict'n&Copy",40
LBHF,Wsp Uk Ltd,3009202300046,45110,South Fulham/Wandsworth Bridge Rd footwy,Prof Fees-Engineers,14703.68
LBHF,Forensic Pathology Service,3009202300047,45110,Coroners Service,Fees-Tech&Prof Consu,292.65
LBHF,Forensic Pathology Service,3009202300048,45110,Coroners Service,Fees-Tech&Prof Consu,295.8
LBHF,Forensic Pathology Service,3009202300049,45110,Coroners Service,Fees-Tech&Prof Consu,374.3
LBHF,Forensic Pathology Service,3009202300050,45110,Coroners Service,Fees-Tech&Prof Consu,276.9
LBHF,Forensic Pathology Service,3009202300051,45110,Coroners Service,Fees-Tech&Prof Consu,315.1
LBHF,Personal Data - Name Redacted,3009202300052,45110,Community Outreach,"Pubcty,Promo&Advert",375
LBHF,Personal Data - Name Redacted,3009202300053,45110,Structures/Private Works,"Pubcty,Promo&Advert",225
LBHF,Personal Data - Name Redacted,3009202300054,45110,Structures/Private Works,"Pubcty,Promo&Advert",575
LBHF,Streetspace Ltd,3009202300055,45110,Misc Estate Works,Contr-Refurb & Restn,11062
LBHF,Streetspace Ltd,3009202300056,45110,Misc Estate Works,Contr-Refurb & Restn,6370
LBHF,Active Successful Engagement CIC,3009202300057,45110,Vaccine Hesitancy & Community Engagement,Activities & Events,2246.34
LBHF,First Choice Marshalls Ltd,3009202300058,45110,Landlord´s Electrical Upgrades,Contr- New & Enhcmnt,325
LBHF,First Choice Marshalls Ltd,3009202300059,45110,Landlord´s Electrical Upgrades,Contr- New & Enhcmnt,115
LBHF,First Choice Marshalls Ltd,3009202300060,45110,Landlord´s Electrical Upgrades,Contr- New & Enhcmnt,115
LBHF,First Choice Marshalls Ltd,3009202300061,45110,Landlord´s Electrical Upgrades,Contr- New & Enhcmnt,842.18
LBHF,Notting Hill Genesis,3009202300062,45110,DFG Private Clients,Contr-Refurb & Restn,4220.5
LBHF,HFS Environmental Ltd,3009202300063,45110,H&F Maintenance (FRA works),OE-Other Payments,840
LBHF,Stoneview Maintenance Ltd,3009202300064,45110,PSL Scheme,Furniture,231.4
LBHF,Plan B Associates Ltd,3009202300065,45110,Community Outreach,"Pubcty,Promo&Advert",4378.3
LBHF,Valtech Limited,3009202300066,45110,Accessible Transport,Stationery,287.04
LBHF,Sure Fire Services Limited,3009202300067,45110,FM Fire ( soft services ),Reac R&M-P&M Maint,-380
LBHF,Personal Data - Name Redacted,3009202300068,45110,Educational Psychology,Training Expenses,300
LBHF,AlphaBiolaboratories Legal Limited,3009202300069,45110,Family Support & Child Protection Team 1,OE-Assessment-Other,-610
LBHF,VPS (UK) Ltd,3009202300070,45110,Repairs Client Side Team,Reac R&M-Materials,151.52
LBHF,United Guarding Services Ltd,3009202300071,45110,FM soft services,Security Costs,542.5
LBHF,United Guarding Services Ltd,3009202300072,45110,FM soft services,Security Costs,665
LBHF,United Guarding Services Ltd,3009202300073,45110,FM soft services,Security Costs,910
LBHF,United Guarding Services Ltd,3009202300074,45110,FM soft services,Security Costs,420
LBHF,United Guarding Services Ltd,3009202300075,45110,FM soft services,Security Costs,525
LBHF,33 Recruitment Limited,3009202300076,45110,Home Tuition,OE - SEN - Pri,562.5
LBHF,33 Recruitment Limited,3009202300077,45110,Home Tuition,OE - SEN - Pri,510
LBHF,33 Recruitment Limited,3009202300078,45110,Home Tuition,OE - SEN - Pri,375
LBHF,33 Recruitment Limited,3009202300079,45110,Home Tuition,OE - SEN - Pri,625
LBHF,33 Recruitment Limited,3009202300080,45110,Top-up Maintained schools,OE-Elmnt3-Topup Fund,311
LBHF,33 Recruitment Limited,3009202300081,45110,Top-up Maintained schools,OE-Elmnt3-Topup Fund,510
LBHF,33 Recruitment Limited,3009202300082,45110,Top-up Maintained schools,OE-Elmnt3-Topup Fund,311
LBHF,33 Recruitment Limited,3009202300083,45110,Top-up Maintained schools,OE-Elmnt3-Topup Fund,311
LBHF,33 Recruitment Limited,3009202300084,45110,Top-up Maintained schools,OE-Elmnt3-Topup Fund,850
LBHF,33 Recruitment Limited,3009202300085,45110,Top-up Non maintained and Independent,OE - SEN - Pri,750
