Organisation,Supplier Name,Reference,Payment Date,Service Area/Capital Project Description,GL Account Description,Amount £ (Ex VAT)
LBHF,Reach Publishing Services Ltd,2324.4.CPMT.1036,45293,ENV Health & Regulatory Services,"Publicity, Promotions and Advertisement",599.76
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.1554,45293,Family Support,Fees - Technical and Professional Consul,1083.75
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1703,45293,Disabled Children's Team,Care Packages,693
LBHF,Dunne & Dusted Ltd,2324.4.CPMT.1825,45293,Head of Neighbourhood Services (North),Removal Costs,805
LBHF,Dunne & Dusted Ltd,2324.4.CPMT.1826,45293,Head of Neighbourhood Services (North),Removal Costs,1050
LBHF,Nowmedical,2324.4.CPMT.2374,45293,Homelessness Prevention & Assessment (GF,Payments to Health Authorities,5186.2
LBHF,Nowmedical,2324.4.CPMT.2375,45293,Homelessness Prevention & Assessment (GF,Payments to Health Authorities,5060.96
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2385,45293,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Consultants / Consul,2000
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2386,45293,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Consultants / Consul,2000
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2387,45293,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Consultants / Consul,726
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2405,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,657.14
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2406,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,3400
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2407,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,5419
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2408,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,5157
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2409,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,6960
LBHF,John Rowan & Partners Llp,2324.4.CPMT.2410,45293,Capital - Social Housing Decarbonisation - Phase 2,Capital - Professional Fees - Non-Legal,7606
LBHF,Advance Advocacy and Non-Violence Community Education,2324.4.CPMT.2530,45293,Homelessness Prevention & Assessment (GF,Payments to Voluntary Bodies,15300
LBHF,Dulux Decorator Centres,2324.4.CPMT.2542,45293,Head of Neighbourhood Services (North),Grant Aid and Donations,958.32
LBHF,Trustmarque Solutions Ltd,2324.4.CPMT.2633,45293,Digital Projects,"IT Software, Licences and Subscriptions",3179
LBHF,Employee Advisory Resources Ltd,2324.4.CPMT.2719,45293,People Operations,Fees - General,1385.8
LBHF,Theori Housing Management Services,2324.4.CPMT.2866,45293,Allocations & Lettings (GF),Temporary Accommodation,888
LBHF,Altwood Housing Ltd,2324.4.CPMT.3090,45293,Allocations & Lettings (GF),Temporary Accommodation,1260
LBHF,Altwood Housing Ltd,2324.4.CPMT.3091,45293,Allocations & Lettings (GF),Temporary Accommodation,1080
LBHF,Altwood Housing Ltd,2324.4.CPMT.3092,45293,Allocations & Lettings (GF),Temporary Accommodation,1260
LBHF,Pinnacle Housing,2324.4.CPMT.313,45293,Head of Estate Services,Cleaning and Domestic Supplies,1345.73
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3155,45293,Allocations & Lettings (GF),Temporary Accommodation,2850
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3157,45293,Allocations & Lettings (GF),Temporary Accommodation,1860
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3158,45293,Allocations & Lettings (GF),Temporary Accommodation,2250
LBHF,Cromwood Housing Ltd,2324.4.CPMT.3159,45293,Allocations & Lettings (GF),Temporary Accommodation,1860
LBHF,Pinnacle Housing,2324.4.CPMT.323,45293,Head of Estate Services,Cleaning Costs,297977.73
LBHF,Ridge And Partners LLP,2324.4.CPMT.3520,45293,Asset Management,Fees - Asset Management,81784.31
LBHF,Chelsea & Westminster Hospital NHS Foundation Trust,2324.4.CPMT.3715,45293,Sexual Health,Payments to Health Authorities,207274.78
LBHF,Cycle Confident Ltd,2324.4.CPMT.4143,45293,Transport,"Educational Supplies, Stationery and Materials",1139
LBHF,F.M Conway Ltd,2324.4.CPMT.448,45293,Capital - King St Pedestrian Improvements,Capital - Contractors - New and Enhancement,5180.7
LBHF,HCP Staffing Services Ltd,2324.4.CPMT.4516,45293,Disabled Children's Team,Care Packages,536.12
LBHF,J W Machinery Services Ltd,2324.4.CPMT.4530,45293,Adult Learning and Skills Service,"Tools, Furniture, Materials - Equipment",678
LBHF,Petit Miracle Interiors Ltd,2324.4.CPMT.4550,45293,Economic Development,Grant Aid and Donations,1500
LBHF,F.M Conway Ltd,2324.4.CPMT.496,45293,Parks and Leisure,Payments to Private Contractors,1400
LBHF,Personal Data - Name Redacted,2324.4.CPMT.51239,45293,Homelessness Prevention & Assessment (GF,Letting Cost Avoidance Payment,4470
LBHF,Personal Data - Name Redacted,2324.4.CPMT.51240,45293,Allocations & Lettings (GF),Letting Cost Avoidance Payment,10025
LBHF,Personal Data - Name Redacted,2324.4.CPMT.51319,45293,Allocations & Lettings (GF),Letting Cost Avoidance Payment,5500
LBHF,VALICITY CARE SERVICES LTD,2324.4.CPMT.51762,45293,Mental Health Services,Supported Living - Adult's,5700
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5765,45293,Disabled Children's Team,Care Packages,1990.89
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5766,45293,Disabled Children's Team,Care Packages,1988.16
LBHF,Apollo Home Healthcare Ltd,2324.4.CPMT.5767,45293,Disabled Children's Team,Care Packages,1988.16
LBHF,Oakleaf Surveying Limited,2324.4.CPMT.5877,45293,Capital - Fire Risk Assessors,Capital - Contractors - Refurbishment and Restora,650
LBHF,Charles Care Services Ltd,2324.4.CPMT.5915,45293,Disabled Children's Team,Care Packages,1901.7
LBHF,Charles Care Services Ltd,2324.4.CPMT.5916,45293,Disabled Children's Team,Care Packages,1439.27
LBHF,F.M Conway Ltd,2324.4.CPMT.603,45293,Parking,"Tools, Furniture, Materials - Materials",2645.71
LBHF,F.M Conway Ltd,2324.4.CPMT.604,45293,Parking,"Tools, Furniture, Materials - Materials",803.1
LBHF,F.M Conway Ltd,2324.4.CPMT.605,45293,Parking,"Tools, Furniture, Materials - Materials",2439.54
LBHF,Bis-Web Ltd,2324.4.CPMT.6143,45293,Community Safety,"Newspapers, Periodicals and Publications",6999.96
LBHF,Kier Services Ltd,2324.4.CPMT.6558,45293,Capital - Spandrel/Infill panel replacement,Capital - Contractors - Refurbishment and Restora,44366.8
LBHF,Personal Data - Name Redacted,2324.4.CPMT.6611,45293,Adult Learning and Skills Service,Fees - Management Consultancy,2000
LBHF,33 Recruitment Limited,2324.4.CPMT.6631,45293,SEND and Inclusion,Element 3 - Top-up Funding,1555
LBHF,33 Recruitment Limited,2324.4.CPMT.6640,45293,SEND and Inclusion,SEN - Primary,2015
LBHF,CLS Clockwork Limited,2324.4.CPMT.6680,45293,Civic Campus,Premises Rent,56323.12
LBHF,CLS Clockwork Limited,2324.4.CPMT.6681,45293,Civic Campus,Premises Rent,93691.89
LBHF,CLS Clockwork Limited,2324.4.CPMT.6682,45293,Civic Campus,Premises Rent,88803.74
LBHF,NORTH SV LIMITED,2324.4.CPMT.6692,45293,Community Safety,Security Costs including Equipment,39680
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7127,45293,Family Support and Child Protection,Assessment - Other,7102
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7128,45293,Family Support and Child Protection,Assessment - Other,7200.86
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7129,45293,Family Support and Child Protection,Assessment - Other,7102
LBHF,ISWP Assessment Services Ltd,2324.4.CPMT.7130,45293,Family Support and Child Protection,Assessment - Other,7203.44
LBHF,Microlink PC (UK) Ltd,2324.4.CPMT.7551,45293,People Operations,Assistive Equipment & Technology,5638.88
LBHF,Financial Data Management Ltd,2324.4.CPMT.759,45293,Electoral Services,Postage and Delivery,1632.88
LBHF,Financial Data Management Ltd,2324.4.CPMT.764,45293,Electoral Services,"Printing, Publications and Photocopying",520
LBHF,Profile Security Services Ltd,2324.4.CPMT.7722,45293,Capital - Edith Summerskill,Capital - Contractors - Security,549.32
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8041,45293,SEND and Inclusion,Element 3 - Top-up Funding,9246.38
LBHF,Refuge,2324.4.CPMT.8196,45293,Community Safety,Payments to Voluntary Bodies,30350
LBHF,TANMIL LTD,2324.4.CPMT.8590,45293,"Quality, Standards and Safeguarding",Fees - Management and Administration,900
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.8826,45293,Family Support and Child Protection,Looked After Children - Contact,2350
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.1,45293,Allocation and Lettings,Hire of Accommodation and Facilities,706.25
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.2,45293,Allocation and Lettings,Hire of Accommodation and Facilities,834.23
LBHF,CDW Ltd,2324.4.CPMT.1253,45294,Digital Projects,"IT Hardware incl Support, Storage and Co",3750
LBHF,SoloProtect Limited,2324.4.CPMT.1481,45294,Health and Safety Team,Health and Safety Equipment,2315.25
LBHF,SoloProtect Limited,2324.4.CPMT.1482,45294,Health and Safety Team,Health and Safety Equipment,1102.5
LBHF,Car Hire (Day Of Swansea) Ltd,2324.4.CPMT.1501,45294,Street Environment Services,Vehicle Lease and Hire Costs,624.5
LBHF,Car Hire (Day Of Swansea) Ltd,2324.4.CPMT.1502,45294,Street Environment Services,Vehicle Lease and Hire Costs,4327.18
LBHF,C & P Hygiene,2324.4.CPMT.1639,45294,Mental Health Services,Cleaning and Domestic Supplies,872
LBHF,C & P Hygiene,2324.4.CPMT.1663,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,885
LBHF,C & P Hygiene,2324.4.CPMT.1664,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,6480
LBHF,C & P Hygiene,2324.4.CPMT.1666,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,890
LBHF,C & P Hygiene,2324.4.CPMT.1667,45294,Head of Neighbourhood Services (North),Other Establishments - Unspecified,827.5
LBHF,Central London Community Healthcare,2324.4.CPMT.1676,45294,Sexual Health,Payments to Health Authorities,2412.94
LBHF,Central London Community Healthcare,2324.4.CPMT.1677,45294,Sexual Health,Payments to Health Authorities,2077.25
LBHF,Play Association Hammersmith & Fulham,2324.4.CPMT.1705,45294,Disabled Children's Team,Care Packages,693
LBHF,A N Contract Service Ltd,2324.4.CPMT.2289,45294,Civic Campus,Premises Service Charges,576
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.26484,45294,SEND and Inclusion,SEN - Secondary,31489.88
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.26679,45294,SEND and Inclusion,SEN - Secondary,22640.06
LBHF,Greenside Primary School,2324.4.CPMT.27221,45294,SEND and Inclusion,SEN - Primary,21867.47
LBHF,Greenside Primary School,2324.4.CPMT.27226,45294,SEND and Inclusion,Early Years,-24371.1
LBHF,Hammersmith & Fulham Mencap,2324.4.CPMT.28418,45294,Learning Disability Services,Fees - General,6500
LBHF,London Councils,2324.4.CPMT.2884,45294,Living Well,Memberships and Subscriptions,33987
LBHF,Core Projects Ltd,2324.4.CPMT.2996,45294,Capital - Bagleys Lane Depot,Capital - Contractors - New and Enhancement,8680
LBHF,West London Free School,2324.4.CPMT.32445,45294,SEND and Inclusion,SEN - Primary,14715
LBHF,West London Free School,2324.4.CPMT.32451,45294,SEND and Inclusion,SEN - Secondary,25855.31
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.33218,45294,SEND and Inclusion,SEN - Secondary,32344.88
LBHF,ARK Schools T/A ARK Swift Primary Academy,2324.4.CPMT.33225,45294,SEND and Inclusion,SEN - Primary,19805.34
LBHF,ARK Schools T/A ARK Swift Primary Academy,2324.4.CPMT.33231,45294,SEND and Inclusion,Early Years,25855.2
LBHF,ARK Schools T/A ARK Swift Primary Academy,2324.4.CPMT.33232,45294,SEND and Inclusion,Early Years,-10778.9
LBHF,ARK Schools T/A ARK Swift Primary Academy,2324.4.CPMT.33233,45294,SEND and Inclusion,Early Years,1212.2
LBHF,ARK Schools T/A ARK Swift Primary Academy,2324.4.CPMT.33236,45294,SEND and Inclusion,Early Years,1412
LBHF,ARK Schools T/A ARK Swift Primary Academy,2324.4.CPMT.33244,45294,SEND and Inclusion,Early Years,7750
LBHF,Quadient UK Ltd,2324.4.CPMT.3352,45294,Corporate Buildings & Facilities Mgmt,Postage and Delivery,59556.02
LBHF,Quadient UK Ltd,2324.4.CPMT.3353,45294,Corporate Buildings & Facilities Mgmt,Postage and Delivery,-28211.4
LBHF,Quadient UK Ltd,2324.4.CPMT.3356,45294,Corporate Buildings & Facilities Mgmt,Postage and Delivery,-59556.02
LBHF,Quadient UK Ltd,2324.4.CPMT.3357,45294,Corporate Buildings & Facilities Mgmt,Postage and Delivery,28211.4
LBHF,Ashville Surgery,2324.4.CPMT.3652,45294,Behaviour Change,Payments to Health Authorities,1675
LBHF,RG Jones Sound Engineering Ltd,2324.4.CPMT.3832,45294,Civic Services,"Tools, Furniture, Materials - Equipment",550
LBHF,RG Jones Sound Engineering Ltd,2324.4.CPMT.3833,45294,Civic Services,"Tools, Furniture, Materials - Equipment",550
LBHF,Thomas's Academy,2324.4.CPMT.38434,45294,SEND and Inclusion,SEN - Primary,31460.91
LBHF,Thomas's Academy,2324.4.CPMT.38438,45294,SEND and Inclusion,Early Years,22161.6
LBHF,Thomas's Academy,2324.4.CPMT.38439,45294,SEND and Inclusion,Early Years,-40882.35
LBHF,Thomas's Academy,2324.4.CPMT.38440,45294,SEND and Inclusion,Early Years,1337.6
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.3845,45294,SEND and Inclusion,SEN - Primary,5387.5
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38451,45294,SEND and Inclusion,SEN - Secondary,24475.78
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38462,45294,SEND and Inclusion,SEN - Secondary,22274.16
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38467,45294,SEND and Inclusion,SEN - Secondary,81875.71
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38469,45294,SEND and Inclusion,SEN - Primary,19634.06
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38472,45294,SEND and Inclusion,SEN - Secondary,26684.16
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38474,45294,SEND and Inclusion,Early Years,-16000
LBHF,United Learning Trust - Langford Primary School,2324.4.CPMT.38478,45294,SEND and Inclusion,SEN - Primary,11800.69
LBHF,United Learning Trust - Langford Primary School,2324.4.CPMT.38483,45294,SEND and Inclusion,Early Years,36936
LBHF,United Learning Trust - Langford Primary School,2324.4.CPMT.38484,45294,SEND and Inclusion,Early Years,-24609.75
LBHF,United Learning Trust - Langford Primary School,2324.4.CPMT.38485,45294,SEND and Inclusion,Early Years,1638.56
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38497,45294,SEND and Inclusion,SEN - Secondary,32041.97
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38502,45294,SEND and Inclusion,SEN - Secondary,26327.81
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38507,45294,SEND and Inclusion,SEN - Primary,19305.84
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38510,45294,SEND and Inclusion,SEN - Secondary,18297.84
LBHF,Ark Schools,2324.4.CPMT.38516,45294,SEND and Inclusion,SEN - Primary,17931.38
LBHF,Ark Schools,2324.4.CPMT.38520,45294,SEND and Inclusion,Early Years,20930.4
LBHF,Ark Schools,2324.4.CPMT.38521,45294,SEND and Inclusion,Early Years,-3268.4
LBHF,Ark Schools,2324.4.CPMT.38522,45294,SEND and Inclusion,Early Years,898.7
LBHF,Ark Schools,2324.4.CPMT.38525,45294,SEND and Inclusion,Early Years,823.67
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.38536,45294,SEND and Inclusion,SEN - Primary,15107.34
LBHF,Prestige Supported Living Care Serv,2324.4.CPMT.40389,45294,Learning Disability Services,Home Care,13020
LBHF,Prestige Supported Living Care Serv,2324.4.CPMT.40390,45294,Learning Disability Services,Home Care,13020
LBHF,Total Assist Recruitment Ltd,2324.4.CPMT.4122,45294,Coroners & Mortuaries,Coroner's Expenses,1261.2
LBHF,Total Assist Recruitment Ltd,2324.4.CPMT.4123,45294,Coroners & Mortuaries,Coroner's Expenses,1471.4
LBHF,F.M Conway Ltd,2324.4.CPMT.415,45294,Capital - Parking Policy Capital - Implementation,Capital - Contractors - New and Enhancement,3776.82
LBHF,F.M Conway Ltd,2324.4.CPMT.437,45294,Capital - S278 Ark Swift Academy,Capital - Contractors - New and Enhancement,8277.4
LBHF,THE QUEENSMILL TRUST,2324.4.CPMT.44835,45294,SEND and Inclusion,Element 3 - Top-up Funding,840081.94
LBHF,THE QUEENSMILL TRUST,2324.4.CPMT.44836,45294,SEND and Inclusion,Element 3 - Top-up Funding,-500000
LBHF,Ormiston Academies Trust,2324.4.CPMT.45165,45294,Education - Assets and Resources,Element 3 - Top-up Funding,72677.61
LBHF,Ormiston Academies Trust,2324.4.CPMT.45166,45294,Education - Assets and Resources,Element 3 - Top-up Funding,20349.76
LBHF,Ormiston Academies Trust,2324.4.CPMT.45173,45294,SEND and Inclusion,Other Establishments - Unspecified,31031
LBHF,Ormiston Academies Trust,2324.4.CPMT.45176,45294,SEND and Inclusion,Element 3 - Top-up Funding,14818.5
LBHF,Ormiston Academies Trust,2324.4.CPMT.45177,45294,SEND and Inclusion,Element 3 - Top-up Funding,11250
LBHF,Ormiston Academies Trust,2324.4.CPMT.45181,45294,School Funding,Element 3 - Top-up Funding,7948.75
LBHF,Fulham Primary School,2324.4.CPMT.48112,45294,SEND and Inclusion,SEN - Primary,26852.32
LBHF,Fulham Primary School,2324.4.CPMT.48115,45294,SEND and Inclusion,Early Years,9849.6
LBHF,Fulham Primary School,2324.4.CPMT.48116,45294,SEND and Inclusion,Early Years,-37659.52
LBHF,Fulham Primary School,2324.4.CPMT.48117,45294,SEND and Inclusion,Early Years,836
LBHF,Sulivan Primary School,2324.4.CPMT.48126,45294,SEND and Inclusion,SEN - Primary,28112.06
LBHF,Sulivan Primary School,2324.4.CPMT.48130,45294,SEND and Inclusion,Early Years,24624
LBHF,Sulivan Primary School,2324.4.CPMT.48131,45294,SEND and Inclusion,Early Years,-2981.53
LBHF,Sulivan Primary School,2324.4.CPMT.48132,45294,SEND and Inclusion,Early Years,898.7
LBHF,Queen’s Manor Primary School,2324.4.CPMT.48144,45294,SEND and Inclusion,SEN - Primary,78844.5
LBHF,Queen’s Manor Primary School,2324.4.CPMT.48148,45294,SEND and Inclusion,Early Years,20930.4
LBHF,Queen’s Manor Primary School,2324.4.CPMT.48149,45294,SEND and Inclusion,Early Years,-17459.36
LBHF,Queen’s Manor Primary School,2324.4.CPMT.48150,45294,SEND and Inclusion,Early Years,1045
LBHF,St John XXIII Catholic Primary School,2324.4.CPMT.48365,45294,School Meals and Travel Care,Element 3 - Top-up Funding,3899
LBHF,St John XXIII Catholic Primary School,2324.4.CPMT.48366,45294,SEND and Inclusion,SEN - Primary,60169.5
LBHF,St John XXIII Catholic Primary School,2324.4.CPMT.48371,45294,SEND and Inclusion,Early Years,16005.6
LBHF,St John XXIII Catholic Primary School,2324.4.CPMT.48372,45294,SEND and Inclusion,Early Years,-17879.95
LBHF,St John XXIII Catholic Primary School,2324.4.CPMT.48373,45294,SEND and Inclusion,Early Years,806.74
LBHF,Convit House Pathology Ltd,2324.4.CPMT.4972,45294,Coroners & Mortuaries,Fees - Technical and Professional Consul,5775
LBHF,Unison Home Care Limited,2324.4.CPMT.51497,45294,Care and Assessment Services,Home Care,1478.4
LBHF,Stoneview Maintenance Ltd,2324.4.CPMT.5218,45294,Allocations & Lettings (GF),"Tools, Furniture, Materials - Furniture",528.93
LBHF,One-time vendors,2324.4.CPMT.54266,45294,"Treasury, Pensions and Insurance",Insurance Claim Settlements,2046
LBHF,One-time vendors,2324.4.CPMT.54267,45294,"Treasury, Pensions and Insurance",Insurance Claim Settlements,6050
LBHF,Hammersmith & Fulham Giving,2324.4.CPMT.54315,45294,Project Management Office,Grant Aid and Donations,147000
LBHF,Agility International Limited,2324.4.CPMT.5481,45294,Project Delivery (Digital Services),"IT Hardware incl Support, Storage and Co",2375
LBHF,Edmundson Electrical Ltd,2324.4.CPMT.6027,45294,Head of Fire Safety Works,"Tools, Furniture, Materials - Materials",741.59
LBHF,London & Kent Air Conditioning,2324.4.CPMT.6205,45294,Corporate Buildings & Facilities Mgmt,Planned Repairs & Maintenance - Buildings - Repairs & Maintenance,3792
LBHF,Sutton Projects Ltd,2324.4.CPMT.7243,45294,Corporate Buildings & Facilities Mgmt,Reactive Repairs & Maintenance - Buildings - Materials,1014
LBHF,British Telecommunications Plc,2324.4.CPMT.734,45294,ICT Service Towers,Telephony,2208
LBHF,Pinnacle Connect Limited,2324.4.CPMT.7399,45294,Homelessness Prevention & Assessment (GF,Payments to Private Contractors,1215.5
LBHF,Oasis care and training Agency,2324.4.CPMT.7578,45294,Disabled Children's Team,Care Packages,554.04
LBHF,Premier Minicab Services UK Ltd,2324.4.CPMT.7590,45294,Learning Disability Services,Payments to Transport Operators,2738.37
LBHF,Premier Minicab Services UK Ltd,2324.4.CPMT.7593,45294,Education - Assets and Resources,Payments to Transport Operators,13581.97
LBHF,Netcall Technology Limited,2324.4.CPMT.8221,45294,Digital Projects,"IT Software, Licences and Subscriptions",1460
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.3,45294,Allocations & Lettings (GF),Hire of Accommodation and Facilities,-864
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.GPC.4,45294,Allocations & Lettings (GF),Hire of Accommodation and Facilities,600.77
LBHF,BT Global Services,2324.4.CPMT.104,45295,Digital Projects,"IT Hardware incl Support, Storage and Co",2729.17
LBHF,BT Global Services,2324.4.CPMT.112,45295,ICT Service Towers,"IT Hardware incl Support, Storage and Co",21959.84
LBHF,Look Ahead Housing & Care Ltd,2324.4.CPMT.1694,45295,Ageing Well,Payments to Voluntary Bodies,30015
LBHF,Somewhere House,2324.4.CPMT.1744,45295,Substance Misuse/Offender Health Commiss,Payments to Health Authorities,2112.76
LBHF,Personal Data - Name Redacted,2324.4.CPMT.2145,45295,Allocations & Lettings (GF),Temporary Accommodation,7616
LBHF,Nowmedical,2324.4.CPMT.2376,45295,Homelessness Prevention & Assessment (GF,Payments to Health Authorities,4360.96
LBHF,Hotel/B&B/Decant Accomodation - Location Redacted,2324.4.CPMT.2505,45295,Allocations & Lettings (GF),Temporary Accommodation,10633
LBHF,St Mungo's Broadway,2324.4.CPMT.2512,45295,Community Safety,Payments to Voluntary Bodies,10750
LBHF,St Mungo's Broadway,2324.4.CPMT.2514,45295,Supported Housing,Payments to Private Contractors,124636.75
LBHF,St Mungo's Broadway,2324.4.CPMT.2515,45295,Supported Housing,Payments to Private Contractors,53695
LBHF,St Mungo's Broadway,2324.4.CPMT.2520,45295,Supported Housing,Payments to Voluntary Bodies,177160.75
LBHF,St Mungo's Broadway,2324.4.CPMT.2521,45295,Supported Housing,Payments to Voluntary Bodies,24250
LBHF,Advance Advocacy and Non-Violence Community Education,2324.4.CPMT.2528,45295,Community Safety,Payments to Voluntary Bodies,47100.94
LBHF,Advance Advocacy and Non-Violence Community Education,2324.4.CPMT.2529,45295,Community Safety,Payments to Voluntary Bodies,18750
LBHF,ARD Playgrounds,2324.4.CPMT.2646,45295,Capital - Hurlingham Park Playground Refurbishment,Capital - Contractors - Refurbishment and Restora,3255
LBHF,The Hotline Group,2324.4.CPMT.274,45295,Head of Fire & Asbestos Compliance,"Publicity, Promotions and Advertisement",783.75
LBHF,Phase II Care Ltd,2324.4.CPMT.28180,45295,Looked After Children & Leaving Care,Semi Independent Accomodation,1868.28
LBHF,The National Autistic Society,2324.4.CPMT.2910,45295,Ageing Well,Grant Aid and Donations,9166.67
LBHF,Core Projects Ltd,2324.4.CPMT.3023,45295,Head of Strategic Asset Management,Fees - Property Management,13419.37
LBHF,Greater London Authority,2324.4.CPMT.3050,45295,Allocation and Lettings,Memberships and Subscriptions,4000
LBHF,Quadient UK Ltd,2324.4.CPMT.3360,45295,Corporate Buildings & Facilities Mgmt,Postage and Delivery,31464.62
LBHF,Special People,2324.4.CPMT.3475,45295,Disabled Children's Team,Care Packages,578.76
LBHF,Storing.Com Ltd,2324.4.CPMT.3486,45295,Social Care Finance,Removal Costs,956.8
LBHF,Storing.Com Ltd,2324.4.CPMT.3487,45295,Social Care Finance,Removal Costs,729.3
LBHF,Storing.Com Ltd,2324.4.CPMT.3488,45295,Social Care Finance,Removal Costs,687.05
LBHF,Storing.Com Ltd,2324.4.CPMT.3489,45295,Social Care Finance,Removal Costs,771.55
LBHF,Redacted - Sensitive Supplier/Service,2324.4.CPMT.3640,45295,Family Support and Child Protection,Payments to Transport Operators,6682.32
LBHF,Turning Point Services Ltd,2324.4.CPMT.3669,45295,Substance Misuse/Offender Health Commiss,Payments to Health Authorities,2080
LBHF,Stafford Tilley Ltd,2324.4.CPMT.3700,45295,Communications,"Publicity, Promotions and Advertisement",4087.5
LBHF,Star Boarding Kennels,2324.4.CPMT.3808,45295,Social Care Finance,Fees - General,707.7
LBHF,Blitz Home Environmental Cleaning,2324.4.CPMT.3836,45295,Adult Learning and Skills Service,"Tools, Furniture, Materials - Equipment",657
LBHF,Croydon Council,2324.4.CPMT.388,45295,Audit & Risk,Fees - Audit,12426.5
LBHF,The Medical Centre,2324.4.CPMT.4275,45295,Behaviour Change,Payments to Health Authorities,2150
LBHF,Go Access Distribution Ltd,2324.4.CPMT.4296,45295,Capital - Adaptations (HRA),Capital - Contractors - Refurbishment and Restora,1250
LBHF,Rapid Mailing CIC,2324.4.CPMT.4424,45295,Capital - Compliance Concrete/Structural works,Capital - Professional Fees - Non-Legal,542.07
LBHF,Parkview Medical Centre,2324.4.CPMT.4487,45295,Behaviour Change,Payments to Health Authorities,550
LBHF,Personal Data - Name Redacted,2324.4.CPMT.4856,45295,Economic Development,Activities and Events,500
LBHF,Covent Garden Entertainment Ltd,2324.4.CPMT.4859,45295,Economic Development,Activities and Events,4275
LBHF,Housing 21,2324.4.CPMT.48598,45295,Care and Assessment Services,Social Care - Extra Care,600
LBHF,Housing 21,2324.4.CPMT.48599,45295,Care and Assessment Services,Social Care - Extra Care,1721.25
LBHF,Housing 21,2324.4.CPMT.48600,45295,Care and Assessment Services,Social Care - Extra Care,1743.75
LBHF,Housing 21,2324.4.CPMT.48601,45295,Care and Assessment Services,Social Care - Extra Care,2970
LBHF,Housing 21,2324.4.CPMT.48602,45295,Care and Assessment Services,Social Care - Extra Care,2093.12
LBHF,Housing 21,2324.4.CPMT.48603,45295,Care and Assessment Services,Social Care - Extra Care,1743.75
LBHF,Housing 21,2324.4.CPMT.48604,45295,Care and Assessment Services,Social Care - Extra Care,1395
LBHF,Housing 21,2324.4.CPMT.48605,45295,Care and Assessment Services,Social Care - Extra Care,2272.5
LBHF,Housing 21,2324.4.CPMT.48606,45295,Care and Assessment Services,Social Care - Extra Care,1743.75
LBHF,Housing 21,2324.4.CPMT.48607,45295,Care and Assessment Services,Social Care - Extra Care,1743.75
