Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
28/11/2023,2702221,1049754.00,NORTH OF TYNE COMBINED AUTHORITY,398434,Central Items,N/A,N/A,Third Party Payments,505,Other Agencies,5043,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/11/2023,2702311,892873.00,NORTHUMBRIA POLICE AND CRIME COMMISSIONER,014031,General Fund Financing,Holding A/C,N/A,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/11/2023,2702325,488597.00,TYNE & WEAR FIRE & RESCUE SERVICE,378230,General Fund Financing,Holding A/C,N/A,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
10/11/2023,2693724,2747279.88,TYNE & WEAR PENSION FUND,364141,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
13/11/2023,2694664,1870333.67,TEACHERS PENSIONS AGENCY,341172,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NON INFLUENCIBLE
20/11/2023,2697775,1474469.99,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
20/11/2023,2697775,1014813.53,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
22/11/2023,2700264,833830.68,SOLUTIONS 4 NORTH TYNESIDE,391082,Housing Management,Housing Services,108,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
28/11/2023,2702325,53435.00,TYNE & WEAR FIRE & RESCUE SERVICE,378230,General Fund Financing,Environmental & Regulatory Services,105,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
08/11/2023,2693400,603827.92,SITA UK LIMITED,359430,Waste Management,Environmental & Regulatory Services,105,Third Party Payments,505,Private Contractors,5042,Revenue,WASTE.RECYCLING
09/11/2023,2693547,484527.43,KAJIMA NORTH TYNESIDE LTD,356854,Commissioning & Asset Management,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
23/11/2023,2700393,483526.75,NTW NHS TRUST,374360,Public Health,Public Health,112,Supplies and Services,504,"Printing, Stationery and General Office Expenses",5026,Revenue,NON INFLUENCIBLE.DOCTORS/MEDICAL FEES
15/11/2023,2696292,464258.61,TAY VALLEY LIGHTING (NEWCASTLE & NORTH TYNESIDE) LIMITED,357147,Street Lighting PFI,Highways & Transport Services,107,Third Party Payments,505,Private Contractors,5042,Revenue,HIGHWAYS.STREET LIGHTING
20/11/2023,2697772,422616.29,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
06/11/2023,2690343,393636.85,WILLMOTT DIXON CAPITAL WORKS LTD,391705,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
07/11/2023,2690770,321021.36,HOUSING BENEFIT,299992,Resources,Housing Services,108,Transfer Payments,506,Housing Benefits,5048,Revenue,NON INFLUENCIBLE.NON INFLUENCIBLE
02/11/2023,2689197,317860.53,TG ESCAPES LTD,403761,Capital,Capital,Capital,Capital,Capital,Capital,Capital,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
20/11/2023,2697772,289644.36,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
06/11/2023,2690254,268208.05,JONES LANG LASALLE,388538,Commissioning & Asset Management,Unallocated,N/A,Premises-Related Expenditure,502,Rents,5007,Revenue,LEGAL.REAL ESTATE
20/11/2023,2697958,268208.05,JONES LANG LASALLE,388538,Commissioning & Asset Management,Unallocated,N/A,Premises-Related Expenditure,502,Rents,5007,Revenue,LEGAL.REAL ESTATE
