Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
06/09/2023,2662698,9.99,MENTAL HEALTH FIRST AID ENGLAND,401682,Childrens,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
06/09/2023,2662698,396.00,MENTAL HEALTH FIRST AID ENGLAND,401682,Childrens,Children's & Education Services,103,Supplies and Services,504,Equipment,5023,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
13/09/2023,2667116,1200.00,COQUET PARK FIRST SCHOOL,300540,Childrens,Children's & Education Services,103,Third Party Payments,505,Independent Units within the Council,5035,Revenue,NON INFLUENCIBLE.NT SCHOOLS
14/09/2023,2667310,4000.00,Redacted Personal Data,405196,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,NON INFLUENCIBLE.INDIVIDUAL
18/09/2023,2668010,365.00,TYNE TEES SECURITY LTD,389237,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,FIRE & SECURITY.MANNED GUARDING
18/09/2023,2668010,2310.18,TYNE TEES SECURITY LTD,389237,Childrens,Children's & Education Services,103,Third Party Payments,505,Private Contractors,5042,Revenue,FIRE & SECURITY.MANNED GUARDING
27/09/2023,2672588,2370.00,M10 MISSIONS,401397,Childrens,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
27/09/2023,2672634,3395.00,FOUNDATION FUTURES CIC,392790,Childrens,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,EDUCATIONAL SUPPLIES.ADULT & FURTHER EDUCATION SERVICES
27/09/2023,2672663,3200.00,GROUNDWORK SOUTH AND NORTH TYNESIDE,404739,Childrens,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,NON INFLUENCIBLE.INDIVIDUAL
01/09/2023,2660348,55.00,IIA-UK AND IRELAND,359946,Resources,Children's & Education Services,103,Supplies and Services,504,Miscellaneous Expenses,5034,Revenue,HUMAN RESOURCES.TRAINING & CONFERENCES
