Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
29/01/2024,2728051,1049754.00,NORTH OF TYNE COMBINED AUTHORITY,398434,Central Items,N/A,N/A,Third Party Payments,505,Other Agencies,5043,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
29/01/2024,2728077,892782.00,NORTHUMBRIA POLICE AND CRIME COMMISSIONER,014031,General Fund Financing,Holding A/C,N/A,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
29/01/2024,2728097,488602.00,TYNE & WEAR FIRE & RESCUE SERVICE,378230,General Fund Financing,Holding A/C,N/A,Excluded from General Fund,N/A,Collection Fund,N/A,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
10/01/2024,2720179,4319557.47,TYNE & WEAR PENSION FUND,364141,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
18/01/2024,2724432,2621965.39,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
18/01/2024,2724432,1972834.96,HM REVENUE & CUSTOMS,361213,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.PUBLIC SECTOR
11/01/2024,2720259,1939884.60,TEACHERS PENSIONS AGENCY,341172,Capital,General Fund,N/A,Capital,Capital,Capital,Capital,Capital,NON INFLUENCIBLE.NON INFLUENCIBLE
17/01/2024,2724321,1137944.39,WILLMOTT DIXON CAPITAL WORKS LTD,391705,Capital,Capital,Capital,Third Party Payments,505,Private Contractors,5042,Capital,REPAIRS & MAINTENANCE.BUILDINGS CONSTRUCTION
16/01/2024,2723556,913316.11,SOLUTIONS 4 NORTH TYNESIDE,391082,Housing Management,Housing Services,108,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
03/01/2024,2717652,904565.30,SOLUTIONS 4 NORTH TYNESIDE,391082,Housing Management,Housing Services,108,Third Party Payments,505,Private Contractors,5042,Revenue,REPAIRS & MAINTENANCE.REPAIRS & MAINTENANCE
