Payment Date,Transaction Number,Net Amount,Supplier (Beneficiary) Name,Local Supplier Internal Reference,Directorate / Service Where Expenditure Incurred,Service Category Label,Service Category URI,SeRCOP Expenditure Category,SeRCOP Expenditure Code,Purpose of Spend,SeRCOP Detailed Expenditure Code,Capital/Revenue,Procurement Classification
28/07/2023,2000027,7577.60,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,6597.42,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,74591.40,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,36864.00,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,6362.25,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,6809.60,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,5211.17,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,28160.00,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,8345.60,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
28/07/2023,2000027,7014.40,NNDR - NORTH TYNESIDE COUNCIL,014998,Commissioning & Asset Management,Children's & Education Services,103,Premises-Related Expenditure,502,Rates,5008,Revenue,NON INFLUENCIBLE.PUBLIC SECTOR
