Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Security: contract,Group Operations,DEPARTMENT FOR WORK AND PENSIONS (DWP),4023706,74816.3,Quarry House securty FY 2023/24,CF14 3UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,DEPARTMENT FOR WORK AND PENSIONS (DWP),4023706,1241880.03,Quarry House rent FY 2023/24,CF14 3UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Recruitment,Group Operations,CABINET OFFICE,3835643,85847.67,Delegated Recruitment Costs 23-24,FY5 9BU,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Rates,Group Operations,DEPARTMENT FOR WORK AND PENSIONS (DWP),4023706,193071.58,Quarry House rates FY 2023/24,CF14 3UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Legal Fees,Group Operations,TLT LLP,1437947,208844.36,Covid 19 Inquiry Legal Cost (Correction of CC for line 3),NS1 6TP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Facilities management: contract,Group Operations,DEPARTMENT FOR WORK AND PENSIONS (DWP),4023706,423891.6,Quarry House FM Charge FY 2023/24,CF14 3UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Electricity,Group Operations,DEPARTMENT FOR WORK AND PENSIONS (DWP),4023706,174642.28,Quarry House utilities FY 2023/24,CF14 3UW,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Additions-LEASED BUILDINGS,Group Operations,WILLMOTT DIXON INTERIORS LTD,8003341,577901.11, QH L7 Construction Works,EC4A 4HJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29445,93721.03,Birm Stephenson Street Workplace services 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29445,17245.37,Birm Stephenson Street GPA Man Fee 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29445,127149.8,Birm Stephenson Street rent 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/26165,24619.66,Bristol Rivergate rent 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/26165,98478.54,Bristol Rivergate rent 22/23,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Rates,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29445,48416.85,Birm Stephenson Street Rates 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Publicity & advertising,Group Operations,MULLENLOWE LONDON,9052021874,191421.26,Patient Choice Planning Final Fees,EC1Y 1AT,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29781,31240.34,Birm Stephenson Street Workplace services 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Service charge - Property related,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29781,5748.46,Birm Stephenson Street GPA Man Fee 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Service charge - Property related,Group Operations,CITY OF YORK COUNCIL,9002389513,26828.4,York West Offices Rates 2023 Q3 & Q4,YO1 6GA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Service charge - ICT,Group Operations,HITACHI SOLUTIONS EUROPE LTD,I008375P-GB01,90000,D365 2yr Extension to 2025,EC2Y 9HT,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Security: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020730,102811.66,39VS Security 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Security: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020721,37250.09,CSQ074 39VS add/l sec. costs April23/Mar24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Security: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020720,37250.09,CSQ074 39VS add/l sec. costs April23/Mar24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Revenue Policy Payments,Group Operations,DEPARTMENT FOR INTERNATIONAL TRADE,6.23E+11,325000,Healthcare UK funding,SW1H 0ET,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29781,42383.27,Birm Stephenson Street rent 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Rent of Land & Buildings (non-PFI operating lease),Group Operations,CITY OF YORK COUNCIL,9002389513,19380,York West Offices Rent 2023 Q3 & Q4,YO1 6GA,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Rates,Group Operations,GOVERNMENT PROPERTY AGENCY,00000001/29781,16138.95,Birm Stephenson Street Rates 23/24,SW1H 0NN,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020730,65135.16,39VS Central FM 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020729new,29903.71,Correction inv RI1020729 PO567188,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Cleaning: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020730,36691.25,39VS Cleaning 2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020732,35178,SH Building/Maintenence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020731,32818.82,PH Building/Maintanence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020730,66994.13,39VS Building/Maintanence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Building repairs & maintenance,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020723,46940.77,BH Building/Maintanence  2023/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Additions-BUILDINGS,Group Operations,WILLMOTT DIXON INTERIORS LTD,VM0050/08003210,189367.33,WH Construction Works - To be recharged to NHSE UPLIFT,EC4A 4HJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,04/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020729reverse,-26123.71,Correction inv RI1020729 PO567188,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,04/01/2024,Facilities management: contract,Group Operations,EMCOR FACILITIES SERVICES LTD,RI1020729,26123.71,2RP FM 23/24,SO53 3YE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538359,34619.786,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538358,29417.375,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538357,25793.735,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538356,33940.937,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538355,29754.523,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538354,29188.268,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538353,34306.992,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538352,73249.04,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538895,39398.033,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538896,32345.621,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Liverpool,W23111538350,39153.059,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Hereford,H23111538885,64107.88,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Hereford,H23111538937,66048.722,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Hereford,H23111538916,64166.281,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Bristol,B23120115865,25582.135,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,GW Price,1087801,26235.9015,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,GW Price,1087797,39344.441,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,GW Price,1087809,32882.275,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,GW Price,1087803,59059.983,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,GW Price,1087796,30519.589,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,GW Price,1087805,35279.183,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Peacheys,NHS1223-935,32120.6599,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Peacheys,NHS1223-881,70278.5063,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Gateshead,SUN2312,26882.4912,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Gateshead,NOR2312,28497.2574,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Gateshead,NEW2312,27902.3334,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Gateshead,COU2312,44358.4041,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462901,27681.326,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462898,28433.869,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462897,39563.077,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462895,69025.563,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462894,36442.528,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462893,53490.562,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462891,58196.263,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462890,27358.286,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462889,28625.91,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462887,34532.863,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462886,25878.14,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462885,30625.778,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Birmingham),SIN0462884,105434.365,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Peterborough),SIN0462528,30539.5004,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Peterborough),SIN0462527,79175.1506,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Peterborough),SIN0462526,58098.285,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Peterborough),SIN0462524,29694.1856,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Peterborough),SIN0462523,25426.6428,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Peterborough),SIN0462522,60341.1666,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (St Helens),SIN0462332,28957.01,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (St Helens),SIN0462329,100089.23,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (St Helens),SIN0462327,27339.77,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (St Helens),SIN0462324,40542.6815,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Bodmin,B23110130908,44850.8174,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Total Produce - Bodmin,B23110130878,61345.14,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Axtons,INV-64529,26207.0592,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,Axtons,INV-64530,109984.2195,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Marden),SIN0461563,71511,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Marden),SIN0461562,102602.9605,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Marden),SIN0461561,29033.5188,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Marden),SIN0461560,141607.91,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Marden),SIN0461558,42013.6255,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461457,63187.38,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461456,118957.98,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461449,30996.92,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461448,50957.11,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461446,25197.158,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461444,26967.97,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461443,33601.32,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461441,33426.0116,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461440,34645.9966,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461439,28993.2928,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,SFVS - product & distribution cost,Global & Public Health,MWW (Chesham),SIN0461438,33108.9728,SFVS - product & distribution cost,,SME,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Other programme expenditure,Global & Public Health,Spain Banco Bilbao Vizcaya Argentaria,FCP0002208,280614505.6,Payment for medical claims against the UK,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Other programme expenditure,Global & Public Health,7 EEA GERMANY,FCP0002205,104191.45,"7 EEA GERMANY 26/1/24 EUROS 121,849.51",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Other programme expenditure,Global & Public Health,2 EEA FRANCE ,FCP0002198,1921213.84,"2 EEA FRANCE 26/1/24 EUROS 2,247,140.08",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Other programme expenditure,Global & Public Health,1 FCP EEA Iceland ,FCP0002197,25272.99,"1 FCP EEA Iceland 26/1/24 EUROS 29,560.66",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,18/01/2024,Other programme expenditure,Global & Public Health,Nutricia Ireland LTD ,FCP0002182,146432,Nutricia Ireland LTD 8110080207,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2024,UK subscriptions to overseas bodies,Global & Public Health,WHO,FCP0002164,10018137.44,"WHO-AC-2023 (UK) [reference required for WHO to correctly assign payment to UK account]  -12,560,340 USD -",,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,11/01/2024,UK subscriptions to overseas bodies,Global & Public Health,WHO,FCP0002163,10223266.64,WHO PAYMENT - WHO-AC-2023 (UK) [reference required for WHO to correctly assign payment to UK account],,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Consultancy/Professional Advice,Global & Public Health, The University of Antwerp ,FCP0002162,29175.49,UA20238647 The University of Antwerp UA-46-FA020700-7032100-WD900094,,PUBLIC,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Outsourcing Contract,Global & Public Health,MOTT MACDONALD LTD,100576503,454698.73,Management agent fees and expenses for FY23/24,CR0 2EE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Other programme expenditure,Global & Public Health,UNIVERSITY OF OXFORD,210141846,447708.53,Revenue grant payment: GRAM project.,OX1 2JD,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,30/01/2024,Legal Settlements and Claimants Costs,Global & Public Health,GOVERNMENT LEGAL DEPARTMENT CLIENT MONIES,Z1815753-R2,76000,,SW1H 9GL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Outsourcing Contract,Global & Public Health,NHS SUPPLY CHAIN,9424000051,1370127.41,SFVS: Reimbursement costs 2023 - 2024,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Outsourcing Contract,Global & Public Health,NHS SUPPLY CHAIN,9424000050,298919.35,SFVS: Reimbursement costs 2023 - 2024,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,26/01/2024,Outsourcing Contract,Global & Public Health,NHS SUPPLY CHAIN,9424000049,359381.64,SFVS: Reimbursement costs 2023 - 2024,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Revenue Policy Payments,Global & Public Health,MOTT MACDONALD LTD,100576140,442784.56,Invoice 100576140 manual payment FY23/24 Forecast (RDEL) Fleming Fund,CR0 2EE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Research & development,Global & Public Health,NATCEN SOCIAL RESEARCH TA NATIONAL CENTRE FOR SOCIAL RESEARCH,59251,27542,National Diet and Nutrition Survey Years 11-15,EC1V 0AX,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Research & development,Global & Public Health,NATCEN SOCIAL RESEARCH TA NATIONAL CENTRE FOR SOCIAL RESEARCH,59250,128696,National Diet and Nutrition Survey Years 11-15,EC1V 0AX,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Research & development,Global & Public Health,INNOVATE UK,CIN-1002942,148152.24,IUK 2.0 Vaccine Development Stage 1 - admin,SN2 1FL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,23/01/2024,Research & development,Global & Public Health,INNOVATE UK,CIN-1002940,527806.94,IUK SBRI Competition,SN2 1FL,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Storage costs,Global & Public Health,SUPPLY CHAIN COORDINATION LIMITED – SCCL ONLY,3124000066,4041280.8,SCCL Disposal Costs Advance,DE55 4QJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Storage costs,Global & Public Health,SUPPLY CHAIN COORDINATION LIMITED – SCCL ONLY,3124000061,2757715.2,SCCL Disposal Costs Advance,DE55 4QJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Research & development,Global & Public Health,NATCEN SOCIAL RESEARCH TA NATIONAL CENTRE FOR SOCIAL RESEARCH,59252,376885,National Diet and Nutrition Survey Years 16-20,EC1V 0AX,Medium,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Global & Public Health,NHS SUPPLY CHAIN,9424000048,594614.85,SFVS: Reimbursement costs 2023 - 2024,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Global & Public Health,NHS SUPPLY CHAIN,9424000047,476991.5,SFVS: Reimbursement costs 2023 - 2024,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,19/01/2024,Outsourcing Contract,Global & Public Health,NHS SUPPLY CHAIN,9424000046,1641157.83,SFVS: Reimbursement costs 2023 - 2024,DE55 4QJ,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Service charge - ICT,Global & Public Health,NHS ENGLAND CBA033,7000052577,300000,Foundry Clinical Equipment Data Project,LS2 7UE,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,16/01/2024,Revenue Policy Payments,Global & Public Health,HOME OFFICE,2648152,47062.17,DHSC Contribution to Dawn Sturgess Inquiry,NP20 9BB,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Revenue Policy Payments,Global & Public Health,VETERINARY MEDICINES DIRECTORATE,SN2312S007397,41391.85,Fleming Fund secondment to WOAH 2023/24 ext,KT15 3LS,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Publicity & advertising,Global & Public Health,OMD GROUP LTD,F40069,50139.47,BH EY - media (partnership),N1 9RL,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Storage costs,Global & Public Health,SUPPLY CHAIN COORDINATION LIMITED – SCCL ONLY,3124000051,4534066.8,SCCL Disposal Costs Advance,DE55 4QJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Research & development,Global & Public Health,ENGINEERING & PHYSICAL SCIENCES RESEARCH COUNCIL,EPSR14306,1436021.72,EPSRC Vaccine Manufacturing Research Hub 2.0,SN2 1FL,Govn,,,
