Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health and Social Care,Department of Health and Social Care,12/01/2024,Other programme expenditure,Secondary Care and Integration,ABBOTT LABORATORIES LTD,855221957,49361.04,FreeGo giving set Enfit w/port,SL6 4XE,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Telephone costs,Secondary Care and Integration,VYSIION LTD,41454,37029.97,CR1090&1098: Ongoing support (39 months),SN15 1GG,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Telephone costs,Secondary Care and Integration,EXPONENTIAL E LIMITED,799044,0.01,Telecommunications system.,E1 8EU,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Telephone costs,Secondary Care and Integration,EXPONENTIAL E LIMITED,799044,30569.83,CP8a-SERVICE MANAGEMENT (12 months from Oct 2022),E1 8EU,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Telephone costs,Secondary Care and Integration,EXPONENTIAL E LIMITED,799044,128772.12,CP8a-SERVICE DESK (12 months from Oct 2022),E1 8EU,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Telephone costs,Secondary Care and Integration,EXPONENTIAL E LIMITED,799044,3688.04,CP8a-ENVIRONMENT Mgment (12 months from Oct 2022),E1 8EU,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Storage costs,Secondary Care and Integration,SUPPLY CHAIN COORDINATION LIMITED – SCCL ONLY,3124000062,908357.04,Warehousing and Logistics for MedTech,DE55 4QJ,Large,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Outsourcing Contract,Secondary Care and Integration,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6304488,738289.43,FY2023 - 2024 ARP Hosting Services,EX2 7HY,Govn,,,
Department of Health and Social Care,Department of Health and Social Care,09/01/2024,Additions-IT,Secondary Care and Integration,INSIGHT DIRECT UK LTD,2100793642,164945.92,Provision-IT Hardware/software/support& warranties,S9 2BU,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Publicity & advertising,Secondary Care and Integration,VYSIION LTD,41448,27920.45,CP3: 5Yr Maintenance and Support charges for 4 Trust sites for Scotland (CR1075),SN15 1GG,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Legal Fees,Secondary Care and Integration,TLT LLP,1435259,91378.09,Legal support and advice to the Inquiry,NS1 6TP,Large,,,
Department of Health and Social Care,Department of Health and Social Care,05/01/2024,Additions-IT,Secondary Care and Integration,TERRAFIX LTD,122758,580300,MP5: Small Screen bundles,ST1 5SH,Medium,,,
