Transparency Report - December 2024,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Amount
12/12/2024,Chubb Fire and Security Ltd,Population Wellbeing,Sheltered Accomodation,Staff Training,£568.00
09/12/2024,M & M Catering,Population Wellbeing,Sheltered Accomodation,Acworth Court,£270.00
09/12/2024,Lisa Roberts Catering,Population Wellbeing,Sheltered Accomodation,Centenary Court,£400.00
16/12/2024,Three Star (Luton) Limited,Population Wellbeing,Sheltered Accomodation,Centenary Court,£252.00
16/12/2024,Three Star (Luton) Limited,Population Wellbeing,Sheltered Accomodation,Centenary Court,£576.00
16/12/2024,Three Star (Luton) Limited,Population Wellbeing,Sheltered Accomodation,Centenary Court,£368.00
15/12/2024,M & M Catering,Population Wellbeing,Sheltered Accomodation,Hickman Court,£600.00
02/12/2024,Three Star (Luton) Limited,Population Wellbeing,Sheltered Accomodation,Lewsey Park Court,"£1,050.00"
16/12/2024,New Master Chef Luton LTD,Population Wellbeing,Sheltered Accomodation,Warwick Court,£990.00
03/12/2024,Lisa Roberts Catering,Population Wellbeing,Sheltered Accomodation,Felmersham Court,£400.00
05/12/2024,Appello Careline Limited,Population Wellbeing,Sheltered Accomodation,Service Contractor,"£29,929.90"
26/12/2024,Xerox UK Ltd,Population Wellbeing,Property Maintenance,Photocopying and Network Printing,£406.17
03/12/2024,Savills (UK) Ltd,Population Wellbeing,Property Maintenance,Stock Condition Survey,"£7,000.00"
06/12/2024,Michael Dyson Associates Limited,Population Wellbeing,Capital Development Costs,Consultancy Fees,"£1,766.00"
17/12/2024,Michael Dyson Associates Limited,Population Wellbeing,Capital Development Costs,Consultancy Fees,"£1,766.00"
03/12/2024,SWECO UK LIMITED,Population Wellbeing,Capital Development Costs,Services - Projects,"£3,000.00"
19/12/2024,The Strathmore Hotel (luton) Limited,Population Wellbeing,General Costs,Temporary Accommodation,"£1,666.00"
09/12/2024,Guardforce Security Services Ltd,Population Wellbeing,Estate Officer Service,Services - Security,"£4,003.68"
09/12/2024,Guardforce Security Services Ltd,Population Wellbeing,Estate Officer Service,Services - Security,"£4,003.68"
09/12/2024,Guardforce Security Services Ltd,Population Wellbeing,Estate Officer Service,Services - Security,"£4,214.40"
09/12/2024,Guardforce Security Services Ltd,Population Wellbeing,Estate Officer Service,Services - Security,£780.00
09/12/2024,Guardforce Security Services Ltd,Population Wellbeing,Estate Officer Service,Services - Security,£370.00
04/12/2024,Redacted Personal Payment,Population Wellbeing,Responsive Repairs,Disrepair Work,"£1,326.80"
06/12/2024,Antony Hodari Solicitors,Population Wellbeing,Responsive Repairs,Disrepair Work,"£1,500.00"
20/12/2024,Driscoll Kingston Solicitors,Population Wellbeing,Responsive Repairs,Disrepair Work,"£5,621.00"
26/12/2024,Coupland Cavendish t/a Gowing Law,Population Wellbeing,Responsive Repairs,Disrepair Work,£250.00
26/12/2024,ClaimSmiths Law,Population Wellbeing,Responsive Repairs,Disrepair Work,"£1,884.22"
26/12/2024,Coupland Cavendish t/a Gowing Law,Population Wellbeing,Responsive Repairs,Disrepair Work,£250.00
31/12/2024,Addleshaw Goddard LLP,Population Wellbeing,Responsive Repairs,Disrepair Work,£593.00
16/12/2024,CME Heating Ltd,Population Wellbeing,Responsive Repairs,Structural Finishes,£363.82
19/12/2024,CME Heating Ltd,Population Wellbeing,Responsive Repairs,Water & Sanitary Appliances,£297.48
16/12/2024,CME Heating Ltd,Population Wellbeing,Responsive Repairs,Domestic Services & Appliances,£697.32
16/12/2024,CME Heating Ltd,Population Wellbeing,Responsive Repairs,Domestic Services & Appliances,£337.24
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Planned Repairs,External Decoration,"£11,200.00"
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Planned Repairs,External Decoration,"£4,800.00"
05/12/2024,Lonsdale Painting & Decorating,Population Wellbeing,Planned Repairs,External Decoration,"£3,200.00"
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Water & Sanitary Appliances,"£2,046.20"
19/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Water & Sanitary Appliances,"£8,775.00"
02/12/2024,Corgi Technical Services Limited,Population Wellbeing,Planned Repairs,Domestic Services & Appliances,£980.00
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,£580.19
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,£316.25
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,£377.12
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,£253.57
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,"£3,944.09"
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,£268.51
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,"£1,462.32"
16/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,"£1,300.88"
19/12/2024,CME Heating Ltd,Population Wellbeing,Planned Repairs,Boiler Room Heating Maintce,"£5,440.00"
12/12/2024,Lift Specialists Limited,Population Wellbeing,Planned Repairs,Lift Maintenance,"£6,261.50"
12/12/2024,Lift Specialists Limited,Population Wellbeing,Planned Repairs,Lift Maintenance,"£9,385.78"
02/12/2024,UNUS Property Services,Population Wellbeing,Planned Repairs,Energy Conservation/Improvements,£869.00
12/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£618.00
12/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£432.00
12/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£311.53
12/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£348.53
12/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£348.53
12/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£500.00
19/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,"£2,286.07"
19/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,"£1,019.53"
19/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£311.53
19/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£311.53
19/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£573.50
19/12/2024,County Security Services Ltd,Population Wellbeing,Planned Repairs,High Rise Upgrade Entry Systems,£732.21
12/12/2024,Angle Scaffolding Ltd,Population Wellbeing,Planned Repairs,Reroofing,"£1,274.00"
16/12/2024,Angle Scaffolding Ltd,Population Wellbeing,Planned Repairs,Reroofing,"£7,774.00"
19/12/2024,Freeview UK Ltd,Population Wellbeing,Planned Repairs,Reroofing,£700.59
02/12/2024,Pennington Choices,Population Wellbeing,Planned Repairs,"Asbestos, Management/Removal","£2,658.74"
12/12/2024,Scutum East Ltd,Population Wellbeing,Planned Repairs,Emergency Lighting & Fire Equipment,"£1,012.50"
19/12/2024,Scutum East Ltd,Population Wellbeing,Planned Repairs,Emergency Lighting & Fire Equipment,"£3,891.04"
19/12/2024,Scutum East Ltd,Population Wellbeing,Planned Repairs,Emergency Lighting & Fire Equipment,£272.95
19/12/2024,Scutum East Ltd,Population Wellbeing,Planned Repairs,Emergency Lighting & Fire Equipment,£682.37
02/12/2024,Broome Signs,Population Wellbeing,Planned Repairs,Fire Safety Work,£745.00
02/12/2024,Broome Signs,Population Wellbeing,Planned Repairs,Fire Safety Work,£488.40
05/12/2024,Helmore Industrial Water Treatment Ltd,Population Wellbeing,Planned Repairs,Legionella Risk Assessments,£300.00
12/12/2024,Freeview UK Ltd,Population Wellbeing,Planned Repairs,Digital Maintenance,"£2,545.31"
12/12/2024,Freeview UK Ltd,Population Wellbeing,Planned Repairs,Digital Maintenance,"£3,828.00"
19/12/2024,Freeview UK Ltd,Population Wellbeing,Planned Repairs,Digital Maintenance,"£1,825.36"
03/12/2024,County Security Services Ltd,Population Wellbeing,Warden Call System,Warden Call System Maintenance,£253.22
12/12/2024,County Security Services Ltd,Population Wellbeing,Warden Call System,Warden Call System Maintenance,£570.00
12/12/2024,County Security Services Ltd,Population Wellbeing,Warden Call System,Warden Call System Maintenance,"£1,059.00"
24/12/2024,County Security Services Ltd,Population Wellbeing,Warden Call System,Warden Call System Maintenance,£617.97
24/12/2024,County Security Services Ltd,Population Wellbeing,Warden Call System,Warden Call System Maintenance,£684.44
02/12/2024,EMS Lifts ltd,Population Wellbeing,Aids & Adaptations,Aids/Adaptation for Disabled(Minor Work),"£2,837.33"
24/12/2024,EMS Lifts ltd,Population Wellbeing,Aids & Adaptations,Aids/Adaptation for Disabled(Minor Work),"£2,717.33"
28/12/2024,EMS Lifts ltd,Population Wellbeing,Aids & Adaptations,Aids/Adaptation for Disabled(Minor Work),"£6,716.00"
28/12/2024,EMS Lifts ltd,Population Wellbeing,Aids & Adaptations,Aids/Adaptation for Disabled(Minor Work),"£6,324.00"
06/12/2024,Improver Home Ltd,Population Wellbeing,Aids & Adapts-Occupational Therapists,Aids/Adaptation for Disabled(Minor Work),£250.00
13/12/2024,RGL & GE EBSWORTH,Population Wellbeing,Aids & Adapts-Occupational Therapists,Aids/Adaptation for Disabled(Minor Work),£480.00
13/12/2024,Improver Home Ltd,Population Wellbeing,Aids & Adapts-Occupational Therapists,Aids/Adaptation for Disabled(Minor Work),£999.00
13/12/2024,Improver Home Ltd,Population Wellbeing,Aids & Adapts-Occupational Therapists,Aids/Adaptation for Disabled(Minor Work),£355.00
05/12/2024,ADPH,Population Wellbeing,Public Health Pooled Costs,Subscriptions,"£5,350.00"
03/12/2024,Gold Coach,Population Wellbeing,Public Health Pooled Costs,Miscellaneous Expenses,£250.00
06/12/2024,NHS BLMK ICB,Population Wellbeing,Adult Healthy Weight,Integrated Wellbeing - healthy weight,"£27,067.42"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Adult Healthy Weight,Integrated Wellbeing - healthy weight,"£27,067.42"
06/12/2024,NHS BLMK ICB,Population Wellbeing,Children Healthy Weight,Integrated Wellbeing,"£6,390.92"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Children Healthy Weight,Integrated Wellbeing,"£6,390.92"
06/12/2024,NHS BLMK ICB,Population Wellbeing,Physical Activity Pathways - adults,Integrated Wellbeing -  Physical Activity Pathways,"£16,729.33"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Physical Activity Pathways - adults,Integrated Wellbeing -  Physical Activity Pathways,"£16,729.33"
06/12/2024,NHS BLMK ICB,Population Wellbeing,Physical Activity - Children,Integrated Well Being -  Physical Activity Children,"£11,729.17"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Physical Activity - Children,Integrated Well Being -  Physical Activity Children,"£11,729.17"
06/12/2024,NHS BLMK ICB,Population Wellbeing,National Child Measurement Programme,Integrated Well Being  -National Child Measurement Programme,"£1,925.08"
22/12/2024,NHS BLMK ICB,Population Wellbeing,National Child Measurement Programme,Integrated Well Being  -National Child Measurement Programme,"£1,925.08"
06/12/2024,NHS BLMK ICB,Population Wellbeing,Wellness Service - smoking,Integrated Well Being - wellness,"£38,028.41"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Wellness Service - smoking,Integrated Well Being - wellness,"£38,028.41"
06/12/2024,NHS BLMK ICB,Population Wellbeing,Wellness Service - smoking,Stop smoking services and support,"£28,736.25"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Wellness Service - smoking,Stop smoking services and support,"£28,736.25"
06/12/2024,NHS BLMK ICB,Population Wellbeing,Tobacco Control,Integrated Well Being - Tobacco Control,"£1,907.25"
22/12/2024,NHS BLMK ICB,Population Wellbeing,Tobacco Control,Integrated Well Being - Tobacco Control,"£1,907.25"
14/12/2024,Love2Shop,Population Wellbeing,Tobacco Strategy Projects,Smoke Free,"£4,750.00"
14/12/2024,Love2Shop,Population Wellbeing,Tobacco Strategy Projects,Smoke Free,"£1,900.00"
16/12/2024,SiSU Wellness Limited,Population Wellbeing,Tobacco Strategy Projects,Smoke Free,"£13,334.00"
18/12/2024,SiSU Wellness Limited,Population Wellbeing,Tobacco Strategy Projects,Smoke Free,"£13,334.00"
18/12/2024,SiSU Wellness Limited,Population Wellbeing,Tobacco Strategy Projects,Smoke Free,"£6,917.00"
22/12/2024,Westbourne Pharmacy,Population Wellbeing,Health Protection,Miscellaneous Expenses,"£2,582.00"
06/12/2024,Cambridgeshire Community Services,Population Wellbeing,Children 5-19 Public Health Programmes,School Nursing Service,"£368,473.67"
03/12/2024,Champion Health Plus Ltd,Population Wellbeing,Employee Wellnesss,Pysiotherapy HETS MS Theropy,"£1,085.00"
06/12/2024,Love2Shop,Population Wellbeing,Complex Vulnerabilities,Lived experience,£285.00
20/12/2024,University of Bedfordshire,Population Wellbeing,Complex Vulnerabilities,Lived experience,£256.25
03/12/2024,Mary Seacole Housing Association Ltd,Population Wellbeing,COVID 19 - COMF,Test Centres,"£7,500.00"
17/12/2024,The Young Foundation,Population Wellbeing,COVID 19 - COMF,Test Centres,£600.00
17/12/2024,Diverse CT,Population Wellbeing,COVID 19 - COMF,Test Centres,£550.00
17/12/2024,Red Snapper Managed Services Ltd,Population Wellbeing,COVID 19 - COMF,Covid recovery - commissioned service,£330.00
17/12/2024,Red Snapper Managed Services Ltd,Population Wellbeing,COVID 19 - COMF,Covid recovery - commissioned service,£330.00
18/12/2024,Red Snapper Managed Services Ltd,Population Wellbeing,COVID 19 - COMF,Covid recovery - commissioned service,£330.00
18/12/2024,Red Snapper Managed Services Ltd,Population Wellbeing,COVID 19 - COMF,Covid recovery - commissioned service,£330.00
18/12/2024,Red Snapper Managed Services Ltd,Population Wellbeing,COVID 19 - COMF,Covid recovery - commissioned service,£330.00
03/12/2024,Inspire FM,Population Wellbeing,Family Hubs and Start for Life Programme,Public Health Services,£400.00
03/12/2024,British Dental Health Foundation,Population Wellbeing,Family Hubs and Start for Life Programme,Public Health Services - Perinatal mental health and parent-,"£3,936.75"
20/12/2024,JNB Publishing Limited,Population Wellbeing,Family Hubs and Start for Life Programme,Public Health Services - Perinatal mental health and parent-,"£2,162.50"
20/12/2024,JNB Publishing Limited,Population Wellbeing,Family Hubs and Start for Life Programme,Public Health Services - Perinatal mental health and parent-,"£2,787.50"
24/12/2024,Clear Channel UK Ltd,Population Wellbeing,Family Hubs and Start for Life Programme,Public Health Services - Perinatal mental health and parent-,"£3,090.00"
22/12/2024,Bartham Press,Population Wellbeing,Family Hubs and Start for Life Programme,Public Health Services - Publishing,£293.00
19/12/2024,NHS BLMK ICB,Population Wellbeing,CDOP,Infant Mortality Genetics,"£2,924.55"
10/12/2024,Cambridgeshire Community Services,Population Wellbeing,Health Visitors and FNP,HV & FNP,"£368,473.67"
16/12/2024,Bedfordshire Hospital NHS Foundation Trust,Population Wellbeing,Contraception,Integrated Sexual Health,"£920,690.00"
13/12/2024,Biscot Pharmacy,Population Wellbeing,GP Prescribing -Sexual Health- treatment,GP Sexual Health - pharmacy,£636.00
13/12/2024,Westbourne Pharmacy,Population Wellbeing,GP Prescribing -Sexual Health- treatment,GP Sexual Health - pharmacy,£425.00
13/12/2024,Westbourne Pharmacy,Population Wellbeing,GP Prescribing -Sexual Health- treatment,GP Sexual Health - pharmacy,£298.83
13/12/2024,AP Sampson Ltd,Population Wellbeing,GP Prescribing -Sexual Health- treatment,GP Sexual Health - pharmacy,"£1,061.00"
13/12/2024,AP Sampson Ltd,Population Wellbeing,GP Prescribing -Sexual Health- treatment,GP Sexual Health - pharmacy,£312.95
13/12/2024,Calverton Pharmacy,Population Wellbeing,GP Prescribing -Sexual Health- treatment,GP Sexual Health - pharmacy,£323.00
15/12/2024,Redacted (Doctors),Population Wellbeing,GP Prescribing - contraception,GP Sexual Health -  sp prescribing,£250.00
09/12/2024,Central London Community Healthcare NHS Trust,Population Wellbeing,Sexual Health - Out of Area,GUM Service OOA,"£1,811.00"
09/12/2024,Cambridgeshire Community Services,Population Wellbeing,Sexual Health - Out of Area,GUM Service OOA,£894.00
15/12/2024,Guys & St Thomas NHS Foundation Trust,Population Wellbeing,Sexual Health - Out of Area,GUM Service OOA,£825.55
19/12/2024,Central London Community Healthcare NHS Trust,Population Wellbeing,Sexual Health - Out of Area,GUM Service OOA,"£2,425.00"
15/12/2024,Agiito Limited,Other Corporate Accounts,Capita Accommodation Control,Total Paid,"£4,490.19"
15/12/2024,Agiito Limited,Other Corporate Accounts,Capita Accommodation Control,Total Paid,"£20,879.57"
15/12/2024,Agiito Limited,Other Corporate Accounts,Capita Accommodation Control,Total Paid,"£6,972.79"
16/12/2024,British Telecommunications Plc,Other Corporate Accounts,BT One Bill Control,Total Paid to BT for Telephone Bulk Bill,"£2,085.11"
16/12/2024,O2 (UK) Limited,Other Corporate Accounts,O2 Landline Invoice Recharge Control,Total Paid to O2 (Landlines),"£4,992.02"
22/12/2024,Total Gas & Power Ltd,Other Corporate Accounts,Gas Control,Total Paid,"£61,919.73"
22/12/2024,Total Gas & Power Ltd,Other Corporate Accounts,Gas Control,Total Paid,"£35,829.71"
22/12/2024,Castle Water Limited,Other Corporate Accounts,Water Charges Control,Total Paid,"£17,255.87"
22/12/2024,Castle Water Limited,Other Corporate Accounts,Water Charges Control,Total Paid,£371.28
16/12/2024,Vodafone Corporate Limited,Other Corporate Accounts,Vodafone Invoice Recharge Control,Bulk Bill Payment for Mobile Phones,"£1,046.07"
16/12/2024,Vodafone Corporate Limited,Other Corporate Accounts,Vodafone Invoice Recharge Control,Bulk Bill Payment for Mobile Phones,£415.99
16/12/2024,O2 (UK) Limited,Other Corporate Accounts,O2 Mobile Invoice Recharge Control,Total Paid,"£18,708.48"
12/12/2024,Pluxee UK Ltd,Other Corporate Accounts,Childcare Vouchers Control,Total Paid,£791.00
12/12/2024,Pluxee UK Ltd,Other Corporate Accounts,Childcare Vouchers Control,Total Paid,£923.00
06/12/2024,LUTON & KENT COMMERCIAL SERVICES LLP,Other Corporate Accounts,Connect2Luton Control,Total Paid to Connect2Luton,"£325,752.21"
13/12/2024,LUTON & KENT COMMERCIAL SERVICES LLP,Other Corporate Accounts,Connect2Luton Control,Total Paid to Connect2Luton,"£285,886.64"
20/12/2024,LUTON & KENT COMMERCIAL SERVICES LLP,Other Corporate Accounts,Connect2Luton Control,Total Paid to Connect2Luton,"£313,569.27"
27/12/2024,LUTON & KENT COMMERCIAL SERVICES LLP,Other Corporate Accounts,Connect2Luton Control,Total Paid to Connect2Luton,"£236,399.20"
28/12/2024,Crawford & Co Adjusters (UK) Ltd - LBC C/Accounta,Other Corporate Accounts,Imprest,Settlement Of Uninsured Losses,"£10,000.00"
19/12/2024,Insurance claims Accommodation Bureau,Other Corporate Accounts,Housing Property 2023/24,Settlement of Uninsured Losses,"£5,797.79"
19/12/2024,Insurance claims Accommodation Bureau,Other Corporate Accounts,Housing Property 2023/24,Settlement of Uninsured Losses,"£2,108.29"
19/12/2024,McLarens,Other Corporate Accounts,Housing Property 2023/24,Settlement of Uninsured Losses,"£1,000.00"
05/12/2024,Luton Learning & Community Partnership Ltd,Inclusive Economy,Cultural Trust Direct Charges,BSF Rent Charges,"£4,128.66"
22/12/2024,Bedford Borough Council,Population Wellbeing,AL Library Funding formerly LCST - Libra,Miscellaneous Expenses,"£37,139.00"
22/12/2024,Bedford Borough Council,Population Wellbeing,AL Library Funding formerly LCST - Libra,Miscellaneous Expenses,"£18,731.00"
26/12/2024,AVC WISE LTD,Population Wellbeing,Pay and Reward  Team,AVCWise invoices,"£2,880.22"
27/12/2024,AVC WISE LTD,Population Wellbeing,Pay and Reward  Team,AVCWise invoices,"£2,692.68"
16/12/2024,UK Independent Medical Services Limited,Population Wellbeing,Occupational Health,Exam Works Contract,"£4,689.00"
13/12/2024,Penna plc,Population Wellbeing,Recruitment Team,Staff Advertising,£881.00
17/12/2024,Penna plc,Population Wellbeing,Recruitment Team,Staff Advertising,"£1,232.36"
18/12/2024,Penna plc,Population Wellbeing,Recruitment Team,Staff Advertising,"£3,390.50"
18/12/2024,Penna plc,Population Wellbeing,Recruitment Team,Staff Advertising,"£1,136.00"
16/12/2024,Tokko Ltd,Population Wellbeing,Central Training Fund-Unallocated,Hire Of Non-LBC Premises (inc. Refreshments),£720.00
03/12/2024,Able Training,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£525.00
03/12/2024,Deafblind UK,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£250.00
03/12/2024,First Response Training & Consultancy Services Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£271.00
05/12/2024,Redacted Personal Payment,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£550.00
06/12/2024,First Response Training & Consultancy Services Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£271.00
06/12/2024,Herts Handling Training Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£600.00
09/12/2024,Richard Wills Training Associates Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,"£1,999.00"
09/12/2024,Kingsley Knight Law Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,"£1,989.20"
09/12/2024,Kingsley Knight Law Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£503.80
09/12/2024,BBIT Training Services limited,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£450.00
12/12/2024,First Response Training & Consultancy Services Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£271.00
12/12/2024,Kingsley Knight Law Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,"£1,095.00"
12/12/2024,Active Luton,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£620.00
13/12/2024,Active Luton,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£250.00
16/12/2024,First Response Training & Consultancy Services Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£271.00
17/12/2024,Active Luton,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£260.00
18/12/2024,Active Luton,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£615.00
18/12/2024,Active Luton,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£550.00
20/12/2024,Redacted Personal Payment,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,"£3,000.00"
22/12/2024,Herts Handling Training Ltd,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,"£1,400.00"
27/12/2024,BBIT Training Services limited,Population Wellbeing,Central Training Fund-Unallocated,External Trainers Fees,£450.00
27/12/2024,Thomas Associates,Population Wellbeing,Central Training Fund-Unallocated,ASYE Fund. - SfC Adults - see 6192,"£1,250.00"
27/12/2024,LeasePlan UK Ltd,Population Wellbeing,Goodson Eddie Mr,Costs,"£2,161.44"
22/12/2024,Bedford Borough Council,Chief Executive,Records and Archiving Service,SLA,"£18,716.00"
22/12/2024,Bedford Borough Council,Chief Executive,Records and Archiving Service,SLA,"£35,318.00"
22/12/2024,Redacted (Legal),Chief Executive,Legal Services (General),Text Books Reports & Journals,£425.00
02/12/2024,Lyreco Uk Ltd,Chief Executive,Legal Services (General),Stationery,£259.00
17/12/2024,Lyreco Uk Ltd,Chief Executive,Legal Services (General),Stationery,£259.00
17/12/2024,Shaw & Sons Ltd,Chief Executive,Legal Services (General),Stationery,£280.00
09/12/2024,Action Express,Chief Executive,Legal Services (General),Courier Services,£444.00
27/12/2024,Central Bedfordshire Council,Inclusive Economy,Coroner`s Service,Contribution To Costs,"£154,324.27"
27/12/2024,Central Bedfordshire Council,Inclusive Economy,Coroner`s Service,Contribution To Costs,"£81,265.66"
27/12/2024,Central Bedfordshire Council,Inclusive Economy,Coroner`s Service,Contribution To Costs,"£96,075.17"
19/12/2024,EC Energy Ltd T/A Energy Council,Inclusive Economy,Wholly Owned Housing Company,Services - Professional,£300.00
26/12/2024,Addleshaw Goddard LLP,Inclusive Economy,Management & Support,Relocation Of Premises,"£4,300.00"
02/12/2024,BSI British Standards Institution,Inclusive Economy,Traded Design Consultancy Service-School,Software Rental Licence Fee,"£1,961.00"
03/12/2024,NBS Enterprises Limited,Inclusive Economy,Traded Design Consultancy Service-School,Software Rental Licence Fee,"£9,720.00"
17/12/2024,Phoenix Software Ltd,Inclusive Economy,Traded Design Consultancy Service-School,Software Rental Licence Fee,£299.86
19/12/2024,Millstream Estate Services Ltd,Inclusive Economy,Design & Maintenance - Internal only,Services - Professional -1,£720.00
19/12/2024,Caxton Commercial Ltd,Inclusive Economy,"CapitaHse,2 Abbey Wood Rd,W.Malling Kent",Reactive Repair & Maintenance  - General,"£6,292.00"
03/12/2024,Tonbridge & Malling Borough Council,Inclusive Economy,"CapitaHse,2 Abbey Wood Rd,W.Malling Kent",Rates,"£23,615.00"
19/12/2024,Kings Hill Estate Management Company Ltd,Inclusive Economy,"CapitaHse,2 Abbey Wood Rd,W.Malling Kent",Service Charge,"£3,770.19"
22/12/2024,NPower Ltd,Inclusive Economy,"CapitaHse,2 Abbey Wood Rd,W.Malling Kent",Services - Professional fees,"£29,821.50"
09/12/2024,Alexander Harris & Associates LLP,Inclusive Economy,"Xchanging Offs,Walter Burke Way,Chatham",Services - Professional,"£22,500.00"
20/12/2024,Dacorum Borough Council,Inclusive Economy,"The Galleries,KD Tower,H-Hampstead, HP1",Rates,"£13,041.00"
02/12/2024,Ashford Borough Council,Inclusive Economy,"Eureka Park 100, Ashford.Kent",Rates,"£11,411.00"
03/12/2024,MEES Solutions Limited,Inclusive Economy,"Eureka Park 100, Ashford.Kent",Services - Professional,£840.00
24/12/2024,Impact IM Limited,Inclusive Economy,"Eureka Park 100, Ashford.Kent",Services - Professional,"£1,600.00"
04/12/2024,Swindon Borough Council,Inclusive Economy,"Arclite House, SWINDON",Rates,"£4,150.00"
04/12/2024,Swindon Borough Council,Inclusive Economy,"Arclite House, SWINDON",Rates,"£8,265.00"
04/12/2024,Cella UK PUT 1 c/o Kinght Frank LLP,Inclusive Economy,Preservation House,Rents,"£128,250.00"
24/12/2024,Aitken Retail Ltd,Inclusive Economy,"High St. 132-142, Gillingham",Services - Professional fees,"£5,000.00"
19/12/2024,E.on Next,Inclusive Economy,Sundry Properties - Pooled Budgets only,Electricity (use appropriate CC),£455.76
24/12/2024,The Sports Consultancy Limited,Inclusive Economy,Sundry Properties - Pooled Budgets only,Disposal Programme Advice (use specific property CC),"£2,217.78"
06/12/2024,David Nott & Sons Ltd,Inclusive Economy,Wigmore Pavilion (Shamrock Boxing),Reactive Repair & Maintenance  - General,"£4,856.75"
12/12/2024,MRER Ltd,Inclusive Economy,Wigmore Pavilion (Shamrock Boxing),Reactive Repair & Maintenance  - General,£720.00
23/12/2024,NPower Ltd,Inclusive Economy,E-Learning Centre,Electricity,£504.01
06/12/2024,David Nott & Sons Ltd,Inclusive Economy,Ex-HRA Shops,Reactive Repair & Maintenance  - General,£673.00
23/12/2024,NPower Ltd,Inclusive Economy,Ex-HRA Shops,Electricity,£253.52
23/12/2024,NPower Ltd,Inclusive Economy,Ex-HRA Shops,Electricity,£299.41
23/12/2024,NPower Ltd,Inclusive Economy,Ex-HRA Shops,Electricity,£327.65
23/12/2024,NPower Ltd,Inclusive Economy,Ex-HRA Shops,Electricity,£301.77
23/12/2024,NPower Ltd,Inclusive Economy,Ex-HRA Shops,Electricity,£311.17
