Transparency Report - December 2024,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Amount
03/12/2024,Local Government Association,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services - Projects for Luton 2040,£275.00
24/12/2024,Clear Channel UK Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£2,195.00"
22/12/2024,University of Bedfordshire,Chief Executive,TNLCF - UK FUND Grant,Services - Projects Partner Payments,"£7,312.50"
23/12/2024,Bedfordshire & Luton Community Foundation,Chief Executive,TNLCF - UK FUND Grant,Services - Projects Partner Payments,"£67,500.00"
23/12/2024,The Young Foundation,Chief Executive,TNLCF - UK FUND Grant,Services - Projects Partner Payments,"£35,187.50"
16/12/2024,Hope Church Trust,Chief Executive,Social Inclusion,Services - Projects,£250.00
17/12/2024,St Annes Church,Chief Executive,Social Inclusion,Services - Projects,£250.00
17/12/2024,St Hughs Lewsey Church,Chief Executive,Social Inclusion,Services - Projects,£250.00
24/12/2024,Panoramic Associates Limited,Population Wellbeing,Business Intelligence,Agency Staff,"£1,875.00"
27/12/2024,Panoramic Associates Limited,Population Wellbeing,Business Intelligence,Agency Staff,"£3,125.00"
27/12/2024,Panoramic Associates Limited,Population Wellbeing,Business Intelligence,Agency Staff,"£3,125.00"
19/12/2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Services - Projects,"£58,987.50"
19/12/2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Services - Projects,"£105,100.00"
19/12/2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Services - Projects,"£53,875.00"
19/12/2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Services - Projects,"£15,975.00"
19/12/2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Services - Projects,"£76,700.00"
06/12/2024,Socitm Ltd,Population Wellbeing,Digital Team - Web Mngment,Subscriptions,"£2,495.00"
03/12/2024,Gravitas Recruitment Group Ltd,Chief Executive,ICT,Consultancy Fees,"£1,787.50"
05/12/2024,Gravitas Recruitment Group Ltd,Chief Executive,ICT,Consultancy Fees,"£1,100.00"
03/12/2024,Phoenix Software Ltd,Chief Executive,ICT,Contract Payments Civica,"£26,111.70"
03/12/2024,Phoenix Software Ltd,Chief Executive,ICT,Contract Payments Civica,"£17,607.06"
05/12/2024,Toplead Consulting Ltd,Chief Executive,ICT,Contract Payments Civica,"£3,286.75"
09/12/2024,Datum Datacentres Limited,Chief Executive,ICT,Contract Payments Civica,"£5,000.00"
09/12/2024,Thrive Operations Ltd,Chief Executive,ICT,Contract Payments Civica,"£2,333.47"
16/12/2024,Gamma Network Solutions Limited,Chief Executive,ICT,Telephones,"£5,440.08"
03/12/2024,Phoenix Software Ltd,Chief Executive,ICT,Purchase Of Software,"£2,264.00"
17/12/2024,Phoenix Software Ltd,Chief Executive,ICT,Purchase Of Software,"£2,773.40"
03/12/2024,4net Technologies Ltd,Chief Executive,ICT,Software Maintenance & Licence Fees,"£107,990.83"
13/12/2024,Xerox UK Ltd,Chief Executive,Xerox Photocopiers,Photocopying Contract Direct Costs,"£10,584.32"
09/12/2024,Thriiver Limited,Chief Executive,ICT Equipment Holding Account,Purchases,£850.00
27/12/2024,Thriiver Limited,Chief Executive,ICT Equipment Holding Account,Purchases,£416.00
27/12/2024,Thriiver Limited,Chief Executive,ICT Equipment Holding Account,Purchases,£416.00
18/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,252.85"
18/12/2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,049.89"
