Transparency Report - October 2024,,,,,
Date,Suppliers,Department ,CC Description,Ledger Code,Value £
 24-Oct-2024,Team Netsol Ltd,Chief Executive,ICT,Contract Payments Civica,"£31,363.20"
 25-Oct-2024,Thrive Operations Ltd,Chief Executive,ICT,Contract Payments Civica,"£10,963.15"
 25-Oct-2024,Gamma Network Solutions Limited,Chief Executive,ICT,Telephones,"£5,363.08"
 24-Oct-2024,Phoenix Software Ltd,Chief Executive,ICT,Purchase Of Software,"£2,772.80"
 18-Oct-2024,Xerox UK Ltd,Chief Executive,Xerox Photocopiers,Photocopying Contract Direct Costs,"£10,338.41"
 10-Oct-2024,Alemba Ltd,Chief Executive,Future ICT Programme - Civica Insource,Services - Projects - Service Desk,"£6,120.00"
 23-Oct-2024,A Star Hospitality,Chief Executive,Future ICT Programme - Civica Insource,Services - Other,£250.00
 12-Oct-2024,Phoenix Software Ltd,Chief Executive,ICT Equipment Holding Account,Purchases,"£2,772.80"
 21-Oct-2024,Thriiver Limited,Chief Executive,ICT Equipment Holding Account,Purchases,£544.00
 21-Oct-2024,Thriiver Limited,Chief Executive,ICT Equipment Holding Account,Purchases,£544.00
 14-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 30-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 30-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 30-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 30-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 30-Oct-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 12-Oct-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,235.97"
 18-Oct-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,578.65"
 28-Oct-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£948.00
 18-Oct-2024,Jewson,Population Wellbeing,Property Services,Purchase Of Materials,£321.40
 30-Oct-2024,PPG Architectural Coatings UK Limited,Population Wellbeing,Property Services,Purchase Of Materials,£269.57
 07-Oct-2024,Conway Haulage Limited,Population Wellbeing,Property Architects,Sub-Contractors,"£5,600.00"
 07-Oct-2024,Conway Haulage Limited,Population Wellbeing,Property Architects,Sub-Contractors,"£5,600.00"
 07-Oct-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,210.00"
 07-Oct-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
 17-Oct-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
 17-Oct-2024,Renral Roofing Felt & Asphelt Specialist,Population Wellbeing,Property Architects,Sub-Contractors,"£6,150.00"
 21-Oct-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
 28-Oct-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£605.00
 23-Oct-2024,Browns Ladders & Ceilings Ltd,Population Wellbeing,Overheads,Staff Training,"£1,445.00"
 10-Oct-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
 10-Oct-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£817.00
 10-Oct-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
 10-Oct-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,050.00"
 10-Oct-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£854.00
 10-Oct-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£840.00
 21-Oct-2024,Certsure LLP (NICEIC),Population Wellbeing,Overheads,Other Expenses,£400.00
 21-Oct-2024,Certsure LLP (NICEIC),Population Wellbeing,Overheads,Other Expenses,£630.00
 21-Oct-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£806.25
 23-Oct-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£302.50
