Transparency Report - October 2024,,,,,
Date,Suppliers,Department ,CC Description,Ledger Code,Value £
 18-Oct-2024,Invision Services Limited,Children Families and Education Services,Virtual School - Pupil Premium Grant,Subscriptions,"£8,000.00"
 03-Oct-2024,Teaching Personnel,Children Families and Education Services,Virtual School - Pupil Premium Grant,Tuition - Teaching Personnel,£434.10
 04-Oct-2024,Teaching Personnel,Children Families and Education Services,Virtual School - Pupil Premium Grant,Tuition - Teaching Personnel,£347.42
 12-Oct-2024,Teaching Personnel,Children Families and Education Services,Virtual School - Pupil Premium Grant,Tuition - Teaching Personnel,£434.10
 24-Oct-2024,Teaching Personnel,Children Families and Education Services,Virtual School - Pupil Premium Grant,Tuition - Teaching Personnel,£434.10
 24-Oct-2024,Remedy Recruitment Ltd,Children Families and Education Services,Virtual School - Pupil Premium Grant,Tuition - Teaching Personnel,"£1,000.00"
 18-Oct-2024,Active Support Education Centre Ltd,Children Families and Education Services,Virtual School - Pupil Premium Grant,Tuition UASC (Active Support),£480.00
 11-Oct-2024,Redacted Personal Payment,Children Families and Education Services,FFC Pathfinder Grant,S17 Children`s Act 1989,£280.00
 09-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SENAT (LA),Miscellaneous Expenses - Interpreting,£300.00
 18-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,External Hire of Vehicles,£525.00
 14-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£250.55
 14-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£339.48
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£264.49
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£312.20
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£359.73
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£350.00
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£328.02
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£336.42
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£350.00
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£437.50
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£382.81
 28-Oct-2024,Redacted Personal Payment,Children Families and Education Services,SEN Transport,Home To School Parental Support,£308.88
 04-Oct-2024,Redacted Personal Payment,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 12-Oct-2024,Jyotir Psychology and Wellbeing Ltd,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 12-Oct-2024,Jyotir Psychology and Wellbeing Ltd,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 18-Oct-2024,Flowing you Ltd,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,100.00"
 23-Oct-2024,Flowing you Ltd,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£3,300.00"
 24-Oct-2024,Jyotir Psychology and Wellbeing Ltd,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 24-Oct-2024,Redacted Personal Payment,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 24-Oct-2024,Redacted Personal Payment,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 27-Oct-2024,Jyotir Psychology and Wellbeing Ltd,Children Families and Education Services,Education Psychological Service,General Supplies & Services,"£1,000.00"
 18-Oct-2024,Tokko Ltd,Children Families and Education Services,Virtual School - LA,PP+ post 16 pilot programme,£900.00
 29-Oct-2024,Complete Tuition Limited,Children Families and Education Services,Virtual School - LA,PP+ post 16 pilot programme,£426.55
 04-Oct-2024,Magic Words Therapy Limited,Children Families and Education Services,Top-Up Funding Maintained Pr - Pri - DSG,Other School Contingencies,"£6,450.07"
 12-Oct-2024,Magic Words Therapy Limited,Children Families and Education Services,Top-Up Funding Maintained Pr - Pri - DSG,Other School Contingencies,"£1,140.77"
 03-Oct-2024,Fresh Start in Education Ltd,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,£588.00
 03-Oct-2024,Fresh Start in Education Ltd,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£2,565.00"
 03-Oct-2024,Fresh Start in Education Ltd,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£3,942.50"
 04-Oct-2024,Grow Your Potential CIC,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£8,306.25"
 04-Oct-2024,SENDhelp Limited,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£7,820.28"
 11-Oct-2024,Strong Soul Fitness CIC,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£4,000.00"
 11-Oct-2024,Targeted Provision Ltd,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£1,650.00"
 11-Oct-2024,SENDhelp Limited,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£7,371.92"
 11-Oct-2024,Educ8 (Luton) Ltd,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£7,545.00"
 11-Oct-2024,Educ8 (Luton) Ltd,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£9,843.75"
 18-Oct-2024,Hopespring,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£1,591.20"
 23-Oct-2024,SENDhelp Limited,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£7,515.57"
 23-Oct-2024,SENDhelp Limited,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,"£8,455.94"
 24-Oct-2024,NT&AS,Children Families and Education Services,Top-Up Funding - Education Other Than At,Voluntary Bodies,£816.00
 01-Oct-2024,Cambian Autism Services Limited,Children Families and Education Services,Top-Up Funding Ind Prov - Special - DSG,Voluntary Bodies,"£30,954.33"
 27-Oct-2024,Macintyre,Children Families and Education Services,Top-Up Funding Ind Prov - Special - DSG,Voluntary Bodies,"£18,576.64"
 21-Oct-2024,Sense,Children Families and Education Services,Top-Up Funding Ind Prov - P16 - DSG,Voluntary Bodies,"£2,103.19"
 24-Oct-2024,Craegmoor Strathmore College Priory,Children Families and Education Services,Top-Up Funding Ind Prov - P16 - DSG,Voluntary Bodies,"£17,544.66"
 27-Oct-2024,Macintyre,Children Families and Education Services,Top-Up Funding Ind Prov - P16 - DSG,Voluntary Bodies,"£11,569.80"
 23-Oct-2024,Redacted Personal Payment,Children Families and Education Services,BIIP - Music Inclusion Luton Special Sch,Services - Professional - Freelance,"£2,700.00"
 07-Oct-2024,Cambridgeshire Community Services,Children Families and Education Services,BIIP - Speech and Language Therapist,Grants - Other Statutory Powers - BIIP,"£15,972.00"
 22-Oct-2024,NPower Ltd,Children Families and Education Services,Avenue Centre for Education,Electricity,"£2,623.98"
 22-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,"£2,600.65"
 22-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,"£2,610.24"
 22-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,"£4,110.89"
 22-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,"£3,613.98"
 22-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,"£3,525.97"
 23-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,£563.91
 23-Oct-2024,NPower Ltd,Children Families and Education Services,Energy Recharge Holding Account - DSG,Energy Costs,£706.10
 12-Oct-2024,Luton Learning & Community Partnership Ltd,Children Families and Education Services,Lea Manor - BSF - FM,Special Projects,"£61,430.54"
 12-Oct-2024,Luton Learning & Community Partnership Ltd,Children Families and Education Services,BSF - Ashcroft FM,BSF projects,"£69,293.68"
 12-Oct-2024,Luton Learning & Community Partnership Ltd,Children Families and Education Services,BSF - Lealands FM,BSF projects,"£58,710.58"
 07-Oct-2024,Avenue Centre For Education,Children Families and Education Services,Schools` Capital Allocation Control,Capital Allocations to Schools,"£7,695.62"
 07-Oct-2024,"MLC Partners limited c/o We Work, 123",Chief Executive,Corporate Accountancy,Agency Staff,"£3,052.50"
 07-Oct-2024,"MLC Partners limited c/o We Work, 123",Chief Executive,Corporate Accountancy,Agency Staff,"£3,052.50"
 07-Oct-2024,"MLC Partners limited c/o We Work, 123",Chief Executive,Corporate Accountancy,Agency Staff,"£3,052.50"
 11-Oct-2024,"MLC Partners limited c/o We Work, 123",Chief Executive,Corporate Accountancy,Agency Staff,"£3,052.50"
 25-Oct-2024,Morgan Law,Chief Executive,Corporate Accountancy,Agency Staff,"£3,418.20"
 25-Oct-2024,Morgan Law,Chief Executive,Corporate Accountancy,Agency Staff,"£3,076.38"
 25-Oct-2024,Morgan Law,Chief Executive,Corporate Accountancy,Agency Staff,"£3,418.20"
 30-Oct-2024,Morgan Law,Chief Executive,Corporate Accountancy,Agency Staff,"£3,418.20"
 09-Oct-2024,Hertfordshire County Council,Chief Executive,Shared Anti-Fraud Service,Services - Professional,"£64,874.75"
 18-Oct-2024,Grant Thornton UK LLP,Chief Executive,External Audit,External Audit Fees,"£115,317.00"
 18-Oct-2024,Grant Thornton UK LLP,Chief Executive,External Audit,External Audit Fees,"£230,634.00"
 07-Oct-2024,Datagraphic Group Limited,Population Wellbeing,HR & Payroll Transactions Team,Services - Professional,"£1,271.73"
 07-Oct-2024,Cycle Solutions (Cycle to Work) Limited,Population Wellbeing,Cycle To Work Scheme,Cycle to Work Scheme Invoices,"£2,613.49"
 09-Oct-2024,Redacted Personal Payment,Chief Executive,Financial Assessments 1 (HB),Other,£350.00
 12-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Printing,"£1,572.82"
 12-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Printing,"£2,535.48"
 23-Oct-2024,Penham Excel,Chief Executive,Billing and Recovery,Billing,£438.65
 23-Oct-2024,Penham Excel,Chief Executive,Billing and Recovery,Billing,£537.80
 23-Oct-2024,Penham Excel,Chief Executive,Billing and Recovery,Billing,£422.87
 31-Oct-2024,Redacted (Legal),Chief Executive,Billing and Recovery,Tracing & Insolvency,£965.00
 01-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Postages,"£1,794.16"
 02-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Postages,"£3,636.26"
 02-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Postages,"£1,847.79"
 12-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Postages,"£3,802.94"
 15-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Postages,"£3,020.61"
 23-Oct-2024,Financial Data Management Ltd,Chief Executive,Billing and Recovery,Postages,"£2,334.16"
 18-Oct-2024,CB Richard Ellis Limited,Chief Executive,Director Finance and Revenues & Benefits,Hire Of Premises,£312.00
 23-Oct-2024,Bartham Press,Chief Executive,Director Finance and Revenues & Benefits,Text Books Reports & Journals,£364.00
 03-Oct-2024,Goshen Multi services,Population Wellbeing,Housing Building Cleaning Services,Payments to Contractors,"£58,475.43"
 07-Oct-2024,Goshen Multi services,Population Wellbeing,Housing Building Cleaning Services,Payments to Contractors,£415.00
 07-Oct-2024,Goshen Multi services,Population Wellbeing,Housing Building Cleaning Services,Payments to Contractors,£415.00
 21-Oct-2024,Goshen Multi services,Population Wellbeing,Housing Building Cleaning Services,Payments to Contractors,£480.00
 22-Oct-2024,Goshen Multi services,Population Wellbeing,Housing Building Cleaning Services,Payments to Contractors,£452.00
 07-Oct-2024,Park Avenue,Population Wellbeing,General Private Sector Housing HOS,Agency Staff,"£3,240.00"
 12-Oct-2024,Park Avenue,Population Wellbeing,General Private Sector Housing HOS,Agency Staff,"£3,240.00"
 24-Oct-2024,Park Avenue,Population Wellbeing,General Private Sector Housing HOS,Agency Staff,"£7,290.00"
 22-Oct-2024,NPower Ltd,Population Wellbeing,Stopsley Mobile Home Park,Electricity,£290.88
 12-Oct-2024,Affinity Water Ltd,Population Wellbeing,Stopsley Mobile Home Park,Water Charges,"£4,204.07"
 18-Oct-2024,Redacted (Legal),Population Wellbeing,Strategy & Priv Sect Hsg,Legal Expenses,"£1,693.60"
 18-Oct-2024,David French Partnership,Population Wellbeing,Strategy & Priv Sect Hsg,Services - Studies & Surveys,"£1,250.00"
 14-Oct-2024,EMS Lifts ltd,Population Wellbeing,Strategy & Priv Sect Hsg - Grants,Maint of Disabled Facilities Grant,£394.21
 10-Oct-2024,County Security Services Ltd,Population Wellbeing,Homelessness,Repairs & Maintenance done by BTS,"£1,818.55"
 10-Oct-2024,County Security Services Ltd,Population Wellbeing,Homelessness,Repairs & Maintenance done by BTS,"£1,818.55"
 14-Oct-2024,Scutum East Ltd,Population Wellbeing,Homelessness,Repairs & Maintenance done by BTS,£291.85
 14-Oct-2024,Scutum East Ltd,Population Wellbeing,Homelessness,Repairs & Maintenance done by BTS,£291.85
 14-Oct-2024,Scutum East Ltd,Population Wellbeing,Homelessness,Repairs & Maintenance done by BTS,£291.85
 15-Oct-2024,Gyoury Self Partnership (St Albans) LLP,Population Wellbeing,Homelessness,Repairs & Maintenance done by BTS,£715.00
 07-Oct-2024,NPower Ltd,Population Wellbeing,Homelessness,Electricity,£430.51
 22-Oct-2024,NPower Ltd,Population Wellbeing,Homelessness,Electricity,"£1,768.00"
 12-Oct-2024,Thackeray Lettings Limited,Population Wellbeing,Homelessness,Water Charges,"£2,500.54"
 15-Oct-2024,5 Paper Buildings,Population Wellbeing,Homelessness,Legal Expenses,"£3,000.00"
 01-Oct-2024,Hampton by Hilton Luton Airport,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,260.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£975.00
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£975.00
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£900.00
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£850.00
 01-Oct-2024,Red,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,170.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£925.00
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£900.00
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,150.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,170.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,200.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,200.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,600.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,400.00"
 01-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,250.00"
 02-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,200.00"
 02-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 02-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 02-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 02-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,300.00"
 03-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,200.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£675.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£650.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£700.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£900.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£800.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£700.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,800.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,350.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£2,800.00"
 04-Oct-2024,T A W Aziz Property,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,460.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£790.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£600.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£800.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£700.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,250.00"
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£770.00
 04-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£850.00
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£265.66
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£265.66
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£687.83
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£265.66
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£332.60
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£431.96
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£265.66
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£431.96
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£511.96
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£265.66
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£598.26
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£598.26
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£953.49
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£930.86
 05-Oct-2024,Focus Furnishing,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£265.66
 05-Oct-2024,Joe Graham & Son Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£295.00
 05-Oct-2024,Joe Graham & Son Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£274.16
 05-Oct-2024,Joe Graham & Son Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£274.16
 05-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£700.00
 06-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,300.00"
 06-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,300.00"
 07-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,170.00"
 07-Oct-2024,Aztec Financial Services(Jesery) Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£297.55
 07-Oct-2024,SHELL ENERGY UK LIMITED,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£457.47
 07-Oct-2024,"Luton Community Housing Ltd t/a Squared, division",Population Wellbeing,Homelessness,Temporary Accommodation Costs,£459.75
 07-Oct-2024,Anacreonte Properties Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£11,160.00"
 10-Oct-2024,Goshen Multi services,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£415.00
 10-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£775.00
 10-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,400.00"
 11-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£950.00
 11-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£950.00
 11-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£950.00
 11-Oct-2024,VA Property Consultants,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£17,437.79"
 12-Oct-2024,UK Housing Group Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£2,250.00"
 12-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,400.00"
 12-Oct-2024,Anacreonte Properties Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£11,395.00"
 12-Oct-2024,Primrose Estates Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£25,615.00"
 12-Oct-2024,OYO Technology Hospitality,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£83,561.67"
 12-Oct-2024,Strathmore Investment Properties Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£2,170.00"
 12-Oct-2024,Bedfordshire Accomm Bureau Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,620.00"
 12-Oct-2024,The Chiltern Hotel,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£37,200.00"
 12-Oct-2024,My Estate,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,523.08"
 12-Oct-2024,T L Properties,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,938.00"
 12-Oct-2024,Hampton by Hilton Luton Airport,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£5,400.00"
 12-Oct-2024,Doree Bonner International / Kelerbay Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£330.00
 13-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,300.00"
 14-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£950.00
 14-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,350.00"
 14-Oct-2024,Langham House Investments,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£750.00
 15-Oct-2024,The Strathmore Hotel (luton) Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£36,481.00"
 15-Oct-2024,Doree Bonner International / Kelerbay Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£748.00
 15-Oct-2024,Doree Bonner International / Kelerbay Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£367.50
 15-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,300.00"
 15-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£925.00
 16-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,200.00"
 17-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£950.00
 17-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,400.00"
 18-Oct-2024,Red & Black Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£2,000.00"
 18-Oct-2024,Red & Black Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£4,140.00"
 18-Oct-2024,Simply Move Estate and Lettings Management Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£6,310.00"
 18-Oct-2024,My Estate,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£2,600.00"
 18-Oct-2024,Poplar Homes Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£6,450.00"
 18-Oct-2024,G.S land Limited,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£5,105.00"
 18-Oct-2024,Redacted Personal Payment,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 18-Oct-2024,Exclusive Housing Solutions Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£120,565.00"
 18-Oct-2024,Exclusive Housing Solutions Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£2,700.00"
 18-Oct-2024,Land Assist Investments Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,100.00"
 18-Oct-2024,Bercleys Properties Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,650.00"
 18-Oct-2024,Mears Housing Management Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,£960.00
 18-Oct-2024,Land Assist Investments Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£1,550.00"
 18-Oct-2024,Land Assist Investments Ltd,Population Wellbeing,Homelessness,Temporary Accommodation Costs,"£3,100.00"
