Transparency Report -  May 2024,,,,,
Date,Supplier,Department,CC Description,Ledger Code ,Value £
 17-May-2024,The Association of Electoral Administrators,Chief Executive,Democracy and Scrutiny,Staff Training,£312.50
 17-May-2024,Astech Consultants Limited,Chief Executive,Democracy and Scrutiny,Software Rental Licence Fee,"£6,525.00"
 17-May-2024,Astech Consultants Limited,Chief Executive,Democracy and Scrutiny,Software Rental Licence Fee,"£2,500.00"
 23-May-2024,Redacted( Legal),Chief Executive,Civic & Member Services,Member Development Programme,£280.00
 23-May-2024,Kasmiri Zaiqa Limited,Chief Executive,Civic & Member Services,Hospitality,£340.00
 13-May-2024,Financial Data Management Ltd,Chief Executive,Registration Of Electors,Internal Printing,£662.54
 08-May-2024,CCS Media Limited,Chief Executive,Registration Of Electors,IER Expenditure (see detail 6091 and 3510),"£2,572.05"
 08-May-2024,CCS Media Limited,Chief Executive,Registration Of Electors,IER Expenditure (see detail 6091 and 3510),"£2,572.05"
 10-May-2024,Shred Station,Chief Executive,Registration Of Electors,IER Expenditure (see detail 6091 and 3510),£306.67
 10-May-2024,Financial Data Management Ltd,Chief Executive,Registration Of Electors,Postages (see corr. income 6091 and 3430),£387.36
 15-May-2024,Beech Hill Methodist Church Society Stewards,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£400.00
 15-May-2024,Sells 7th Scout Group,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£280.00
 15-May-2024,Stopsley Parish Church,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£375.00
 15-May-2024,Dallow Development Trust Ltd,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£450.00
 15-May-2024,Redacted( Legal),Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£500.00
 15-May-2024,St Annes Church,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£497.00
 15-May-2024,St Francis Church,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£300.00
 13-May-2024,Shades Printing Limited,Chief Executive,PCC Election May 2024,Purchase Of Equipment - Equipment Costs,"£1,043.92"
 15-May-2024,Shaw & Sons Ltd,Chief Executive,PCC Election May 2024,Purchase Of Equipment - Equipment Costs,£317.50
 15-May-2024,Financial Data Management Ltd,Chief Executive,PCC Election May 2024,Purchase Of Equipment - Equipment Costs,"£1,338.95"
 17-May-2024,Youthscape Luton,Inclusive Economy,Community Safety Partnership,CS - General,£520.00
 01-May-2024,Lyreco Uk Ltd,Chief Executive,Director Citizen Engagement & Legal Serv,Stationery,£306.00
 08-May-2024,Community Interest Luton CIC,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£3,000.00"
 13-May-2024,Inspire FM,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£2,000.00"
 01-May-2024,Luton Carnival Arts Development Trust,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£36,000.00"
 08-May-2024,BT Events Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£6,650.00"
 09-May-2024,ACCDF,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£5,000.00"
 10-May-2024,Pride in Luton,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£5,000.00"
 24-May-2024,University of Bedfordshire Enterprises Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,£506.57
 13-May-2024,LCST Trading Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Projects - Heritage Spend,£588.00
 13-May-2024,Professional Development Group,Chief Executive,Social Justice Unit,Community Safety Expenditure,£288.00
 30-May-2024,Mary Seacole Housing Association Ltd,Chief Executive,Social Justice Unit,Community Safety Expenditure,"£2,000.00"
 03-May-2024,East of England LGA,Chief Executive,Social Justice Unit,New Homes Funded,"£15,000.00"
 15-May-2024,CACI Ltd,Population Wellbeing,Business Intelligence,Software Rental & Licence Fees,"£33,237.08"
 22-May-2024,Information Commissioner,Population Wellbeing,Business Intelligence,Data Protection,"£2,900.00"
 20-May-2024,East of England LGA,Population Wellbeing,Service Director Customer and Org Develo,Hire Of Premises,"£3,437.50"
 01-May-2024,Civica UK Ltd,Inclusive Economy,ICT,Contract Payments Civica,"£66,261.00"
 30-May-2024,Civica UK Ltd,Inclusive Economy,ICT,Maintenance Of Hardware,"£7,096.22"
 30-May-2024,Bytes Software Services Ltd,Inclusive Economy,ICT,Maintenance Of Hardware,"£1,067.77"
 30-May-2024,Civica UK Ltd,Inclusive Economy,ICT,Software Maintenance & Licence Fees,"£62,409.02"
 30-May-2024,Civica UK Ltd,Inclusive Economy,ICT,Software Maintenance & Licence Fees,"£3,735.79"
 24-May-2024,Bytes Software Services Ltd,Inclusive Economy,ICT,Software Maintenance,"£61,581.82"
 30-May-2024,Civica UK Ltd,Inclusive Economy,ICT,Software Maintenance,"£3,571.81"
 31-May-2024,Xerox UK Ltd,Inclusive Economy,Xerox Photocopiers,Photocopying Contract Direct Costs,"£2,889.00"
 31-May-2024,Xerox UK Ltd,Inclusive Economy,Xerox Photocopiers,Photocopying Contract Direct Costs,"£6,766.59"
 10-May-2024,Socitm Advisory Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Services - Professional - External Assurance,"£11,600.00"
 02-May-2024,Specialist Computer Centres Plc,Inclusive Economy,ICT Equipment Holding Account,Purchases,£633.30
 03-May-2024,Probrand Limited,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£4,913.00"
 08-May-2024,Probrand Limited,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£2,806.11"
 30-May-2024,Civica UK Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£283.48
 03-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Miscellaneous Expenses,£925.00
 03-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Miscellaneous Expenses,£925.00
 17-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Miscellaneous Expenses,£740.00
 17-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Miscellaneous Expenses,£737.50
 09-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 09-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 20-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 22-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Sub-Contractors,£430.00
 02-May-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,042.95"
 01-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£405.00
 30-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£456.00
 30-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£450.00
 30-May-2024,T & L Flooring Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£471.00
 30-May-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Property Services,Purchase Of Materials,£430.34
 09-May-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 09-May-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 09-May-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£420.00
 16-May-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 03-May-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,"£2,080.00"
 03-May-2024,Gas & Environmental Services Limited,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,"£1,680.00"
 03-May-2024,3B Training,Population Wellbeing,Overheads,Staff Training,£695.00
 17-May-2024,Pennington Choices,Population Wellbeing,Overheads,Staff Training,"£4,050.00"
 17-May-2024,Marsh Farm Futures,Population Wellbeing,Overheads,Staff Training,£858.00
 30-May-2024,UK Locksmiths Association,Population Wellbeing,Overheads,Staff Training,"£2,238.00"
 30-May-2024,UK Locksmiths Association,Population Wellbeing,Overheads,Staff Training,"£2,984.00"
 03-May-2024,Seraph Agency Ltd,Population Wellbeing,Overheads,Marketing,"£1,800.00"
 03-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£750.00
 03-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£634.25
 03-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£750.00
 03-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£698.75
 10-May-2024,Glynns Skip,Population Wellbeing,Overheads,Other Expenses,£342.20
 17-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£600.00
 17-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£720.25
 17-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£655.75
 17-May-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£610.00
 17-May-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£924.00
 17-May-2024,The Oyster Partnership Ltd,Population Wellbeing,Overheads,Other Expenses,£833.00
 17-May-2024,Certsure LLP (NICEIC),Population Wellbeing,Overheads,Other Expenses,£276.75
