Transparency Report March 2024,,,,,
Date,Supplier,Dept,CC Description,Ledger Code,Value £
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£1,000.00"
 11-Mar-2024,Dycol Ltd,Population Wellbeing,Property Services,Sub-Contractors,"£3,050.00"
 04-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£2,520.00"
 04-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£3,250.00"
 06-Mar-2024,Conway Haulage Limited,Population Wellbeing,Property Architects,Sub-Contractors,"£18,430.00"
 18-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 18-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£975.00
 18-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,"£1,575.00"
 18-Mar-2024,K F Horn Building Contractors Ltd,Population Wellbeing,Property Architects,Sub-Contractors,£975.00
 01-Mar-2024,Logic4Training,Population Wellbeing,Planned Contracts - Central Heating,Direct Purchases - Supplies,£450.00
 18-Mar-2024,3B Training,Population Wellbeing,Overheads,Staff Training,"£9,475.00"
 20-Mar-2024,Accountancy Learning Ltd,Population Wellbeing,Overheads,Staff Training,£600.58
 20-Mar-2024,Accountancy Learning Ltd,Population Wellbeing,Overheads,Staff Training,£912.02
 07-Mar-2024,Certsure LLP (NICEIC),Population Wellbeing,Overheads,Other Expenses,£575.00
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£750.00
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,£848.41
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,487.50"
 07-Mar-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Overheads,Other Expenses,"£1,110.00"
