Transparency Report March 2024,,,,,
Date,Supplier,Dept,CC Description,Ledger Code,Value £
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Wardown House (Museum),Mechanical Incl.Heating & Plumbing,£612.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Wardown House (Museum),Service Contracts,£600.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Wardown House (Museum),Service Contracts,£955.02
 06-Mar-2024,David Nott & Sons Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,General Building,£370.00
 06-Mar-2024,David Nott & Sons Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,General Building,"£1,281.00"
 27-Mar-2024,MRER Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,General Building,£560.00
 27-Mar-2024,Quantec Consultants Limited,Inclusive Economy,The Vale Cemetery & Crematorium,Electrical Works,"£1,888.60"
 06-Mar-2024,Metro Rod Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Mechanical Incl.Heating & Plumbing,£434.40
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Mechanical Incl.Heating & Plumbing,£398.09
 27-Mar-2024,Metro Rod Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Mechanical Incl.Heating & Plumbing,£330.00
 06-Mar-2024,David Nott & Sons Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Service Contracts,£336.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Service Contracts,£250.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Service Contracts,£585.00
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Service Contracts,£987.45
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Service Contracts,£400.00
 15-Mar-2024,Arena Security Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Service Contracts,£260.00
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Maintenance Auto Doors Shutters Barriers,£295.00
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Maintenance Auto Doors Shutters Barriers,£971.45
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Maintenance Auto Doors Shutters Barriers,£375.00
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Maintenance Auto Doors Shutters Barriers,"£1,930.55"
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Maintenance Auto Doors Shutters Barriers,£460.00
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,The Vale Cemetery & Crematorium,Maintenance Auto Doors Shutters Barriers,£887.50
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,LowerSportsGrdWardownPark Public Toilets,Service Contracts,£265.00
 13-Mar-2024,ADT Fire & Security plc,Inclusive Economy,Surrey St.&Avenue/Cutenhoe L.Village CCL,Mechanical Incl.Heating & Plumbing,£266.24
 06-Mar-2024,T F Tull Ltd,Inclusive Economy,Surrey St.&Avenue/Cutenhoe L.Village CCL,Service Contracts,£500.00
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Surrey St.&Avenue/Cutenhoe L.Village CCL,Service Contracts,£375.00
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Surrey St.&Avenue/Cutenhoe L.Village CCL,Maintenance Auto Doors Shutters Barriers,"£1,763.40"
 20-Mar-2024,NPower Ltd,Inclusive Economy,Surrey St.&Avenue/Cutenhoe L.Village CCL,Electricity,£425.74
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Jill Jenkins Court,Mechanical Incl.Heating & Plumbing,£431.09
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Colwell Court,Mechanical Incl.Heating & Plumbing,"£2,270.89"
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Manor Centre (SC2214),Mechanical Incl.Heating & Plumbing,£506.25
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Manor Centre (SC2214),Mechanical Incl.Heating & Plumbing,£497.88
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Manor Centre (SC2214),Service Contracts,£270.00
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Manor Centre (SC2214),Maintenance Auto Doors Shutters Barriers,£619.00
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Manor Centre (SC2214),Maintenance Auto Doors Shutters Barriers,£297.00
 06-Mar-2024,David Nott & Sons Ltd,Inclusive Economy,Fairway/Resource Centre(111 London Rd),General Building,"£9,927.50"
 15-Mar-2024,J Sapsworth (Glaz & Decor) Ltd,Inclusive Economy,Fairway/Resource Centre(111 London Rd),General Building,£395.00
 13-Mar-2024,Quantec Consultants Limited,Inclusive Economy,Fairway/Resource Centre(111 London Rd),Electrical Works,£814.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Fairway/Resource Centre(111 London Rd),Service Contracts,£400.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Fairway/Resource Centre(111 London Rd),Service Contracts,£735.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Fairway/Resource Centre(111 London Rd),Service Contracts,£732.76
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Lea Manor Community Choices,Mechanical Incl.Heating & Plumbing,£329.33
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Lea Manor Community Choices,Maintenance Auto Doors Shutters Barriers,£837.70
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Lea Manor Community Choices,Maintenance Auto Doors Shutters Barriers,£364.00
 06-Mar-2024,Affinity Water Ltd,Inclusive Economy,96 Tomlinson Ave replaced by NP5768,Water Charges,£529.10
 06-Mar-2024,Drax Energy Solutions Limited,Inclusive Economy,96 Tomlinson Ave replaced by NP5768,Water Charges,£286.10
 13-Mar-2024,ADT Fire & Security plc,Inclusive Economy,Lewsey Learning Centre-Tomlinson Avenue,Service Contracts,£390.97
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Lewsey Learning Centre-Tomlinson Avenue,Service Contracts,"£3,468.31"
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Lewsey Learning Centre-Tomlinson Avenue,Maintenance Auto Doors Shutters Barriers,£351.50
 20-Mar-2024,NPower Ltd,Inclusive Economy,Lewsey Learning Centre-Tomlinson Avenue,Electricity,£990.16
 07-Mar-2024,Virgin Media Business,Inclusive Economy,Lewsey Learning Centre-Tomlinson Avenue,Telephones,£454.04
 07-Mar-2024,Virgin Media Business,Inclusive Economy,Lewsey Learning Centre-Tomlinson Avenue,Telephones,£450.35
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Lewsey Sports Park (Former Rileys),Mechanical Incl.Heating & Plumbing,£300.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Lewsey Sports Park (Former Rileys),Service Contracts,£387.63
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Lewsey Sports Park (Former Rileys),Maintenance Auto Doors Shutters Barriers,£306.00
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Lewsey Sports Park (Former Rileys),Maintenance Auto Doors Shutters Barriers,"£3,711.50"
 06-Mar-2024,Metro Rod Ltd,Inclusive Economy,Hart Hill Adventure Playground,Mechanical Incl.Heating & Plumbing,£550.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Hart Hill Adventure Playground,Service Contracts,£670.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Wardown Park - Bowling Pavilion,Service Contracts,£250.00
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Wardown Park - Bowling Pavilion,Service Contracts,£265.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Wardown Park - Bowling Pavilion,Service Contracts,£804.06
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Wardown Park - West Lodge New Bdfrd Road,Reactive R & M Heating,£300.00
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Wardown Park - West Lodge New Bdfrd Road,Reactive R & M Heating,£361.93
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Wardown Park - Lower Cricket Pavilion,Service Contracts,£760.55
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stockwood Park - Football Pavilion,Service Contracts,£250.00
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stockwood Park - Football Pavilion,Service Contracts,£560.00
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stockwood Park - Football Pavilion,Maint`nce Auto Doors Shutters Barriers,£696.00
 27-Mar-2024,MRER Ltd,Inclusive Economy,Stockwood Park - Athletics Track & Pavil,Reactive Repair & Maintenance  - General,£938.55
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Stockwood Park - Athletics Track & Pavil,Reactive R & M Heating,£269.97
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Stockwood Park - Athletics Track & Pavil,Service Contracts,£476.23
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stockwood Park - Athletics Track & Pavil,Maint`nce Auto Doors Shutters Barriers,£421.56
 06-Mar-2024,David Nott & Sons Ltd,Inclusive Economy,Stockwood Park - Discovery Centre,Reactive Repair & Maintenance  - General,£317.29
 13-Mar-2024,Cams Fire & Security Plc,Inclusive Economy,Stockwood Park - Discovery Centre,Reactive R & M Heating,"£2,776.96"
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stockwood Park - Discovery Centre,Service Contracts,£285.00
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stockwood Park - Discovery Centre,Service Contracts,£360.00
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stockwood Park - Discovery Centre,Service Contracts,£785.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Stockwood Park - Discovery Centre,Service Contracts,£908.60
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Stockwood Park - Discovery Centre,Service Contracts,£858.60
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stockwood Park - Golf Pavilion & Course,Service Contracts,£585.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Stockwood Park - Golf Pavilion & Course,Service Contracts,£395.13
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stopsley Respite,Service Contracts,£250.00
 13-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stopsley Respite,Service Contracts,£599.45
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stopsley Respite,Service Contracts,£390.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Stopsley Respite,Service Contracts,"£1,129.66"
 06-Mar-2024,David Nott & Sons Ltd,Inclusive Economy,Stopsley Day Centre,Reactive Repair & Maintenance  - General,£280.00
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Stopsley Day Centre,Reactive R & M Heating,£349.48
 13-Mar-2024,Heattreat Ltd,Inclusive Economy,Stopsley Day Centre,Reactive R & M Heating,£369.76
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,Stopsley Day Centre,Service Contracts,£685.00
 15-Mar-2024,Churches Fire Security,Inclusive Economy,Stopsley Day Centre,Service Contracts,"£1,312.68"
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stopsley Day Centre,Maint`nce Auto Doors Shutters Barriers,£536.00
 06-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stopsley Day Centre,Maint`nce Auto Doors Shutters Barriers,£847.65
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stopsley Day Centre,Maint`nce Auto Doors Shutters Barriers,"£2,127.20"
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stopsley Day Centre,Maint`nce Auto Doors Shutters Barriers,£282.25
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stopsley Day Centre,Maint`nce Auto Doors Shutters Barriers,£310.10
 15-Mar-2024,Formula Aluminium Systems Ltd,Inclusive Economy,Stopsley Day Centre,Maint`nce Auto Doors Shutters Barriers,£328.00
 05-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Maintenance Of Equipment,"£24,816.02"
 05-Mar-2024,Auckland Manufacturing Ltd t/a PGM Signs,Inclusive Economy,Town Centre CCTV,Replacement of Special Equipment,£904.50
 11-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Replacement of Special Equipment,£600.00
 05-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Services-Monitoring Costs,"£20,252.75"
 06-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Services-Monitoring Costs,£424.38
 27-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Services-Monitoring Costs,"£45,208.09"
 14-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Services - Building Control Access,"£1,050.00"
 19-Mar-2024,Reliance High-Tech Ltd,Inclusive Economy,Town Centre CCTV,Services - Building Control Access,£360.00
 11-Mar-2024,Churchill Contract Services,Inclusive Economy,Building Cleaning Contract,Payments to Contractors,"£23,947.77"
 13-Mar-2024,Accuro Environmental,Inclusive Economy,Building Cleaning Contract,Payments to Contractors,"£42,674.37"
 14-Mar-2024,Accuro Environmental,Inclusive Economy,Building Cleaning Contract,Payments to Contractors,"£4,008.49"
 27-Mar-2024,Churchill Contract Services,Inclusive Economy,Building Cleaning Contract,Payments to Contractors,"£79,413.59"
 18-Mar-2024,Churchill Contract Services,Inclusive Economy,Building Cleaning Contract,Variations,"£2,731.21"
 21-Mar-2024,Churchill Contract Services,Inclusive Economy,Building Cleaning Contract,Variations,£272.88
 14-Mar-2024,Zebra Training Services Ltd,Population Wellbeing,Service Shop - Infrastructure Costs,Staff Training,£890.00
 21-Mar-2024,LUTON & KENT COMMERCIAL SERVICES LLP,Population Wellbeing,Household Support Fund Apr 2023 to Mar 2,Agency Staff,"£2,890.00"
 07-Mar-2024,HUGGG,Population Wellbeing,Household Support Fund Apr 2023 to Mar 2,Grants - Other Statutory Powers,"£355,000.00"
 14-Mar-2024,HUGGG,Population Wellbeing,Household Support Fund Apr 2023 to Mar 2,Grants - HUGGG Admin Fees,"£1,352.50"
 06-Mar-2024,Constant Cooling Limited,Inclusive Economy,NHS- Arndale Hse R & M (to invoice),Reactive Repairs & Maintenance,"£5,871.50"
 15-Mar-2024,SMS Environmental Ltd,Inclusive Economy,NHS- Arndale Hse R & M (to invoice),Reactive Repairs & Maintenance,£531.24
 06-Mar-2024,ENTServ UK Limited,Inclusive Economy,Economic Growth & Investment,Purchase Of Software,"£7,970.70"
 27-Mar-2024,Public Perspectives Ltd,Inclusive Economy,Business and Economy Team,Business Support Fund,"£3,500.00"
 06-Mar-2024,Bartham Press,Inclusive Economy,E8: Campaigns to encourage exploring of,Services - Projects,£925.00
 14-Mar-2024,LCST Trading Ltd,Inclusive Economy,E8: Campaigns to encourage exploring of,Services - Projects,£336.50
 27-Mar-2024,Mills Fencing Ltd,Inclusive Economy,E8: Campaigns to encourage exploring of,Services - Projects,£560.00
 06-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,£957.00
 06-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,£421.00
 06-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,£777.50
 06-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,£360.00
 07-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,"£3,020.00"
 18-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,£678.00
 18-Mar-2024,JNB Publishing Limited,Inclusive Economy,E25: Bid for & host international busine,Services - Projects,"£4,432.50"
 05-Mar-2024,Auckland Manufacturing Ltd t/a PGM Signs,Inclusive Economy,Enforcement,Purchase Of Equipment,£503.20
 11-Mar-2024,Parking and Secure Documents,Inclusive Economy,Enforcement,Purchase Of Equipment,£787.00
 14-Mar-2024,Auckland Manufacturing Ltd t/a PGM Signs,Inclusive Economy,Enforcement,Purchase Of Equipment,£285.00
 20-Mar-2024,Yunex Limited,Inclusive Economy,Enforcement,Maintenance Of Equipment,"£4,050.00"
 14-Mar-2024,ASM Auto Recycling Ltd,Inclusive Economy,Enforcement,Vehicle Removal & Storage costs,"£1,500.00"
 06-Mar-2024,Traffic Enforcement Systems Limited,Inclusive Economy,On-Street Parking - Inner Zone,CCTV Enforcement Vehicle,£989.00
 07-Mar-2024,O2 (UK) Limited,Inclusive Economy,On-Street Parking - Inner Zone,Maintenance of Pay & Display Machines,£434.74
 06-Mar-2024,PIVOTAL RMS Cash Solutions Limited,Inclusive Economy,On-Street Parking - Inner Zone,Cash Collection,£324.37
 08-Mar-2024,PIVOTAL RMS Cash Solutions Limited,Inclusive Economy,On-Street Parking - Inner Zone,Cash Collection,£324.37
 08-Mar-2024,National World Publishing Limited,Inclusive Economy,Off Street Parking Overhead Account,Maintenance Of P&D Machines,"£6,851.34"
 14-Mar-2024,National World Publishing Limited,Inclusive Economy,Off Street Parking Overhead Account,Maintenance Of P&D Machines,"£1,947.93"
 21-Mar-2024,Mayors Charity Fund,Inclusive Economy,Off Street Parking Overhead Account,Charitable Donations,"£1,989.69"
 21-Mar-2024,Mayors Charity Fund,Inclusive Economy,Off Street Parking Overhead Account,Charitable Donations,"£11,669.34"
 21-Mar-2024,Community Interest Luton CIC,Inclusive Economy,Off Street Parking Overhead Account,RingGo Parking Charges,"£10,000.00"
 27-Mar-2024,Xerox UK Ltd,Inclusive Economy,Parking Service Support Services,Photocopying and Network Printing,"£7,790.54"
 14-Mar-2024,Imperial Civil Enforcement Solutions Ltd,Inclusive Economy,Parking Service Support Services,Software Rental Licence Fee,"£5,421.00"
 18-Mar-2024,Imperial Civil Enforcement Solutions Ltd,Inclusive Economy,Parking Service Support Services,Software Rental Licence Fee,"£4,336.80"
 21-Mar-2024,Allied Publicity Services (Manchester) Limited t/a,Inclusive Economy,Blue Badge Scheme,Printing,£594.34
 26-Mar-2024,4way Consulting Ltd,Inclusive Economy,Urban Traffic Control Centre,Traffic Signal Maintenance,"£3,190.00"
 01-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Traffic Signal Maintenance,"£9,237.52"
 04-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Traffic Signal Maintenance,£516.48
 04-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Traffic Signal Maintenance,£516.48
 21-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Traffic Signal Maintenance,"£1,331.70"
 01-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Irrecoverable Damage,£807.81
 01-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Irrecoverable Damage,£844.28
 21-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Irrecoverable Damage,"£2,394.05"
 21-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Irrecoverable Damage,£852.49
 21-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Irrecoverable Damage,£763.04
 21-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Management of CBC Traffic Signals,Irrecoverable Damage,£338.82
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Support to Public Transport,CF Smart Cards,"£4,296.52"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Support to Public Transport,CF Smart Cards,"£17,405.08"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Support to Public Transport,CF Smart Cards,"£57,227.29"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Support to Public Transport,CF Smart Cards,£548.22
 22-Mar-2024,Euclid Limited,Inclusive Economy,Support to Public Transport,CF Smart Cards,"£2,412.82"
 21-Mar-2024,Grant Palmer Limited,Inclusive Economy,Support to Public Transport,Public Trnsp Sup - Bus Services,"£4,865.70"
 25-Mar-2024,Grant Palmer Limited,Inclusive Economy,Support to Public Transport,Public Trnsp Sup - Bus Services,"£4,865.70"
 21-Mar-2024,Public Transport Consortium,Inclusive Economy,Support to Public Transport,Public Trnsp Supp - Travel Wise Campaign,£475.00
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Rechargeables,Street Lighting Rechargeables,"£1,311.64"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Rechargeables,Highways Rechargeables,"£2,387.41"
 26-Mar-2024,Maydencroft Limited,Inclusive Economy,Rechargeables,Highways Rechargeables,£535.00
 21-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Rechargeables,Traffic Signals Rechargeables,£363.50
 01-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Traffic Signal Maintenance,Traffic Signal Maintenance,"£8,050.91"
 04-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Traffic Signal Maintenance,Traffic Signal Maintenance,"£3,040.05"
 06-Mar-2024,Findlay Irvine Ltd,Inclusive Economy,Winter Routine Maintenance,Winter Routine Maintenance,"£4,950.00"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Winter Routine Maintenance,Winter Routine Maintenance,"£17,941.47"
 20-Mar-2024,Boundary Marketing,Inclusive Economy,Winter Routine Maintenance,Winter Routine Maintenance,"£4,950.00"
 06-Mar-2024,Brickstone Renovation Ltd,Inclusive Economy,Bridges (Other Roads),Maintenance Highways Structures,"£1,482.95"
 01-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Lighting,Maintenance Illuminated Signs & Bollards,£485.86
 08-Mar-2024,SWARCO UK & IRELAND LTD,Inclusive Economy,Lighting,Maintenance Illuminated Signs & Bollards,"£2,203.91"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Lighting,Maintenance Illuminated Signs & Bollards,"£7,079.74"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Lighting,Road Lighting Maintenance,"£9,737.57"
 20-Mar-2024,NPower Ltd,Inclusive Economy,Lighting,Electricity,"£122,511.03"
 27-Mar-2024,Constant & Co (Bedford) Ltd,Inclusive Economy,Routine Repairs,Travellers Eviction,£986.00
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Fences & Barriers,"£5,652.22"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Fences & Barriers,£431.88
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Fences & Barriers,"£1,819.91"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Fences & Barriers,"£2,683.91"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Drainage Other,"£3,811.27"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Drainage Other,"£1,142.96"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Drainage Other,"£1,144.12"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Drainage Other,"£2,950.12"
 01-Mar-2024,National World Publishing Limited,Inclusive Economy,Routine Repairs,Footways & Kerbs,£626.98
 01-Mar-2024,National World Publishing Limited,Inclusive Economy,Routine Repairs,Footways & Kerbs,£850.90
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Footways & Kerbs,"£11,609.89"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Footways & Kerbs,"£1,272.87"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Footways & Kerbs,"£19,709.07"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Footways & Kerbs,"£7,939.47"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Patching & Minor Repairs,"£1,021.13"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Patching & Minor Repairs,"£7,273.17"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Patching & Minor Repairs,"£3,775.13"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Patching & Minor Repairs,"£7,246.75"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Patching & Minor Repairs,£271.01
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Grass Verge Maintenance,"£1,940.93"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Grass Verge Maintenance,£726.78
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Grass Verge Maintenance,"£4,269.66"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Hedges & Trees Maintenance,£749.77
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Maintenance Road Signs Non Illuminated,"£2,738.06"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Routine Repairs,Maintenance Road Signs Non Illuminated,£370.83
 27-Mar-2024,Symology Ltd,Inclusive Economy,Structural Maintenance (Assessments),Carriageway Assessments,"£1,600.00"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Busway Maintenance,General R & M Bus Shelters,"£21,708.80"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Busway Maintenance,Carriageway Works,"£12,528.21"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Busway Maintenance,Footways & Kerbs,"£3,953.88"
 18-Mar-2024,Electra Fit Ltd,Inclusive Economy,Busway Maintenance,Vehicle Removal,"£1,292.50"
 18-Mar-2024,Volker Highways Crowley Ltd,Inclusive Economy,Vehicle Crossovers,Footways & Kerbs,"£6,998.84"
 21-Mar-2024,Systra Ltd,Inclusive Economy,BSIP - Passenger Voice and Customer Char,Design Work and Consultancy Fees,"£18,923.19"
 22-Mar-2024,Systra Ltd,Inclusive Economy,BSIP - Passenger Voice and Customer Char,Design Work and Consultancy Fees,"£3,145.50"
 27-Mar-2024,Systra Ltd,Inclusive Economy,BSIP - Passenger Voice and Customer Char,Design Work and Consultancy Fees,"£8,790.50"
 21-Mar-2024,Systra Ltd,Inclusive Economy,BSIP - EP & Franchising Delivery: LTA Co,Consultancy Fees,"£18,724.90"
 22-Mar-2024,Systra Ltd,Inclusive Economy,BSIP - EP & Franchising Delivery: LTA Co,Consultancy Fees,"£31,714.35"
 01-Mar-2024,National World Publishing Limited,Inclusive Economy,Traffic Regulation Orders,General Advertising,£582.19
 01-Mar-2024,National World Publishing Limited,Inclusive Economy,Traffic Regulation Orders,General Advertising,£716.54
 01-Mar-2024,National World Publishing Limited,Inclusive Economy,Traffic Regulation Orders,General Advertising,£626.98
 01-Mar-2024,National World Publishing Limited,Inclusive Economy,Traffic Regulation Orders,General Advertising,£626.98
