Transparency Report September 2024,,,,,
Date,Suppliers,Department ,CC Description,Ledger Code,Value £
 26-Sep-2024,lyreco Uk Ltd,Chief Executive,Registration Of Electors,Internal Printing,£486.76
 03-Sep-2024,St Josephs Parish Centre,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£320.00
 03-Sep-2024,The Beacon Project,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£300.00
 03-Sep-2024,St Josephs Parish Centre,Chief Executive,General Election 2024,F07 Accommodation costs (permanent),£400.00
 03-Sep-2024,The Olive Tree Church,Chief Executive,General Election 2024,F07 Accommodation costs (permanent),£600.00
 03-Sep-2024,The Beacon Project,Chief Executive,General Election 2024,F07 Accommodation costs (permanent),£300.00
 26-Sep-2024,Royal Mail Group Ltd,Chief Executive,General Election 2024,G06 Postage - Inward,"£3,497.73"
 26-Sep-2024,Royal Mail Retail,Chief Executive,General Election 2024,G06 Postage - Inward,£928.35
 26-Sep-2024,Royal Mail Group Ltd,Chief Executive,General Election 2024,G06 Postage - Inward,"£2,666.58"
 26-Sep-2024,Bartham Press,Chief Executive,Communications,Marketing & P.R. Initiatives,£410.00
 26-Sep-2024,Bartham Press,Chief Executive,Communications,Marketing & P.R. Initiatives,£297.00
 26-Sep-2024,Bartham Press,Chief Executive,Communications,Marketing & P.R. Initiatives,"£1,086.00"
 13-Sep-2024,Matrix Chambers Ltd,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£6,014.70"
 16-Sep-2024,Matrix Chambers Ltd,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£13,000.00"
 26-Sep-2024,Bay Media Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£1,045.00"
 02-Sep-2024,A Childrens Story,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Projects - Heritage Spend,"£1,200.00"
 03-Sep-2024,A Childrens Story,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Projects - Heritage Spend,"£1,200.00"
 25-Sep-2024,Womens Aid in Luton,Chief Executive,Social Justice Unit,Community Safety Expenditure,"£4,000.00"
 26-Sep-2024,The Young Foundation,Chief Executive,TNLCF - UK FUND Connecting Communities G,Services - Projects Partner Payments,"£5,187.50"
 26-Sep-2024,University of Bedfordshire Enterprises Ltd,Chief Executive,TNLCF - UK FUND Connecting Communities G,Services - Projects Partner Payments,"£7,312.50"
 26-Sep-2024,The Young Foundation,Chief Executive,TNLCF - UK FUND Connecting Communities G,Services - Projects Partner Payments,"£30,000.00"
 26-Sep-2024,Bedfordshire & Luton Community Foundation,Chief Executive,TNLCF - UK FUND Connecting Communities G,Services - Projects Partner Payments,"£67,500.00"
 02-Sep-2024,Civica UK Ltd,Population Wellbeing,Business Intelligence,Software Rental & Licence Fees,£680.37
 13-Sep-2024,Elected Technologies,Population Wellbeing,Business Intelligence,Software Rental & Licence Fees,"£26,750.00"
 13-Sep-2024,Human Engine Limited,Population Wellbeing,Strategic Change Team (ex LEX),Services - Projects,"£95,525.00"
 19-Sep-2024,Frontline Data Limited,Population Wellbeing,Commercial Services,Services - Professional,"£21,309.00"
