Transparency Report - June 2024,,,,,
Date,Supplier,Department,CC Description,Ledger Code,Value £
 10-Jun-2024,University of Bedfordshire Enterprises Ltd,Chief Executive,Chief Executive,Hire Of Premises,£333.34
 17-Jun-2024,Ian Curryer Consulting Limited,Chief Executive,Chief Executive,Services - Professional,£800.00
 17-Jun-2024,Ian Curryer Consulting Limited,Chief Executive,Chief Executive,Services - Professional,£400.00
 17-Jun-2024,Ian Curryer Consulting Limited,Chief Executive,Chief Executive,Services - Professional,£800.00
 07-Jun-2024,Shades Printing Limited,Chief Executive,Civic & Member Services,Year Book,£575.00
 14-Jun-2024,BT Events Ltd,Chief Executive,Civic & Member Services,Hospitality,£745.00
 14-Jun-2024,BT Events Ltd,Chief Executive,Civic & Member Services,Hospitality,£300.00
 17-Jun-2024,Luton Central SDA,Chief Executive,May 2023 Local Election,Hire Of Premises - Accommodation Perm,£250.00
 14-Jun-2024,Luton Hall for HIre,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£495.00
 14-Jun-2024,Bushmead Community Hub,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£275.00
 24-Jun-2024,St John the Baptist PCC,Chief Executive,PCC Election May 2024,Hire of Premises - Accommodation Costs (permanent),£300.00
 10-Jun-2024,Shades Printing Limited,Chief Executive,PCC Election May 2024,Purchase Of Equipment - Equipment Costs,£292.68
 14-Jun-2024,Financial Data Management Ltd,Chief Executive,PCC Election May 2024,Postages - Postage Outward,"£21,267.06"
 14-Jun-2024,Financial Data Management Ltd,Chief Executive,PCC Election May 2024,Postage of Poll Cards - Postage,"£69,566.58"
 10-Jun-2024,Royal Mail Group Ltd,Chief Executive,PCC Election May 2024,Postages - Absent Voting - Postage Inward,"£4,021.92"
 10-Jun-2024,Royal Mail Group Ltd,Chief Executive,PCC Election May 2024,Postages - Absent Voting - Postage Inward,£343.00
 10-Jun-2024,Royal Mail Group Ltd,Chief Executive,PCC Election May 2024,Postages - Absent Voting - Postage Inward,"£4,606.98"
 10-Jun-2024,Redacted Personal Payment,Chief Executive,Communications,"Luton Life Costs (see income 6486,6973)","£2,500.00"
 14-Jun-2024,BREAD AND BUTTER CREATIVE LIMITED,Chief Executive,Communications,"Luton Life Costs (see income 6486,6973)",£395.00
 27-Jun-2024,Seraph Agency Ltd,Chief Executive,Director Citizen Engagement & Legal Serv,Policy Projects,"£2,220.00"
 05-Jun-2024,Confluence (UK) Educational Consultants,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,"£3,000.00"
 21-Jun-2024,Remedy Sound Ltd,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Services re Cultural Enabler,£500.00
 07-Jun-2024,Redacted Personal Payment,Chief Executive,Luton 2040 - Strategy (was Luton Invest.,Projects - Heritage Spend,"£1,202.89"
 21-Jun-2024,Diverse CT,Chief Executive,Social Justice Unit,Fairness Taskforce Expenditure - COMF £11k,£400.00
 10-Jun-2024,Ukrainians in GB Luton Branch,Chief Executive,Social Justice Unit,Community Safety Expenditure,£370.00
 05-Jun-2024,TET Limited,Inclusive Economy,Procurement,Software Rental & Licence Fees,"£14,467.00"
 03-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Contract Payments Civica,"£459,189.42"
 14-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Contract Payments Civica,"£62,961.00"
 25-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Contract Payments Civica,"£66,811.00"
 14-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Microsoft Enterprise Agreement,"£5,594.29"
 19-Jun-2024,Gamma Network Solutions Limited,Inclusive Economy,ICT,Telephones,"£5,317.81"
 03-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Implementation Expenses,£323.16
 03-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Maintenance Of Hardware,£628.14
 14-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Maintenance Of Hardware,"£30,298.13"
 21-Jun-2024,Bytes Software Services Ltd,Inclusive Economy,ICT,Maintenance Of Hardware,"£1,103.32"
 21-Jun-2024,NTA Monitor Ltd,Inclusive Economy,ICT,Purchase Of Software,"£5,850.00"
 03-Jun-2024,Civica UK Ltd,Inclusive Economy,ICT,Software Maintenance & Licence Fees,"£20,484.32"
 26-Jun-2024,CDW Ltd,Inclusive Economy,ICT,Software Maintenance & Licence Fees,"£14,111.55"
 28-Jun-2024,CDW Ltd,Inclusive Economy,ICT,Software Maintenance & Licence Fees,"£119,285.38"
 21-Jun-2024,Xerox UK Ltd,Inclusive Economy,Xerox Photocopiers,Photocopying Contract Direct Costs,"£9,946.48"
 28-Jun-2024,Alemba Ltd,Inclusive Economy,Future ICT Programme - Civica Insource,Services - Professional - External Assurance,"£3,000.00"
 03-Jun-2024,Love2Shop,Population Wellbeing,LEX and LSA Awards,Miscellaneous Expenditure,£965.00
 21-Jun-2024,Redacted Personal Payment,Population Wellbeing,LEX and LSA Awards,Miscellaneous Expenditure,£800.00
 07-Jun-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£4,606.80"
 17-Jun-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£344.14
 17-Jun-2024,Dell Computer Corporation Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£4,124.00"
 17-Jun-2024,Probrand Limited,Inclusive Economy,ICT Equipment Holding Account,Purchases,£760.00
 18-Jun-2024,CDW Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£1,023.00"
 24-Jun-2024,CDW Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£250.26
 26-Jun-2024,CDW Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,"£1,407.00"
 27-Jun-2024,CDW Ltd,Inclusive Economy,ICT Equipment Holding Account,Purchases,£250.26
 14-Jun-2024,Workmates & Daniel Owen Ltd,Population Wellbeing,Planned Contracts - Bathrooms,Miscellaneous Expenses,£737.50
 07-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,582.71"
 20-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,520.82"
 21-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,545.71"
 25-Jun-2024,Benchmarx Kitchens and Joinery Limited,Population Wellbeing,Planned Contracts - Kitchens,Purchase Of Materials,"£1,143.09"
 06-Jun-2024,SDG Electrical & Mechanical Engineering,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£393.05
 06-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,"£1,146.00"
 06-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,£995.20
 06-Jun-2024,J & B Electrical Ltd,Population Wellbeing,Planned Contracts - Kitchens,Sub-Contractors,"£1,140.00"
