Transparency Report - January 2024 ,,,,,
Date,Supplier,Department ,CC Description,Ledger Code,Value £
 15-Jan-2024,Local Government Association,Chief Executive,Chief Executive,Officers Conference Fees (Non-Training),£505.90
 25-Jan-2024,Central Bedfordshire Council,Chief Executive,Civic & Member Services,Contribution to Bedfordshire Shrievalty,"£10,000.00"
 09-Jan-2024,White Land Strategies Limited,Chief Executive,Civic & Member Services,Members Training & Conference Expenses,"£1,140.00"
 15-Jan-2024,Local Government Association,Chief Executive,Civic & Member Services,Member Development Programme,£505.90
 15-Jan-2024,Local Government Association,Chief Executive,Civic & Member Services,Member Development Programme,£505.90
 18-Jan-2024,Financial Data Management Ltd,Chief Executive,Registration Of Electors,Internal Printing,"£7,898.92"
 18-Jan-2024,Financial Data Management Ltd,Chief Executive,Registration Of Electors,Internal Printing,£502.09
 18-Jan-2024,Financial Data Management Ltd,Chief Executive,Registration Of Electors,Postages (see corr. income 6091 and 3430),"£1,217.84"
 03-Jan-2024,Financial Data Management Ltd,Chief Executive,May 2023 Local Election,Purchase Of Materials - Materials and Services,£495.00
 18-Jan-2024,Financial Data Management Ltd,Chief Executive,PCC Election May 2024,Specialist Printing - Printing and Stationery,"£7,776.75"
 18-Jan-2024,D2D Distribution Ltd,Chief Executive,Communications,"Luton Life Costs (see income 6486,6973)","£5,220.00"
 08-Jan-2024,Gentian Events Limited,Inclusive Economy,Emergency Planning,Consultancy Fees,"£1,600.00"
 05-Jan-2024,Reliance High-Tech Ltd,Inclusive Economy,Community Safety Partnership,CS - General,£480.00
 08-Jan-2024,Reliance High-Tech Ltd,Inclusive Economy,Community Safety Partnership,CS - General,-£480.00
 18-Jan-2024,John Power Investigator Process Server,Inclusive Economy,Community Safety Partnership,CS - General,£462.00
 24-Jan-2024,Redacted Personal Payment,Chief Executive,Prevent Coord.-Security&CounterTerrorism,Other Events,£640.20
 09-Jan-2024,Redacted,Chief Executive,Kikit Pathwayz,Grants - Other Statutory,"£22,772.00"
 16-Jan-2024,Groundswell Project,Chief Executive,Groundswell,Grants - Other Statutory Powers - Home Office Grant Exp.,"£12,650.00"
