Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Sep-23,Focus Care Link,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651420 HOME CARE - PRIVATE CON,26416.71,0
01-Sep-23,Focus Care Link,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651420 HOME CARE - PRIVATE CON,24967.52,0
01-Sep-23,Ford Motor Company Limited,Commercial,F25270,FILM OFFICE - TRADING UNIT,INCLUSIVE GROWTH 10E,COMMERCIAL 10EA,COMMERCIAL 10EAA,651800 PAYMENT TO PRIVATE SECT,7785.6,1297.6
01-Sep-23,GEM Environmental Building Services Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,48222,8037
01-Sep-23,H E Services (Plant Hire) Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,772.8,128.8
01-Sep-23,H E Services (Plant Hire) Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,496.8,82.8
01-Sep-23,Habitat for Humanity GB Homes,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,18331.71,0
01-Sep-23,Haus Block Management,Commercial,H50310,STREET PURCHASES,HRA 2,HRA I&E 20,PROPERTY MANAGEMENT 20B,621000 FACILITIES MANAGEMENT,279.58,0
01-Sep-23,Huws Gray Ltd,Commercial,F27560,HIGHWAYS & HRA GROUND MTCE,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,GROUNDS MAINTENANCE 10GCBC,621540 GROUNDS MAINTENANCE,527.83,87.97
01-Sep-23,Redacted,Other Entities and Individuals,F15880,INTERNAL FOSTERING PLACEMENT,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651380 FOSTERNG AGCY PLCMNTS P,1326,0
01-Sep-23,London Borough of Havering,Other Local Authorities,F11220,LEARNING DISABILITIES SUPPORT,PEOPLE & RESILIENCE 10A,ADULTS DISABILITY 10AA,DISABILITIES CARE PACKAGES 10AAB,651420 HOME CARE - PRIVATE CON,1120,0
01-Sep-23,Marlborough Surfacing Ltd_f,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,8042.57,1340.43
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,26754,4459
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,17937,2989.5
01-Sep-23,Moore Stephens Insight Limited,Commercial,F26150,IT THIRD PARTY CONTRACTS,FINANCE 10BB,IT 10BBE,IT - BUSINESS ADMIN 10BBEA,642140 ICT MAINTENANCE AND SUP,14889.42,2481.57
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,8323.2,1387.2
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,1980,330
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,1445.36,240.89
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,722.68,120.45
01-Sep-23,Moore Stephens Insight Limited,Commercial,F25400,ERP IMPLEMENTATION,FINANCE 10BB,IT 10BBE,IT - TRANSFORMATION PROGRAMME 10BBED,641440 CONSULTANCY FEES,578.16,96.36
01-Sep-23,Mott MacDonald Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,5378.9,896.48
01-Sep-23,Munday & Cramer Architectural and Buildi,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,5652,942
01-Sep-23,Munihire Limited,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,2232,372
01-Sep-23,Munihire Limited,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,2088,348
01-Sep-23,Munihire Limited,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,2016,336
01-Sep-23,Munihire Limited,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,1944,324
01-Sep-23,NHS North East London ICB,Commercial,F13580,BETTER CARE FUND CENTRLLY HELD,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651100 PAYMENT TO HEALTH AUTHO,918766,0
01-Sep-23,NHS North East London ICB,Commercial,F13580,BETTER CARE FUND CENTRLLY HELD,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651100 PAYMENT TO HEALTH AUTHO,918766,0
01-Sep-23,NHS North East London ICB,Commercial,F13580,BETTER CARE FUND CENTRLLY HELD,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651100 PAYMENT TO HEALTH AUTHO,918766,0
01-Sep-23,NHS North East London ICB,Commercial,F13580,BETTER CARE FUND CENTRLLY HELD,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,651100 PAYMENT TO HEALTH AUTHO,918766,0
