LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
02-Oct-23,@Architect Uk Limited,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,£513.60,£85.60
02-Oct-23,1st Staff Ltd,Commercial,D60000,SEN - NON-MAINTAINED FEES,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - PLACEMNTS & HN TOP UP OB 40GE,641640 PROFESSIONAL SERVCES -,"£15,660.00","£2,610.00"
02-Oct-23,Alt Training Services Ltd_f,Commercial,F29200,WASTE - REFUSE COLL DOMESTIC,MY PLACE 10G,PUBLIC REALM 10GC,WASTE OPS 10GCE,641000 REFUSE CONTAINERS/LITTE,£384.00,£64.00
02-Oct-23,Codex Conservation,Commercial,F14300,VALENCE HOUSE MUSEUM,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,641140 PURCHASE - EQUIP FURN &,"£3,104.00",£0.00
02-Oct-23,B & B Building London Ltd,Commercial,N61450,EASTBROOK PRIMARY SCHOOL,DSG SYSTEM SCHOOLS 4A,DSG - EASTBROOK 43,EASTBROOK COMP I&E 43A,621140 R & M MINOR WORKS,"£1,536.00",£256.00
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£16,800.00","£2,800.00"
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£1,200.00",£200.00
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£11,040.00","£1,840.00"
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£1,200.00",£200.00
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£8,160.00","£1,360.00"
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£17,760.00","£2,960.00"
02-Oct-23,BD Management Services Limited,Commercial,F23370,MYPLACE PROPERTY MGMT RESIDE,MY PLACE 10G,HOMES AND ASSETS 10GB,LEASEHOLD AND RESIDE 10GBD,621140 R & M MINOR WORKS,"£2,880.00",£480.00
