LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Mar-24,Aestima Ltd,Legal Services,F21350,LANDLORD CUSTOMER & COMMERCIAL,MY PLACE 10G,HOMES AND ASSETS 10GB,LANDLORD SERVICES 10GBC,641620 LEGAL FEES,823.20,137.20
01-Mar-24,Ahmed Muen,Legal Services,F26880,ENVIRONMENTAL ENFORCEMENT,MY PLACE 10G,ENFORCEMENT 10GA,STREET ENFORCEMENT 10GAD,641620 LEGAL FEES,540.00,90.00
01-Mar-24,Alcove Limited,Commercial,F23070,CARE TECHNOLOGY,PEOPLE & RESILIENCE 10A,COMMISSIONING - CARE & SUPPORT 10AC,ADULTS COMMISSIONING 10ACA,641440 CONSULTANCY FEES,60000.00,10000.00
01-Mar-24,Alcove Limited,Commercial,F23070,CARE TECHNOLOGY,PEOPLE & RESILIENCE 10A,COMMISSIONING - CARE & SUPPORT 10AC,ADULTS COMMISSIONING 10ACA,641440 CONSULTANCY FEES,60000.00,10000.00
01-Mar-24,AS Temps Ltd,Commercial,F17120,ABBEY NURSERY,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,611140 AGENCY STAFF,2925.30,487.55
01-Mar-24,Askews and Holts Library Services Ltd,Commercial,F14540,UNIVERSAL LIBRARIES,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,641320 BOOKS PUBLICATIONS & RE,1243.31,0.00
01-Mar-24,Barking & Dagenham College,Commercial,F60520,FLEXI LEARNING,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",SCHOOL IMPROVEMENT 10AFF,641640 PROFESSIONAL SERVCES -,740.00,0.00
01-Mar-24,Barking and Dagenham School Improvement,Other Local Authorities,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,641640 PROFESSIONAL SERVCES -,2897.50,441.25
01-Mar-24,BD Management Services Limited,Commercial,F26600,CEMETERIES CENTRAL ITEMS,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,CEMETERIES & CREMATORIA 10GCBB,621140 R & M MINOR WORKS,404.00,67.33
01-Mar-24,BD Management Services Limited,Commercial,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,8418.68,1403.11
01-Mar-24,BD Management Services Limited,Commercial,F27560,HIGHWAYS & HRA GROUND MTCE,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,GROUNDS MAINTENANCE 10GCBC,621270 BUILDING ALTERATNS & MA,264.00,44.00
01-Mar-24,BD Management Services Limited,Commercial,F27560,HIGHWAYS & HRA GROUND MTCE,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,GROUNDS MAINTENANCE 10GCBC,621270 BUILDING ALTERATNS & MA,1605.60,267.60
01-Mar-24,BD Management Services Limited,Commercial,F26600,CEMETERIES CENTRAL ITEMS,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,CEMETERIES & CREMATORIA 10GCBB,621140 R & M MINOR WORKS,42642.07,7107.01
01-Mar-24,Becontree Primary School,Other Local Authorities,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,371.22,0.00
01-Mar-24,Bond Turner Limited,Legal Services,H05000,HRA BALANCE SHEET (BS),COUNCIL COUNCIL,HRA 2,HRA BALANCE SHEET 21,236000 SHORT TERM PROVISIONS -,1050.40,0.00
01-Mar-24,Redacted,Other Entities and Individuals,F13900,HEALTHY LIFESTYLES,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,HEALTHY LIFE & PHYSICAL ACTS 10FCA,641640 PROFESSIONAL SERVCES -,585.00,0.00
01-Mar-24,Redacted,Other Entities and Individuals,F24000,OCCUPATIONAL HEALTH,CORPORATE MANAGEMENT 10B,WORKFORCE CHANGE / HR 10BE,HUMAN RESOURCES 10BEA,651780 PRIVATE CONTRACTORS PAY,385.00,0.00
01-Mar-24,Dorothy Barley Junior Academy,Other Local Authorities,D61200,HEAD TEACHERS TOP UP,DSG - OTHER 40,DSG - HIGH NEEDS 40G,SEN PANEL TOP UPS 40GH,651780 PRIVATE CONTRACTORS PAY,3000.00,0.00
01-Mar-24,Education & Bass Ltd,Schools,F19360,COMMUNITY MUSIC SERVICE,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",INTEGRATED YOUTH SERVICES 10AFH,641380 ARTS AND LEISURE COSTS,991.86,165.31
01-Mar-24,EduNet ICT Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,642140 ICT MAINTENANCE AND SUP,7108.01,1184.67
01-Mar-24,Redacted,Carer,F11580,MENTAL HEALTH SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,MENTAL HEALTH CARE PACKAGES 10ABF,651550 LT SUPP COMMUNITY SUPPO,25872.48,0.00
01-Mar-24,Goresbrook School,Other Local Authorities,D60930,INCLUSIVE INITIATIVES,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - HIGH NEEDS EDUC INCLUSN 40GC,641640 PROFESSIONAL SERVCES -,1990.00,0.00
01-Mar-24,Grafton Primary School,Other Local Authorities,D60930,INCLUSIVE INITIATIVES,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - HIGH NEEDS EDUC INCLUSN 40GC,641640 PROFESSIONAL SERVCES -,995.00,0.00
01-Mar-24,Grove Care Partnership Ltd,Commercial,F11220,LEARNING DISABILITIES SUPPORT,PEOPLE & RESILIENCE 10A,ADULTS DISABILITY 10AA,DISABILITIES CARE PACKAGES 10AAB,651580 RESIDENTIAL PLCMNTS PRI,10283.40,0.00
01-Mar-24,Habitat for Humanity GB Homes,Commercial,F15640,LEAVING CARE SERVICE,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,PLACEMENTS CLIENT COSTS 10AEF,651780 PRIVATE CONTRACTORS PAY,16134.96,0.00
01-Mar-24,Redacted,Other Entities and Individuals,F14340,ARCHIVIST,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,641640 PROFESSIONAL SERVCES -,340.00,0.00
01-Mar-24,HC-One Oval Limited,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,516840 NURSING CARE INCOME,25669.19,0.00
01-Mar-24,History on the Move,Commercial,F14340,ARCHIVIST,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,641640 PROFESSIONAL SERVCES -,680.00,0.00
01-Mar-24,Redacted,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,1782.00,297.00
01-Mar-24,Redacted,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,3900.00,650.00
01-Mar-24,Kent County Council Commercial Services,Commercial,N61450,EASTBROOK PRIMARY SCHOOL,DSG SYSTEM SCHOOLS 4A,DSG - EASTBROOK 43,EASTBROOK COMP I&E 43A,621300 GAS,3575.21,170.25
01-Mar-24,Kingsley Hall,Commercial,F14900,HOS UNIVERSAL,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,UNIVERSAL SERVICES 10FCF,641520 EVENTS,1500.00,0.00
01-Mar-24,Kirkman & Jourdain Ltd_f,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,7704.00,1284.00
01-Mar-24,Land Science Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,30408.84,5068.14
01-Mar-24,Leys Primary School_f,Other Local Authorities,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,7850.00,0.00
01-Mar-24,Leyton House Community Care Ltd,Commercial,F11580,MENTAL HEALTH SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,MENTAL HEALTH CARE PACKAGES 10ABF,651580 RESIDENTIAL PLCMNTS PRI,17580.00,0.00
01-Mar-24,Lodge Lane Care Ltd,Commercial,F10400,SUPPORT WITH MEMORY & COGNITN,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,MENTAL HEALTH CARE PACKAGES 10ABF,651580 RESIDENTIAL PLCMNTS PRI,88339.28,0.00
01-Mar-24,London Teaching Pool,Commercial,D60760,SEABROOK CAMPUS (ETS),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1020.00,170.00
01-Mar-24,London Teaching Pool,Commercial,D60760,SEABROOK CAMPUS (ETS),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1020.00,170.00
01-Mar-24,London Teaching Pool,Commercial,D60760,SEABROOK CAMPUS (ETS),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1020.00,170.00
01-Mar-24,Redacted,Commercial,F12730,MH VOCATIONAL SUPPORT SERVICES,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,TRIAGE SERVICES 10FCD,641440 CONSULTANCY FEES,400.00,0.00
01-Mar-24,Marsh Green School,Other Local Authorities,D61200,HEAD TEACHERS TOP UP,DSG - OTHER 40,DSG - HIGH NEEDS 40G,SEN PANEL TOP UPS 40GH,661360 SCHOOLS - TRANSFER PAYM,8000.00,0.00
01-Mar-24,Mathew McDermott,Legal Services,F21350,LANDLORD CUSTOMER & COMMERCIAL,MY PLACE 10G,HOMES AND ASSETS 10GB,LANDLORD SERVICES 10GBC,641620 LEGAL FEES,1800.00,300.00
01-Mar-24,Mathew McDermott,Legal Services,F21350,LANDLORD CUSTOMER & COMMERCIAL,MY PLACE 10G,HOMES AND ASSETS 10GB,LANDLORD SERVICES 10GBC,641620 LEGAL FEES,1980.00,330.00
01-Mar-24,McDermott Smith Law Ltd,Legal Services,H05000,HRA BALANCE SHEET (BS),COUNCIL COUNCIL,HRA 2,HRA BALANCE SHEET 21,236000 SHORT TERM PROVISIONS -,5500.00,0.00
01-Mar-24,M-Hance,Commercial,F23080,CORPORATE HR AND PAYROLL,CORPORATE MANAGEMENT 10B,WORKFORCE CHANGE / HR 10BE,HUMAN RESOURCES 10BEA,611520 STAFF OTHER EXPENSES,2880.00,480.00
01-Mar-24,Mott MacDonald Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,7797.83,1299.64
01-Mar-24,Mott MacDonald Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,10490.38,1748.40
01-Mar-24,Redacted,Other Entities and Individuals,F26080,TEMPORARY ACCOMMODATION,COMMUNITY SOLUTIONS 10F,SUPPORT AND COLLECTIONS 10FA,SUPPORT SERVICES 10FAF,651800 PAYMENT TO PRIVATE SECT,9179.76,0.00
01-Mar-24,Mr Richard Davies,Legal Services,F26290,PRIVATE RENTED PROP LICENSING,ENFORCEMENT 10GA,PRIVATE SECTOR HOUSING 10GAH,PRIVATE SECTOR HOUSING SCHEME 10GAHB,641620 LEGAL FEES,600.00,100.00
01-Mar-24,Redacted,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,1200.00,200.00
01-Mar-24,Park View,Commercial,F10380,PHYSICAL SUPPORT,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,ADULTS CARE PACKAGES 10ABB,516980 RESIDENTIAL CARE INCOME,101477.92,0.00
01-Mar-24,Pitney Bowes Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,642020 ICT HARDWARE,410.16,68.36
01-Mar-24,Qualiteach Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,3565.75,594.29
01-Mar-24,Qualiteach Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,-1095.19,-182.53
01-Mar-24,Reed Specialist Recruitment Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,611140 AGENCY STAFF,1028.58,171.43
01-Mar-24,Rice Retail Marketing Ltd,Commercial,F21160,UK SHARED PROSPERITY FUND,INCLUSIVE GROWTH 10EB,SD INCLUSIVE GROWTH 10EBD,INCLUSIVE ECONOMY 10EBDB,641440 CONSULTANCY FEES,24000.00,4000.00
01-Mar-24,Safeplay Playground Services Limited,Commercial,F28440,PARKS CENTRAL ITEMS,PUBLIC REALM 10GC,PARKS AND ENVIRONMENT 10GCB,PARKS & OPEN SPACES 10GCBD,641120 MAINTCE - EQUIP FURN &,310.80,51.80
01-Mar-24,Sahara Homes Ltd,Commercial,F11220,LEARNING DISABILITIES SUPPORT,PEOPLE & RESILIENCE 10A,ADULTS DISABILITY 10AA,DISABILITIES CARE PACKAGES 10AAB,651580 RESIDENTIAL PLCMNTS PRI,62507.04,0.00
01-Mar-24,Satchell Moran Solicitors,Legal Services,H05000,HRA BALANCE SHEET (BS),COUNCIL COUNCIL,HRA 2,HRA BALANCE SHEET 21,236000 SHORT TERM PROVISIONS -,3984.09,0.00
01-Mar-24,Satchell Moran Solicitors,Legal Services,H05000,HRA BALANCE SHEET (BS),COUNCIL COUNCIL,HRA 2,HRA BALANCE SHEET 21,236000 SHORT TERM PROVISIONS -,5500.00,0.00
01-Mar-24,School Home Support Services (Uk) Ltd,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,641640 PROFESSIONAL SERVCES -,12000.00,0.00
01-Mar-24,Skills and Education Group Awards,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,644120 EXAM FEES,467.20,0.00
01-Mar-24,Skills and Education Group Awards,Commercial,D61780,MAYESBROOK PARK SCHOOL (PRU),DSG - OTHER 40,DSG - HIGH NEEDS 40G,ALTERNATIVE PROVISION 40GA,644120 EXAM FEES,292.00,0.00
01-Mar-24,St Cecilia's Care Services,Commercial,F10400,SUPPORT WITH MEMORY & COGNITN,PEOPLE & RESILIENCE 10A,ADULT'S CARE & SUPPORT 10AB,MENTAL HEALTH CARE PACKAGES 10ABF,651580 RESIDENTIAL PLCMNTS PRI,10248.00,0.00
01-Mar-24,Strategic Property Group Ltd,Commercial,F26040,HOUSING ADVICE,COMMUNITY SOLUTIONS 10F,SUPPORT AND COLLECTIONS 10FA,SUPPORT SERVICES 10FAF,651800 PAYMENT TO PRIVATE SECT,2700.00,0.00
01-Mar-24,Nationwide Chartered Surveyors &Value,Other Entities and Individuals,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,750.00,0.00
01-Mar-24,Thomas Ridley & Son Ltd,Commercial,F14300,VALENCE HOUSE MUSEUM,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,641180 CATERING AND VENDING SU,565.98,33.95
01-Mar-24,Weston Homes Plc,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,294671.76,0.00
04-Mar-24,Access & Lock Ltd_f,Commercial,F17280,EARLY YEARS AND CHILDCARE,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",EARLY YEARS & CHILDCARE 10AFG,621240 SECURITY OF PREMISES,389.40,64.90
04-Mar-24,Aebi Schmidt UK Ltd,Commercial,F27520,FRIZLANDS DEPOT TRANSP WORKSHP,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631040 VEHICLE REPAIRS & MAINT,2280.00,380.00
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,1001.26,166.88
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Allen Lane Ltd,Commercial,F50780,BUSINESS IMPROVEMENT,MY PLACE 10G,HOMES AND ASSETS 10GB,BUSINESS DEV & IMPROVEMENT 10GBI,611140 AGENCY STAFF,2503.14,417.19
04-Mar-24,Angels Courier Service Ltd,Commercial,F26150,IT THIRD PARTY CONTRACTS,FINANCE 10BB,IT 10BBE,IT - BUSINESS ADMIN 10BBEA,642300 POSTAGE AND COURIER SER,498.96,83.16
04-Mar-24,Arcadis (Uk) Ltd,Commercial,F28400,COUNTRYSIDE & CONSERVATION,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,PARKS COMMISSIONING 10EBI,641940 TREE WORKS,2640.00,440.00
