LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
02-May-23,1st Staff Ltd,Commercial,D60000,SEN - NON-MAINTAINED FEES,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - PLACEMNTS & HN TOP UP OB 40GE,641640 PROFESSIONAL SERVCES -,102960.00,17160.00
02-May-23,Access & Lock Ltd_f,Commercial,B20110,FEASIBILITIES,BE FIRST BE FIRST,BE FIRST I&E 1,BE FIRST MANAGEMENT 10,621270 BUILDING ALTERATNS & MA,3840.31,640.05
02-May-23,AK Design Partnership LLP,Commercial,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,3832.50,638.75
02-May-23,Atl Safety Ltd,Commercial,F50500,QUALITY AND COMPLIANCE,MY PLACE 10G,HOMES AND ASSETS 10GB,COMPLIANCE 10GBF,611480 STAFF DEVELOPMENT AND T,630.00,105.00
02-May-23,B Nokes Contracts Ltd_f,Commercial,B20090,CAP COMMISSIONING & DELIVERY,BE FIRST BE FIRST,BE FIRST I&E 1,CAP COMMISSIONING & DELIVERY 11,641440 CONSULTANCY FEES,2124.00,354.00
02-May-23,BD Management Services Limited,Commercial,F23840,REGISTRARS,COMMUNITY SOLUTIONS 10F,COMMUNITY SOLUTIONS 10FB,CUSTOMER CONTACT 10FBC,621160 RECHARGEABLE REPAIRS,-3670.30,-611.72
02-May-23,BD Management Services Limited,Commercial,F23840,REGISTRARS,COMMUNITY SOLUTIONS 10F,COMMUNITY SOLUTIONS 10FB,CUSTOMER CONTACT 10FBC,621160 RECHARGEABLE REPAIRS,3670.30,611.72
02-May-23,BD Management Services Limited,Commercial,F23840,REGISTRARS,COMMUNITY SOLUTIONS 10F,COMMUNITY SOLUTIONS 10FB,CUSTOMER CONTACT 10FBC,621160 RECHARGEABLE REPAIRS,6367.70,1061.28
02-May-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,419315.94,69885.99
02-May-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,175346.40,29224.40
02-May-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,414383.02,69063.84
02-May-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,-419315.94,-69885.99
02-May-23,Bournemouth University,Commercial,F19920,SOCIAL CARE WORKFORCE DEV TEAM,LAW AND GOVERNANCE 10C,WORKFORCE CHANGE / HR 10CA,HUMAN RESOURCES 10CAA,611480 STAFF DEVELOPMENT AND T,5000.00,0.00
02-May-23,Box Up Crime_f,Other Entities and Individuals,F17020,YOUNG LONDONERS FUND,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",INTEGRATED YOUTH SERVICES 10AFH,641440 CONSULTANCY FEES,13405.00,0.00
02-May-23,CAN Recruitment Ltd,Commercial,D60000,SEN - NON-MAINTAINED FEES,DSG - OTHER 40,DSG - HIGH NEEDS 40G,DSG - PLACEMNTS & HN TOP UP OB 40GE,641640 PROFESSIONAL SERVCES -,3240.00,540.00
02-May-23,Car Hire (Days of Swansea Ltd) T/a Days,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631140 VEHICLE HIRE,599.39,0.00
02-May-23,Cave Creative Ltd,Commercial,F14870,PEN TO PRINT,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,641500 DESIGN AND PHOTOGRAPHIC,822.00,137.00
02-May-23,Chartered Trading Standards Institute,Commercial,F27240,TRADING STANDARDS,LAW AND GOVERNANCE 10C,ENFORCEMENT 10CC,PRIVATE SECTOR HOUSING 10CCI,644120 EXAM FEES,260.40,43.40
02-May-23,Company Drinks CIC,Commercial,F17420,HOLIDAY ACTIVITIES & FOOD PROG,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",INTEGRATED YOUTH SERVICES 10AFH,641520 EVENTS,3580.00,0.00
02-May-23,Cray Valley Communications Ltd_f,Commercial,F14820,DAGENHAM LIBRARY,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,642020 ICT HARDWARE,318.00,53.00
02-May-23,Early Years Direct Ltd,Commercial,D60200,EXTENDED OFFER FOR 2 YRS OLDS,DSG - OTHER 40,DSG - EARLY YEARS_2 40D,DSG - EARLY YEARS & CHILDCARE 40DA,651780 PRIVATE CONTRACTORS PAY,1989.00,331.50
02-May-23,Everyone Active,Commercial,B20030,TFL REVENUE PROJECTS,BE FIRST BE FIRST,BE FIRST I&E 1,DEVELOPMENT PLANNING 12,641440 CONSULTANCY FEES,533.00,0.00
02-May-23,Everyone Active,Commercial,B20030,TFL REVENUE PROJECTS,BE FIRST BE FIRST,BE FIRST I&E 1,DEVELOPMENT PLANNING 12,641440 CONSULTANCY FEES,407.00,0.00
02-May-23,Fools Paradise,Commercial,F14460,COMMUNITY EVENTS,STRATEGY 10D,COMMUNICATIONS 10DD,MARKETING & COMMUNICATION 10DDA,641520 EVENTS,1068.00,178.00
02-May-23,Future Youth Zone,Commercial,F17420,HOLIDAY ACTIVITIES & FOOD PROG,PEOPLE & RESILIENCE 10A,"EDUCATION, YOUTH & CHILDCARE 10AF",INTEGRATED YOUTH SERVICES 10AFH,641520 EVENTS,9083.72,0.00
02-May-23,Gateway Qualifications,Commercial,F18120,ADULT COLLEGE,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,EMPLOYMENT TEAM 10EBG,644120 EXAM FEES,437.00,0.00
02-May-23,Go Plant Fleet Services Ltd,Commercial,F29480,FLEET MANAGEMENT TEAM,MY PLACE 10G,PUBLIC REALM 10GC,FLEET & PASSENGER TRANSPORT 10GCD,631120 VEHICLE LEASES,13882.42,2313.73
02-May-23,Gowling WLG (UK) LLP,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,7807.20,1301.20
02-May-23,Gowling WLG (UK) LLP,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,13232.40,2205.40
02-May-23,Gowling WLG (UK) LLP,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,4238.98,706.50
02-May-23,Gowling WLG (UK) LLP,Commercial,H05200,CAPITAL HRA BS,COUNCIL COUNCIL,HRA 2,HRA CAPITAL 22,115340 CAPITAL OUTLAY,1320.00,220.00
02-May-23,Green Shoes Arts Community Interest Comp,Commercial,F23270,PARTICIPATION & ENGAGEMENT,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,PARTICIPATION AND ENGAGEMENT 10FCC,642580 GRANTS AND CONTRIBUTION,10000.00,0.00
02-May-23,Guru Systems Ltd,Commercial,F21380,BUSINESS DEV & IMPROVEMENT,MY PLACE 10G,MY PLACE CENTRAL 10GA,BUSINESS DEVELOPMENT & IMPROVE 10GAB,621280 ELECTRICITY,385.08,64.18
