LBBD Payments Greater than £250 for Publishing,,,,,,,,,,
Payment Date,Supplier,Category,Cost Centre,Cost Centre Description,Cost Centre Parent,Cost Centre Parent,Cost Centre Parent,Nominal Description,Gross,Vat
01-Aug-23,Abimbola Badejo,Legal Services,F12580,YOS - PARENTING & VOLUNTEERS,PEOPLE & RESILIENCE 10A,CHILDREN'S CARE & SUPPORT 10AE,YOUTH OFFENDING SERVICE 10AEA,641620 LEGAL FEES,840,140
01-Aug-23,Adaptainer,Commercial,F18120,ADULT COLLEGE,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,EMPLOYMENT TEAM 10EBG,621140 R & M MINOR WORKS,451.62,75.27
01-Aug-23,Advanced Transport Research Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,1686,281
01-Aug-23,Alliance Leisure Services Limited,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,68762.71,11460.45
01-Aug-23,Barking Medical Group Practice,NHS/Medical Bodies,F13460,HEALTHY ADULTS,PUBLIC HEALTH 10AD,PUBLIC HEALTH 10ADB,PUBLIC HEALTH SERVICES 10ADBB,651150 PAYMENT TO PRIMARY CARE,1088.58,0
01-Aug-23,BD Corporate Cleaning Ltd,Commercial,F14540,UNIVERSAL LIBRARIES,COMMUNITY SOLUTIONS 10F,COMMUNITY PARTICIPATION & PREV 10FC,LIBRARIES 10FCB,621520 CLEANING SERVICES,308.35,51.39
01-Aug-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,2798.4,466.4
01-Aug-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,97846.8,16307.8
01-Aug-23,Be First (Regeneration) Ltd,Commercial,F01200,CAPITAL GRF BS,COUNCIL COUNCIL,GENERAL FUND 1,GENERAL FUND CAPITAL 12,115340 CAPITAL OUTLAY,499.2,83.2
01-Aug-23,Broad Oak Colour Printers Ltd,Commercial,F14870,PEN TO PRINT,INCLUSIVE GROWTH 10E,INCLUSIVE GROWTH 10EB,CULTURE AND HERITAGE 10EBH,641500 DESIGN AND PHOTOGRAPHIC,2704,0
