Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,Capital/ Revenue,Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Utilities  Electrical,2025-01-02 15:32:18,PLY4770521,5161.09,Capital,National Grid Electricity Distribution (SW) plc,23579
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Supplies and Services,Special Events,2025-01-02 15:32:18,PLY4779916,1000,Revenue,Theatre Royal (Plymouth) Ltd,23628
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Third Party Payments,Emergency Accommodation for Clients,2025-01-02 15:32:18,PLY4781241,450,Revenue,Summer Court Guest House,23649
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Third Party Payments,Emergency Accommodation for Clients,2025-01-02 15:32:18,PLY4781249,595,Revenue,Summer Court Guest House,23649
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Third Party Payments,Emergency Accommodation for Clients,2025-01-02 15:32:18,PLY4781250,595,Revenue,Summer Court Guest House,23649
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Housing services,People Directorate,Third Party Payments,Emergency Accommodation for Clients,2025-01-02 15:32:18,PLY4781251,525,Revenue,Summer Court Guest House,23649
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Support Services,Customer and Corporate Service,Premises,Metered Water Charges,2025-01-02 15:32:18,9814780737,546.59,Revenue,South West Water (Pennon Water Services Ltd),23664
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Support Services,Customer and Corporate Service,Premises,Metered Water Charges,2025-01-02 15:32:18,9814780733,1096.18,Revenue,South West Water (Pennon Water Services Ltd),23664
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Support Services,Customer and Corporate Service,Premises,Metered Water Charges,2025-01-02 15:32:18,9814780735,1251.46,Revenue,South West Water (Pennon Water Services Ltd),23664
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,Various,Premises,Metered Water Charges,2025-01-02 15:32:18,Various,692.29,Revenue,South West Water (Pennon Water Services Ltd),23664
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Non distributed costs,Corporate Items,Third Party Payments,Other Agency & Contracted Services,2025-01-02 15:32:18,PLY4780875,526.53,Revenue,Devon County Council,23686
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Non distributed costs,Corporate Items,Third Party Payments,Other Agency & Contracted Services,2025-01-02 15:32:18,PLY4780877,831.11,Revenue,Devon County Council,23686
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Emergency Accommodation for Clients,2025-01-02 15:32:18,PLY4781179,1360,Revenue,S Matin,24018
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Support Services,Customer and Corporate Service,Premises,Cleaning Materials,2025-01-02 15:32:18,PLY4770162,4133.86,Revenue,Bunzl Cleaning & Hygiene Supp,24060
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Various,People Directorate,Various,Various,2025-01-02 15:32:18,Various,14221.39,Revenue,Waterfront West,24125
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor  Main Contract,2025-01-02 15:32:19,PLY4771212,97567.25,Capital,Tec Construction (Holdings) Ltd,24297
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Group Based Short Breaks,2025-01-02 15:32:19,PLY4780857,21938.22,Revenue,Routeways Centre Ltd,24766
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Supplies and Services,Maintenance Of Equipment,2025-01-02 15:32:19,PLY4752559,9496.86,Revenue,PHS Group plc,24803
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Capitalised Salaries,2025-01-02 15:32:19,PLY4779296,608,Capital,John Grimes Partnership,24926
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Consultancy Fees,2025-01-02 15:32:19,PLY4751752,16569,Capital,John Grimes Partnership,24926
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Customer and Corporate Service,Supplies and Services,Purchase Of Books/Media,2025-01-02 15:32:19,LB0003671,555.47,Revenue,Ulverscroft Large Print Books,24978
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Place Directorate,Capital Expenditure,Private Contractor  Main Contract,2025-01-02 15:32:19,PLY4781115,407861.53,Capital,Devon Contractors Ltd,25132
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Transformation and Change,Capital Expenditure,Consultancy Fees,2025-01-02 15:32:19,PLY4780871,1200,Capital,Abacus Drainage Services,25188
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Transfer Payments,Trade Gate Fee,2025-01-02 15:32:19,PLY4777919,114418.18000000001,Revenue,Biffa Waste Services Ltd,25472
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Employees,Employee Training,2025-01-02 15:32:20,PLY4781085,843.1,Revenue,Lynher Training Group,25478
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Supplies and Services,Medical Requisites,2025-01-02 15:32:20,PLY4781030,659.04,Revenue,St John Ambulance,25669
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Internal Trading Unit,Place Directorate,Supplies and Services,Hazardous Waste Disposal,2025-01-02 15:32:20,PLY4752493,1233.1100000000001,Revenue,Safety-Kleen Uk Ltd,25846
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,Public Health,Supplies and Services,Drivers Tests,2025-01-02 15:32:20,PLY4780876,425,Revenue,Plymouth Citybus Ltd,25872
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Trading,Public Health,Supplies and Services,Drivers Tests,2025-01-02 15:32:20,PLY4780823,1785,Revenue,Plymouth Citybus Ltd,25872
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Cultural & related Services,Place Directorate,Premises,Repair & Maintenance General,2025-01-02 15:32:20,PLY4780872,575.5,Revenue,Metric Group Ltd,25898
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Capital,Transformation and Change,Capital Expenditure,Private Contractor  Main Contract,2025-01-02 15:32:20,PLY4770225,138096.06,Capital,JNE Construction Ltd,25919
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Public Health,Supplies and Services,Cost Of Funeral Services,2025-01-02 15:32:20,PLY4752864,950,Revenue,St Budeaux Funeralcare,26064
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Public Health,Supplies and Services,Cost Of Funeral Services,2025-01-02 15:32:20,PLY4752864,550,Revenue,St Budeaux Funeralcare,26064
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Other Agency & Contracted Services,2025-01-02 15:32:20,PLY4771058,597.34,Revenue,Flowbird Smart City UK Limited,26285
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Other Agency & Contracted Services,2025-01-02 15:32:20,PLY4771058,2299.86,Revenue,Flowbird Smart City UK Limited,26285
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Highways & Transport Services,Place Directorate,Third Party Payments,Other Agency & Contracted Services,2025-01-02 15:32:20,PLY4771138,516.74,Revenue,Flowbird Smart City UK Limited,26285
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Environmental & Regulatory Ser,Place Directorate,Supplies and Services,Maintenance Of Equipment,2025-01-02 15:32:21,PLY4770489,795,Revenue,Skyview Systems,26290
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Balance Sheet,Corporate Items,Balance Sheet,Payments,2025-01-02 15:32:21,PLY4778846,788,Revenue,Department for Work & Pensions,26799
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Corporate & Democratic Core,Customer and Corporate Service,Supplies and Services,External Audit Fees,2025-01-02 15:32:21,PLY4770464,187630,Revenue,Grant Thornton,28672
