OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,19/09/2023,5375668,3160.00,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,26/09/2023,5378243,29657.41,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,26/09/2023,5382169,612.70,0.00,SERVICES/FEES,External - Grants/Allowances
"ENVIRONMENT, CULTURE AND CUSTOMER SERVICES",Revenue Recharges,A&T AIR CONDITIONING,05/09/2023,5369999,7250.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A&T AIR CONDITIONING,26/09/2023,5376970,13800.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/09/2023,5375949,2850.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,15/09/2023,5378535,722.50,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,15/09/2023,5378536,720.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,15/09/2023,5378537,1425.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5373113,2160.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5373123,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5373126,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5373128,1820.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5373130,3410.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5374027,6450.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,01/09/2023,5374029,1960.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376238,8029.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376239,6882.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376240,6882.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376241,9176.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376242,6882.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376243,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376244,13764.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376245,2325.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376246,3875.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376247,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376248,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376249,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,05/09/2023,5376250,7595.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Adult Social Care,AARAV PROPERTIES LIMITED,08/09/2023,5376666,930.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,12/09/2023,5378251,3885.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377146,3060.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377544,1116.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377545,2232.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377572,1116.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377574,1240.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377719,2356.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,12/09/2023,5377723,3410.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,15/09/2023,5378656,630.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,15/09/2023,5378657,4340.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,15/09/2023,5379529,5070.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5377923,1140.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5378759,1178.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5378761,1178.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5378796,720.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5378813,1116.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5379214,2232.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5379215,2232.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,15/09/2023,5379216,2480.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,15/09/2023,5379233,2914.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,15/09/2023,5379236,1860.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,15/09/2023,5379237,1395.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,15/09/2023,5379238,1395.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,15/09/2023,5379369,720.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5378659,12320.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5378660,8540.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379778,1550.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379780,2170.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379783,1395.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379784,4340.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379786,2790.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379787,2975.83,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379788,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379790,4340.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379794,1488.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379798,540.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,19/09/2023,5379803,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
