OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
CAPITAL HRA,Housing,21 DEGREES HEATING LTD,09/05/2023,5333455,28397.00,0.00,PAYMENT TO MAIN CONTRACTOR,Construction Industry suppliers (CIS)
ASSISTANT CHIEF EXECUTIVE,Revenue Recharges,4C ASSOCIATES LTD,12/05/2023,5327842,15983.00,0.00,SERVICES/FEES,Suppliers - Professional Services (consultants)
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,26/05/2023,5335377,36138.74,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,05/05/2023,5330866,639.33,0.00,SERVICES/FEES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,19/05/2023,5336303,2247.26,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,19/05/2023,5336476,2249.00,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,26/05/2023,5336244,563.33,0.00,SERVICES/FEES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335697,1926.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335702,2700.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335790,2762.50,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335806,490.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335923,2640.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335924,1435.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/05/2023,5335925,1620.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
