OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
"ENVIRONMENT, CULTURE AND CUSTOMER SERVICES",Cultural and Related Services,220 SOFT LTD,17/10/2023,5385552,1800.00,0.00,PRINTING AND STATIONERY,Suppliers - Education & Sports
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,24/10/2023,5384353,-1966.47,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,24/10/2023,5390755,31997.97,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,10/10/2023,5388507,955.10,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,10/10/2023,5388572,4920.64,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A C BUILDERS,20/10/2023,5392117,510.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Construction Industry suppliers (CIS)
CAPITAL HRA,Housing,A&T AIR CONDITIONING,06/10/2023,5383059,2600.00,0.00,PAYMENT TO MAIN CONTRACTOR,Suppliers - Facilities Management/Mail/Clothing
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,24/10/2023,5384353,-1966.47,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,24/10/2023,5390755,31997.97,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,10/10/2023,5388507,955.10,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,10/10/2023,5388572,4920.64,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
