OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
RESOURCES,Revenue Recharges,2040 TRAINING LIMITED,05/01/2024,5420788,1200.00,0.00,INDIRECT EMPLOYEE EXPENSES,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,33 BEDFORD ROW,26/01/2024,5428573,600.00,0.00,SERVICES/FEES,Suppliers - General Goods & Services
RESOURCES,Revenue Recharges,8X8 UK LIMITED,26/01/2024,5424864,32004.97,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,19/01/2024,5425704,612.70,0.00,SERVICES/FEES,External - Grants/Allowances
HOUSING REVENUE ACCOUNT,Housing Revenue Account,A AND M FENCING CO LTD,05/01/2024,5416543,1450.00,0.00,GRANTS AND SUBSCRIPTIONS,Construction Industry suppliers (CIS)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,02/01/2024,5419346,465.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420737,3066.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420738,4305.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420739,595.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420740,2736.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420742,2972.50,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420743,1904.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/01/2024,5420744,2250.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,12/01/2024,5424207,3075.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,12/01/2024,5424213,1320.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,12/01/2024,5424217,1265.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,12/01/2024,5424219,840.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,19/01/2024,5424847,945.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,23/01/2024,5427942,1606.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,23/01/2024,5427944,2160.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,23/01/2024,5427946,1800.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,23/01/2024,5427949,1000.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,26/01/2024,5428576,1319.50,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,30/01/2024,5430286,2970.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
