OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,11/08/2023,5352543,-2876.70,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,11/08/2023,5365370,37873.39,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,25/08/2023,5371164,37036.26,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,08/08/2023,5367189,1000.00,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,08/08/2023,5367252,1000.00,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,08/08/2023,5367332,5000.00,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A&G WINDOWS LTD,04/08/2023,5365129,750.00,0.00,CLEANING AND DOMESTIC SUPPLIES,Suppliers - General Goods & Services
"ENVIRONMENT, CULTURE AND CUSTOMER SERVICES",Revenue Recharges,A&T AIR CONDITIONING,08/08/2023,5358603,680.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
"ENVIRONMENT, CULTURE AND CUSTOMER SERVICES",Revenue Recharges,A&T AIR CONDITIONING,08/08/2023,5360805,1250.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
HOUSING REVENUE ACCOUNT,Housing Revenue Account,A&T AIR CONDITIONING,08/08/2023,5360614,-1620.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
HOUSING REVENUE ACCOUNT,Housing Revenue Account,A&T AIR CONDITIONING,08/08/2023,5360615,1350.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
HOUSING REVENUE ACCOUNT,Housing Revenue Account,A&T AIR CONDITIONING,08/08/2023,5360632,1620.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
HOUSING AND REGENERATION,Cultural and Related Services,A&T AIR CONDITIONING,18/08/2023,5362677,3132.00,0.00,PRIVATE CONTRACTORS,Suppliers - Facilities Management/Mail/Clothing
HOUSING REVENUE ACCOUNT,Housing Revenue Account,A&T AIR CONDITIONING,29/08/2023,5370271,1440.00,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,08/08/2023,5365070,3500.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,08/08/2023,5365071,3480.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,08/08/2023,5365072,2261.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,08/08/2023,5365073,1437.50,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,18/08/2023,5360329,1520.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373263,2450.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373264,2262.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373265,1210.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373266,2587.50,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373267,735.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373269,1107.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373270,2054.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373271,1000.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,29/08/2023,5373399,900.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362541,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362542,9176.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362543,8029.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362544,6882.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362545,6882.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362546,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362547,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362548,5735.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362549,2015.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362550,3875.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362551,1665.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362552,7595.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362553,13764.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362554,2325.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,01/08/2023,5362555,6882.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,04/08/2023,5365243,-455.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,04/08/2023,5365245,420.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,08/08/2023,5365363,2976.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Adult Social Care,AARAV PROPERTIES LIMITED,11/08/2023,5368127,825.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Adult Social Care,AARAV PROPERTIES LIMITED,11/08/2023,5368128,2090.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,11/08/2023,5368387,2914.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,11/08/2023,5368388,1860.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,11/08/2023,5368389,1395.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING REVENUE ACCOUNT,Housing Revenue Account,AARAV PROPERTIES LIMITED,11/08/2023,5368390,1395.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369618,1440.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369619,480.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369622,4252.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369624,1116.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369625,2232.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369627,1918.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369628,3120.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369629,1116.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369631,2232.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,18/08/2023,5369945,3416.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Adult Social Care,AARAV PROPERTIES LIMITED,22/08/2023,5368003,540.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,22/08/2023,5369621,6436.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
HOUSING AND REGENERATION,Housing Services,AARAV PROPERTIES LIMITED,22/08/2023,5369946,5556.00,0.00,PRIVATE CONTRACTORS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371082,3100.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371083,2000.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371084,4185.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371085,4185.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371086,2976.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371087,1550.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371088,2976.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371089,3720.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371090,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371091,3410.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371092,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371093,2170.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371094,1395.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371095,1170.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371096,-2790.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371097,2976.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371098,1705.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371099,4340.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371101,1488.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371102,2015.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371103,1488.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371104,3350.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371105,3100.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371107,1700.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371110,2170.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371111,1395.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,AARAV PROPERTIES LIMITED,25/08/2023,5371365,1116.00,0.00,TRANSFERS TO SOCIAL SERVICES CLIENTS,Suppliers - Accomodation (Housing)
