OrganisationalUnit,ServiceCategoryLabel,BeneficiaryName,PaymentDate,TransactionNumber,Amount,IrrecoverableVATAmount,Purpose,CategoryInternalName
CAPITAL HRA,Housing,21 DEGREES HEATING LTD,19/12/2023,5416360,6542.00,0.00,PAYMENT TO MAIN CONTRACTOR,Construction Industry suppliers (CIS)
CHILDRENS AND ADULT SERVICES,Children's and Education Services,33 BEDFORD ROW,22/12/2023,5418664,3200.00,0.00,SERVICES/FEES,Suppliers - General Goods & Services
FINANCE AND RESOURCES,Revenue Recharges,8X8 UK LIMITED,22/12/2023,5412440,32828.78,0.00,COMMUNICATIONS & COMPUTING,Suppliers - ICT Hardware/Software/Networks etc
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,15/12/2023,5413160,2000.00,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CHILDRENS AND ADULT SERVICES,Children's and Education Services,9 MONTHS LTD,15/12/2023,5413406,1000.00,0.00,OTHER CONTRACTED SERVICES,External - Grants/Allowances
CAPITAL HRA,Housing,A&T AIR CONDITIONING,12/12/2023,5412140,7400.00,0.00,PAYMENT TO MAIN CONTRACTOR,Suppliers - Facilities Management/Mail/Clothing
HOUSING REVENUE ACCOUNT,Housing Revenue Account,A&T AIR CONDITIONING,22/12/2023,5416203,447.70,0.00,BUILDINGS/PLANT REPAIRS/MAINT,Suppliers - Facilities Management/Mail/Clothing
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/12/2023,5409055,-1265.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/12/2023,5409059,1265.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,05/12/2023,5410006,3168.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
CHILDRENS AND ADULT SERVICES,Children's and Education Services,A-Z ASSOC LTD T/A WESTSIDE CARS,15/12/2023,5412956,2250.00,0.00,CONTRACT HIRE/OPERATING LEASES,Suppliers - Vehicles/Transport
