Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
25-May-23,Community Safety Fund,"£375,404.97",Liverpool City Council1,Grant Award
25-May-23,Community Safety Fund,"£202,471.00",Wirral MBC,Grant Award
11-May-23,DA Perpetrator Fund,"£124,903.33",Knowsley MBC,Grant Award
25-May-23,Community Safety Fund,"£116,000.00",Sefton M B C (General Payments) ,Grant Award
25-May-23,Community Safety Fund,"£77,743.60",Knowsley MBC,Grant Award
11-May-23,Victim Support Grant,"£60,237.00",Rape & Sexual Abuse Support Centre,Local Contract - Quotation/Tender
11-May-23,DA Perpetrator Fund,"£58,374.00",Merseyside Domestic Violence Services (MDVS),Grant Award
11-May-23,DA Perpetrator Fund,"£51,547.00",Merseyside Domestic Violence Services (MDVS),Grant Award
25-May-23,Victim Support Grant,"£35,500.00",Sefton Women's & Children's Aid (SWACA),Grant Award
25-May-23,Victim Support Grant,"£34,500.00",Granby Somali Women's Group,Grant Award
25-May-23,Victim Support Grant,"£30,000.00",Tomorrow`s Women Wirral,Grant Award
25-May-23,Community Safety Fund,"£29,069.57",Positive Futures North Liverpool Limited,Grant Award
18-May-23,Victim Support Grant,"£29,000.00",Chrysalis Centre for Change,Grant Award
25-May-23,Victim Support Grant,"£26,000.00",The Anthony Walker Foundation,Grant Award
25-May-23,Victim Support Grant,"£25,500.00",Health Energy Advice Team Ltd (H.E.A.T),Grant Award
04-May-23,Payment for Services,"£20,055.00",Knowsley MBC,Local Contract - Quotation/Tender
11-May-23,DA Perpetrator Fund,"£19,947.00",Wirral MBC,Grant Award
18-May-23,Victim Support Grant,"£19,000.00",Amadudu Women's Refuge,Grant Award
18-May-23,Victim Support Grant,"£15,349.75",The Paul Lavelle Foundation,Grant Award
18-May-23,Victim Support Grant,"£13,778.00",Families Fighting for Justice,Grant Award
25-May-23,Victim Support Grant,"£10,000.00",Stop Hate UK,Grant Award
18-May-23,Victim Support Grant,"£8,000.00",Daisy Inclusive UK,Grant Award
25-May-23,Community Safety Fund,"£6,500.00",Everton in the Community,Grant Award
25-May-23,Payment for Services,"£2,304.00",Hogan Brown Limited t/a Hogan Brown Solicitors,Considered Best Value
11-May-23,Payment for Services,"£2,040.00",The Guide Liverpool Ltd,Considered Best Value
25-May-23,General Subscriptions,"£1,331.06",Association of Police and Crime Commissioners,Considered Best Value
18-May-23,General Subscriptions,"£1,200.00",ICVA(Independent Custody Visiting Ass`n),Considered Best Value
11-May-23,Printing Stationery & Office Exps.,£587.84,ACS Business Supplies Ltd,Considered Best Value
