Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
15-Jun-23,Safer Streets Fund,"£197,540.78",Liverpool City Council1,Grant Award
15-Jun-23,Safer Streets Fund,"£172,321.25",Liverpool City Council1,Grant Award
22-Jun-23,Victim Support Grant,"£162,375.00",RASA Centre Ltd,Local Contract - Quotation/Tender
01-Jun-23,Community Safety Fund,"£113,054.44",St Helens MBC,Grant Award
22-Jun-23,Victim Support Grant,"£66,934.51",Ministry of Justice,Grant Refund 
08-Jun-23,General Subscriptions,"£46,260.00",Association of Police and Crime Commissioners,Considered Best Value
15-Jun-23,Victim Support Grant,"£45,000.00",Liverpool City Council1,Grant Award
08-Jun-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
08-Jun-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
29-Jun-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
08-Jun-23,Victim Support Grant,"£42,000.00",The First Step Ltd,Grant Award
15-Jun-23,Victim Support Grant,"£36,750.00",The Cyrenians Ltd T/A Changing Lives,Grant Award
08-Jun-23,Victim Support Grant,"£36,000.00",Restorative Solutions CIC,Local Contract - Quotation/Tender
15-Jun-23,Victim Support Grant,"£34,500.00",Granby Somali Women's Group,Grant Award
01-Jun-23,District Audit Fee,"£29,415.60",Grant Thornton UK LLP,National Contract
15-Jun-23,Victim Support Grant,"£22,500.00",Sefton M B C (General Payments) ,Grant Award
15-Jun-23,Victim Support Grant,"£22,500.00",Knowsley MBC,Grant Award
15-Jun-23,Victim Support Grant,"£15,500.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
08-Jun-23,Victim Support Grant,"£14,500.00",Savera UK,Grant Award
08-Jun-23,Community Safety Fund,"£14,004.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
29-Jun-23,Victim Support Grant,"£13,500.00",Citizens Advice Liverpool,Grant Award
29-Jun-23,Community Safety Fund,"£6,500.00",Everton in the Community,Grant Award
08-Jun-23,General Subscriptions,"£1,980.00",Police Authority Treasurers` Society,Considered Best Value
22-Jun-23,Promotional Advertising,"£1,104.24",Reach Publishing Services Ltd (Trinity Mirror),Considered Best Value
01-Jun-23,Services & Legal Expenses,"£1,049.40",Weightmans LLP,Considered Best Value
29-Jun-23,S/W Licences,£973.99,Ability Smart Limited,Considered Best Value
