Payment Date, Description ,Gross Amount, Supplier Name ,Procurement Method
14-Sep-23,Victim Support Grant,"£87,800.00",Liverpool City Council1,Local Contract - Quotation/Tender
21-Sep-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
21-Sep-23,Safer Streets Fund,"£49,640.40",Socialike Media Ltd t/a Springboard,Local Contract - Quotation/Tender
21-Sep-23,Victim Support Grant,"£44,200.00",Catch22 Charity Limited,Local Contract - Quotation/Tender
07-Sep-23,Safer Streets Fund,"£15,867.00",Knowsley MBC,Local Contract - Quotation/Tender
21-Sep-23,Safer Streets Fund,"£2,873.42",Jack Hodson Limited,Considered Best Value
28-Sep-23,Violence Reduction Unit,£749.20,Liverpool Quakers,Considered Best Value
21-Sep-23,Safer Streets Fund,£660.00,Socialike Media Ltd t/a Springboard,Considered Best Value
07-Sep-23,Payment for Services,£552.00,Spring Associates Limited,Considered Best Value
14-Sep-23,General Subscriptions,£540.00,Glow New Media Ltd,Considered Best Value
