Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
06-Jul-23,Victim Support Grant,"£105,888.00",RASA Centre Ltd,Local Contract - Quotation/Tender
13-Jul-23,Victim Support Grant,"£81,000.00",Sefton M B C (General Payments) 93226632,Grant Award
20-Jul-23,DA Perpetrator Fund,"£43,040.84",Causeway Charitable Services,Grant Award
06-Jul-23,Victim Support Grant,"£25,000.00",South Liverpool Domestic Abuse Services.,Grant Award
20-Jul-23,Victim Support Grant,"£23,950.00",Catch22 Charity Limited,Grant Award
06-Jul-23,Victim Support Grant,"£22,500.00",Wirral MBC,Grant Award
06-Jul-23,Victim Support Grant,"£22,500.00",St Helens MBC,Grant Award
27-Jul-23,Community Safety Fund,"£17,040.00",The Appropriate Adult Service Ltd,Grant Award
06-Jul-23,Victim Support Grant,"£13,500.00",Savera UK,Grant Award
06-Jul-23,Payment for Services,"£10,137.30",Grant Thornton UK LLP,National Contract - Uninfluencable
13-Jul-23,Payment for Services,"£9,600.00",Grant Thornton UK LLP,National Contract - Uninfluencable
06-Jul-23,Victim Support Grant,"£9,000.00",WEB Merseyside,Grant Award
20-Jul-23,Victim Support Grant,"£7,800.00",Restorative Solutions CIC,Local Contract - Quotation/Tender
20-Jul-23,Victim Support Grant,"£7,000.00",The Anthony Walker Foundation,Grant Award
06-Jul-23,Miscellaneous Contributions,"£5,000.00",Unseen UK,Grant Award
13-Jul-23,Hire of Premises,"£4,308.00",Jockey Club Racecourses Limited,Considered Best Value
20-Jul-23,Victim Support Grant,"£4,000.00",Families Fighting for Justice,Grant Award
20-Jul-23,Victim Support Grant,"£4,000.00",Citizens Advice Liverpool,Grant Award
20-Jul-23,Victim Support Grant,"£4,000.00",Savera UK,Grant Award
20-Jul-23,Victim Support Grant,"£3,000.00",Stop Hate UK,Grant Award
20-Jul-23,Victim Support Grant,"£2,502.95",Daisy Inclusive UK,Grant Award
20-Jul-23,Safer Streets Fund,"£1,734.00",Wild Thang,Considered Best Value
06-Jul-23,General Subscriptions,"£1,296.00",Smart Survey Ltd,Considered Best Value
06-Jul-23,General Subscriptions,£540.00,Glow New Media Ltd,Considered Best Value
